date,open,high,low,close,volume
Tue Jan 02 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),52.41,53.700001,50.560001,52.150002,870700
Wed Jan 03 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),51.529999,51.650002,50.02,50.139999,404900
Thu Jan 04 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),50.279999,50.849998,49.84,50.439999,442100
Fri Jan 05 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),49.919998,51.240002,49.919998,50.57,355300
Mon Jan 08 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),50.669998,51.599998,50.32,51.59,313900
Tue Jan 09 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),50.720001,51.91,50.220001,50.900002,493700
Wed Jan 10 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),50.599998,51.450001,50.360001,51.43,260900
Thu Jan 11 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),50.869999,51.23,49.720001,51.18,365300
Fri Jan 12 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),51.779999,51.849998,49.950001,50.759998,330200
Tue Jan 16 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),49.98,50.610001,49.639999,49.900002,315100
Wed Jan 17 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),48.830002,50.040001,44,49.360001,296700
Thu Jan 18 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),49.689999,50.119999,49.450001,49.900002,260500
Fri Jan 19 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),50.27,51.57,49.419998,51.540001,316700
Mon Jan 22 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),52.349998,53.130001,52.009998,53.09,295400
Tue Jan 23 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),53.59,53.599998,52.5,52.5,336200
Wed Jan 24 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),52.75,53.529999,52.630001,53.099998,290400
Thu Jan 25 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),53.889999,53.889999,52.040001,52.77,634700
Fri Jan 26 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),53.580002,53.990002,51.57,52.740002,478700
Mon Jan 29 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),52.860001,53.189999,51.939999,52.619999,418500
Tue Jan 30 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),52.34,52.57,51.779999,51.959999,273600
Wed Jan 31 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),50.889999,51.869999,49.52,49.639999,343600
Thu Feb 01 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),50.099998,51.09,47.509998,48.91,522000
Fri Feb 02 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),47.650002,49.400002,47.41,49.220001,434100
Mon Feb 05 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),48.509998,48.77,47.959999,48.23,321300
Tue Feb 06 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),48.189999,48.529999,46.619999,46.950001,726500
Wed Feb 07 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),46.93,47.23,45.790001,47.049999,409500
Thu Feb 08 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),46.880001,47.75,46.709999,47.32,343500
Fri Feb 09 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),47.48,48.189999,46.5,48.029999,409900
Mon Feb 12 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),48.049999,49.540001,47.98,48.82,515600
Tue Feb 13 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),46.799999,47.59,45.389999,46.16,671600
Wed Feb 14 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),46.880001,47.380001,46.209999,46.84,365100
Thu Feb 15 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),47.139999,48.599998,46.93,48.02,545900
Fri Feb 16 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),47.509998,47.98,47.049999,47.419998,470000
Tue Feb 20 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),46.650002,47.16,46.09,46.5,346900
Wed Feb 21 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),46.41,46.560001,46.07,46.400002,513200
Thu Feb 22 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),46.330002,46.73,45.689999,45.919998,464800
Fri Feb 23 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),45.91,46.439999,45.48,45.880001,347900
Mon Feb 26 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),45.639999,46.009998,44.919998,45.459999,461000
Tue Feb 27 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),45.889999,46.150002,45.080002,45.43,315900
Wed Feb 28 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),45,45.790001,45,45.189999,355200
Thu Feb 29 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),46.16,46.990002,45.66,46.330002,453900
Fri Mar 01 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),45.970001,46.419998,45.080002,45.799999,307500
Mon Mar 04 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),45.759998,46.540001,45.279999,45.5,267300
Tue Mar 05 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),45.200001,47.91,45.040001,47.389999,555200
Wed Mar 06 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),47.389999,48.23,46.299999,47.419998,309800
