date,open,high,low,close,volume
Tue Jan 02 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),74.610001,75.739998,74.279999,75.550003,1859700
Wed Jan 03 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),75.910004,77.660004,75.75,76.940002,2213900
Thu Jan 04 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),77.720001,78.459999,77.300003,77.470001,1945600
Fri Jan 05 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),77.650002,78,76.489998,76.809998,2073900
Mon Jan 08 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),77.150002,77.300003,75.720001,77.120003,1484600
Tue Jan 09 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),76.82,77.029999,74.849998,76.150002,1839100
Wed Jan 10 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),76.239998,77.309998,76.239998,76.959999,1587600
Thu Jan 11 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),77.25,77.720001,76.82,77.620003,1314900
Fri Jan 12 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),77.730003,78.099998,77.059998,77.690002,1212100
Tue Jan 16 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),78.529999,78.629997,77.550003,78.169998,1468300
Wed Jan 17 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),77.940002,79.290001,77.940002,78.669998,1439500
Thu Jan 18 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),77.68,79.059998,77.529999,78.959999,1801800
Fri Jan 19 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),79.660004,81.370003,79.660004,80.879997,1997000
Mon Jan 22 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),81.010002,81.290001,80.300003,80.470001,1641500
Tue Jan 23 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),80.43,81.019997,80.010002,80.339996,1178700
Wed Jan 24 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),80.949997,80.970001,80.040001,80.129997,1486600
Thu Jan 25 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),80,80.480003,78.669998,79.599998,1620800
Fri Jan 26 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),79.790001,80.129997,79.25,79.900002,1321900
Mon Jan 29 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),79.269997,79.830002,79,79.730003,1323500
Tue Jan 30 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),79.620003,80.650002,79.510002,80.580002,1036900
Wed Jan 31 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),80.989998,82.779999,80.980003,82.43,2325800
Thu Feb 01 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),81.580002,82.330002,81.059998,82.089996,1841500
Fri Feb 02 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),83.160004,83.639999,82.599998,83.300003,1514700
