date,open,high,low,close,volume
Tue Jan 02 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),9.46,9.8,9.36,9.71,209200
Wed Jan 03 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),9.69,10.43,9.69,10.23,377800
Thu Jan 04 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),10.35,10.35,9.68,9.71,254800
Fri Jan 05 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),9.98,10.05,9.8,9.9,195800
Mon Jan 08 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),10.17,10.28,9.65,10.07,207600
Tue Jan 09 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),10.08,10.09,9.62,10.08,162300
Wed Jan 10 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),10.25,10.25,9.75,9.92,170200
Thu Jan 11 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),10.04,10.04,9.58,9.89,161700
Fri Jan 12 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),10.07,10.15,9.76,9.93,170200
Tue Jan 16 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),9.98,10.16,9.72,9.89,209500
Wed Jan 17 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),10.15,12.24,9.94,11.9,2275100
Thu Jan 18 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),12.07,12.55,11.66,12.03,820800
Fri Jan 19 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),12.01,12.07,11.39,11.5,545000
Mon Jan 22 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),11.42,11.8,10.81,11.69,466700
Tue Jan 23 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),11.8,11.87,11.47,11.71,256200
Wed Jan 24 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),11.96,11.99,11.35,11.62,225800
Thu Jan 25 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),11.73,11.73,11.31,11.59,180500
Fri Jan 26 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),11.67,11.98,11.06,11.34,298000
Mon Jan 29 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),11.38,11.74,11.3,11.6,160800
Tue Jan 30 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),11.72,11.91,11.46,11.62,180200
Wed Jan 31 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),11.68,12.04,11.57,11.57,309000
Thu Feb 01 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),11.73,12.17,11.62,12.16,317300
Fri Feb 02 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),12.18,12.41,11.4,11.41,1809700
Mon Feb 05 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),11.58,11.78,11.01,11.3,360100
Tue Feb 06 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),11.3,11.45,10.97,11.26,315500
Wed Feb 07 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),11.23,11.32,10.93,10.97,376900
Thu Feb 08 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),11.02,11.5,10.92,11.4,289100
Fri Feb 09 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),11.38,11.76,11.1,11.68,299100
Mon Feb 12 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),11.67,12.13,11.67,11.78,266000
Tue Feb 13 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),11.45,11.97,11.44,11.62,214300
Wed Feb 14 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),11.81,12.9,11.81,12.55,658800
Thu Feb 15 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),12.55,12.79,12.32,12.74,331800
