date,open,high,low,close,volume
Tue Jan 02 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),1.96,2.03,1.85,1.96,52000
Wed Jan 03 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),1.962,2.23,1.962,2.125,82700
Thu Jan 04 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),2.18,2.29,2.02,2.1,31000
Fri Jan 05 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),2.2,2.2,2.02,2.12,217500
Mon Jan 08 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),2.29,2.63,2.21,2.63,95500
Tue Jan 09 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),2.71,3.14,2.63,2.9,243500
Wed Jan 10 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),3.09,3.11,2.29,2.74,302800
Thu Jan 11 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),2.6,3.1,2.53,3.09,101200
Fri Jan 12 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),3.15,3.17,2.87,3.17,82500
Tue Jan 16 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),3.2,3.8,3.01,3.78,582600
Wed Jan 17 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),3.32,4.01,1.9,4,1488900
Thu Jan 18 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),3.41,3.85,3.15,3.37,402200
Fri Jan 19 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),3.2,3.22,2.451,2.64,394700
Mon Jan 22 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),2.65,3.02,2.29,3,306500
Tue Jan 23 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),2.85,3.45,2.76,3.245,246000
Wed Jan 24 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),3.22,3.9,3.03,3.84,284900
Thu Jan 25 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),3.85,4.36,3.166,4.15,431800
Fri Jan 26 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),3.98,4.38,3.8,3.95,106200
Mon Jan 29 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),3.94,4.29,3.845,3.9,85300
Tue Jan 30 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),3.82,3.89,3.26,3.35,108000
Wed Jan 31 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),3.29,3.727,3.2,3.66,82300
Thu Feb 01 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),3.6,3.85,3.6,3.6,46200
Fri Feb 02 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),3.61,3.77,3.435,3.48,57200
Mon Feb 05 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),3.34,3.69,3.26,3.26,38200
Tue Feb 06 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),3.24,3.59,3.18,3.4,19300
Wed Feb 07 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),3.36,3.59,3.28,3.34,20300
Thu Feb 08 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),3.28,3.59,3.15,3.5,43200
Fri Feb 09 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),3.45,3.8,3.45,3.68,72000
Mon Feb 12 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),3.65,3.718,3.5,3.58,24300
Tue Feb 13 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),3.54,3.78,3.447,3.55,37500
Wed Feb 14 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),3.6,3.64,3.4,3.45,14500
Thu Feb 15 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),3.45,3.66,3.41,3.5,39300
Fri Feb 16 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),3.44,3.66,3.04,3.04,89100
Tue Feb 20 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),3.2,3.395,3.042,3.21,37000
Wed Feb 21 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),3.15,3.3,3.02,3.15,13800
Thu Feb 22 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),3.24,3.629,3.15,3.47,39800
