date,open,high,low,close,volume
Tue Jan 02 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),119,120.150002,118.43,119.389999,228400
Wed Jan 03 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),119.18,119.379997,117.739998,117.760002,399500
Thu Jan 04 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),118.339996,121.010002,118.339996,120.550003,453700
Fri Jan 05 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),120.669998,121.900002,120.559998,121.190002,508300
Mon Jan 08 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),121,121.839996,119.150002,120.309998,233400
Tue Jan 09 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),119.75,119.809998,118,119.139999,168000
Wed Jan 10 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),118.940002,119.129997,118.010002,118.629997,228700
Thu Jan 11 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),118.25,119.940002,117.75,119.519997,299000
Fri Jan 12 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),120.559998,120.949997,118.5,118.830002,193300
Tue Jan 16 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),118.580002,118.599998,116.82,117.260002,261500
Wed Jan 17 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),116.639999,118.449997,116.610001,116.720001,274500
Thu Jan 18 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),116.440002,118.059998,115.93,117.93,444400
Fri Jan 19 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),119.129997,119.75,118.449997,119.389999,254500
Mon Jan 22 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),119.559998,120.919998,119.529999,120.889999,259800
Tue Jan 23 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),120.889999,121.32,118.790001,118.900002,241300
Wed Jan 24 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),119.82,120.860001,119.82,120.32,227500
Thu Jan 25 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),121,121.440002,119.309998,120.269997,227300
Fri Jan 26 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),120.839996,121.089996,119.690002,120.269997,215400
Mon Jan 29 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),119.889999,121.209999,119.889999,121.169998,217800
Tue Jan 30 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),121.230003,122.389999,120.529999,121.839996,276400
Wed Jan 31 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),122.139999,122.650002,120.379997,120.400002,399100
Thu Feb 01 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),119.760002,120.599998,116.300003,117.480003,624000
Fri Feb 02 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),118.190002,119.519997,118,118.389999,379800
Mon Feb 05 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),117.82,119.099998,117.269997,118.580002,283800
Tue Feb 06 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),118.370003,120.309998,117.449997,119.709999,523800
Wed Feb 07 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),120.43,122.989998,115.639999,122.239998,809800
Thu Feb 08 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),119.68,121.330002,117.559998,120.629997,653400
Fri Feb 09 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),120.449997,122.889999,120.230003,122.760002,419100
Mon Feb 12 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),122.949997,124.809998,122.550003,122.580002,444600
Tue Feb 13 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),122.629997,123.120003,120.050003,120.620003,496200
Wed Feb 14 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),121.089996,123.139999,121.089996,122.989998,355800
Thu Feb 15 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),120.709999,123.769997,120.709999,123.519997,314400
Fri Feb 16 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),123.5,124.599998,122.769997,123.440002,1119000
