date,open,high,low,close,volume
Tue Jan 02 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),32.310001,33.810001,32.299999,33.310001,1054900
Wed Jan 03 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),33.119999,33.68,32.810001,33.630001,870800
Thu Jan 04 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),33.849998,33.971001,33.450001,33.470001,537700
Fri Jan 05 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),33.389999,34.139999,33.201,33.860001,686600
Mon Jan 08 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),33.68,34.200001,33.59,34.099998,496500
Tue Jan 09 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),33.720001,34.080002,33.43,33.939999,659600
Wed Jan 10 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),33.889999,33.98,33.57,33.59,589400
Thu Jan 11 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),33.310001,33.424999,32.470001,32.630001,1023000
Fri Jan 12 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),32.939999,33.110001,32.720001,32.830002,421700
Tue Jan 16 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),32.599998,32.669998,31.790001,31.9,869400
Wed Jan 17 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),31.559999,31.965,30.959999,31.27,644400
Thu Jan 18 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),31.15,31.25,30.66,30.879999,907100
Fri Jan 19 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),31.059999,31.110001,30.57,30.99,1205200
Mon Jan 22 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),30.99,31.43,30.83,31.02,714700
Tue Jan 23 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),31.16,31.360001,30.68,30.959999,909500
Wed Jan 24 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),31.27,31.305,29.879999,29.91,1307500
Thu Jan 25 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),30.43,30.73,30.055,30.719999,966600
Fri Jan 26 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),30.860001,30.950001,30.365,30.440001,525100
Mon Jan 29 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),30.459999,30.9,30.235001,30.75,483100
Tue Jan 30 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),30.59,30.969999,30.343,30.67,439500
Wed Jan 31 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),30.950001,31.059999,30.26,30.379999,682700
Thu Feb 01 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),30.389999,31.605,30.209999,31.440001,939500
Fri Feb 02 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),30.879999,31.24,30.540001,30.98,888600
Mon Feb 05 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),30.540001,30.639999,30.16,30.35,722700
Tue Feb 06 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),30.27,30.49,30.17,30.299999,700400
Wed Feb 07 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),30.4,30.530001,29.950001,30.42,614400
Thu Feb 08 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),30.23,30.309999,29.76,30.02,511100
Fri Feb 09 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),29.99,30.469999,29.889999,30.379999,480900
Mon Feb 12 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),30.43,31.049999,30.379999,30.98,441000
Tue Feb 13 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),30.610001,30.84,29.709999,30.23,897000
Wed Feb 14 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),30.4,30.575001,30.110001,30.42,833900
