date,open,high,low,close,volume
Tue Jan 02 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),1.91,2.02,1.9,1.935,152500
Wed Jan 03 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),1.91,1.92,1.76,1.8,468400
Thu Jan 04 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),1.85,1.85,1.72,1.75,257000
Fri Jan 05 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),1.76,1.76,1.55,1.6,449400
Mon Jan 08 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),1.69,1.69,1.58,1.68,569700
Tue Jan 09 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),1.65,1.65,1.46,1.5,444700
Wed Jan 10 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),1.49,1.56,1.43,1.47,347600
Thu Jan 11 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),1.45,1.49,1.36,1.48,269900
Fri Jan 12 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),1.44,1.52,1.4,1.51,152200
Tue Jan 16 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),1.41,1.53,1.41,1.52,147800
Wed Jan 17 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),1.48,1.51,1.421,1.51,106300
Thu Jan 18 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),1.45,1.46,1.31,1.39,144500
Fri Jan 19 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),1.38,1.41,1.29,1.34,128900
Mon Jan 22 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),1.31,1.349,1.2,1.28,247800
Tue Jan 23 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),1.28,1.3,1.21,1.25,167700
Wed Jan 24 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),1.25,1.55,1.21,1.46,637800
Thu Jan 25 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),1.51,1.51,1.33,1.39,218500
Fri Jan 26 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),1.36,1.41,1.327,1.33,66800
Mon Jan 29 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),1.39,1.43,1.3,1.36,79700
Tue Jan 30 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),1.36,1.389,1.22,1.26,193400
Wed Jan 31 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),1.22,1.31,1.22,1.28,200400
Thu Feb 01 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),1.27,1.31,1.16,1.23,193000
Fri Feb 02 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),1.2,1.288,1.17,1.26,192800
Mon Feb 05 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),1.24,1.24,1.14,1.16,159900
Tue Feb 06 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),1.16,1.21,1.1,1.18,222800
Wed Feb 07 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),1.36,1.36,1.2,1.24,430000
Thu Feb 08 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),1.2,1.4,1.1,1.37,1801200
Fri Feb 09 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),1.5,1.5,1.2,1.34,1247500
Mon Feb 12 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),1.3,1.34,1.21,1.27,359800
Tue Feb 13 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),1.27,1.4,1.22,1.26,754700
Wed Feb 14 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),1.23,1.37,1.22,1.32,1157300
Thu Feb 15 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),1.32,1.36,1.24,1.3,704800
Fri Feb 16 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),1.37,1.4,1.27,1.38,917000
Tue Feb 20 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),1.39,1.39,1.231,1.3,490800
Wed Feb 21 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),1.27,1.31,1.22,1.31,266400
Thu Feb 22 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),1.33,1.33,1.22,1.25,390700
Fri Feb 23 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),1.3,1.6,1.24,1.5,2299900
Mon Feb 26 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),1.6,2.22,1.53,1.96,6430400
Tue Feb 27 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),2.15,2.2,1.72,1.9,4191600
Wed Feb 28 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),1.82,1.96,1.7,1.72,1135800
Thu Feb 29 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),1.65,1.78,1.6,1.7,630900
Fri Mar 01 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),1.66,1.72,1.38,1.5,897000
