date,open,high,low,close,volume
Tue Jan 02 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),140.330002,143.910004,140.330002,143.809998,2263600
Wed Jan 03 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),144.080002,145.449997,143.800003,145,1701200
Thu Jan 04 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),147.080002,151.460007,147.080002,148.5,3176500
Fri Jan 05 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),149.339996,150.220001,147.600006,149.979996,1551200
Mon Jan 08 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),149.940002,150.789993,148.580002,149.380005,2398600
Tue Jan 09 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),150.25,151.360001,148.660004,150.979996,1599700
Wed Jan 10 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),151.050003,152,149.910004,150.309998,1335100
Thu Jan 11 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),149.860001,150.600006,148.229996,150.369995,1532400
Fri Jan 12 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),151,151.199997,148.860001,151.029999,1115400
Tue Jan 16 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),151.429993,152.399994,150.440002,151.5,1187500
Wed Jan 17 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),151.559998,153.880005,150.970001,152.550003,1615300
Thu Jan 18 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),151.779999,153.300003,150.169998,152.919998,1573700
Fri Jan 19 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),155,156.520004,154.130005,154.880005,1989700
Mon Jan 22 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),155.429993,156.320007,155.169998,155.389999,940600
Tue Jan 23 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),155.389999,156.789993,153.839996,154.110001,1140700
Wed Jan 24 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),155.630005,159.600006,155.570007,157.419998,2374600
Thu Jan 25 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),158.389999,159.360001,156.929993,159.059998,1253300
Fri Jan 26 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),158.880005,159.020004,157.889999,158.369995,1034900
Mon Jan 29 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),157.279999,158.119995,155.729996,156.059998,1277000
Tue Jan 30 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),155.960007,156.850006,154.970001,156.490005,1135500
Wed Jan 31 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),156.850006,157.289993,154.990005,155.25,1349800
Thu Feb 01 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),154.339996,156.529999,153.419998,156.190002,1005100
Fri Feb 02 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),156.990005,158.199997,156.619995,157.369995,1088300
Mon Feb 05 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),156.460007,157.440002,155.690002,156.830002,1331400
Tue Feb 06 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),156.449997,157.850006,156.020004,157.350006,965300
Wed Feb 07 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),157.699997,159.330002,157.539993,158.600006,1871300
