date,open,high,low,close,volume
Tue Jan 02 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),1.65,1.7,1.6,1.64,58500
Wed Jan 03 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),1.63,1.64,1.54,1.57,26500
Thu Jan 04 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),1.58,1.6,1.52,1.58,37400
Fri Jan 05 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),1.55,1.62,1.53,1.59,54800
Mon Jan 08 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),1.57,1.57,1.5,1.54,33600
Tue Jan 09 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),1.54,1.62,1.5,1.54,18600
Wed Jan 10 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),1.5,1.52,1.46,1.52,44100
Thu Jan 11 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),1.51,1.55,1.45,1.53,31800
Fri Jan 12 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),1.54,1.54,1.49,1.53,24100
Tue Jan 16 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),1.53,1.54,1.46,1.54,39200
Wed Jan 17 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),1.52,1.63,1.5,1.61,30800
Thu Jan 18 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),1.6,1.71,1.53,1.64,120100
Fri Jan 19 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),1.66,1.74,1.54,1.63,152500
Mon Jan 22 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),1.65,1.71,1.62,1.69,46600
Tue Jan 23 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),1.73,1.73,1.62,1.7,30500
Wed Jan 24 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),1.79,1.81,1.63,1.73,129500
Thu Jan 25 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),1.76,1.81,1.61,1.8,66900
Fri Jan 26 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),1.73,1.78,1.7,1.75,45400
Mon Jan 29 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),1.72,1.77,1.71,1.74,43700
Tue Jan 30 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),1.75,1.78,1.72,1.74,35600
Wed Jan 31 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),1.75,1.81,1.71,1.77,33400
Thu Feb 01 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),1.73,1.83,1.73,1.83,41800
Fri Feb 02 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),1.81,1.88,1.7,1.88,11300
Mon Feb 05 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),1.87,1.87,1.8,1.81,30100
Tue Feb 06 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),1.81,1.86,1.73,1.84,23800
Wed Feb 07 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),1.81,1.88,1.79,1.81,41800
Thu Feb 08 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),1.82,1.87,1.79,1.87,10100
Fri Feb 09 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),1.91,2.11,1.8,2.08,156900
Mon Feb 12 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),2.08,2.09,1.83,1.98,117900
Tue Feb 13 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),1.88,1.96,1.88,1.91,29000
Wed Feb 14 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),1.88,2.09,1.82,1.9,210900
Thu Feb 15 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),1.8,2.04,1.71,1.82,208200
