date,open,high,low,close,volume
Tue Jan 02 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),0.65,0.65,0.6,0.604,403800
Wed Jan 03 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),0.604,0.672,0.604,0.66,108200
Thu Jan 04 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),0.689,0.689,0.63,0.642,42800
Fri Jan 05 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),0.63,0.66,0.604,0.659,110400
Mon Jan 08 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),0.66,0.8,0.66,0.749,183200
Tue Jan 09 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),0.772,0.8,0.72,0.746,51500
Wed Jan 10 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),0.725,0.746,0.67,0.7,46300
Thu Jan 11 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),0.7,0.8,0.7,0.729,46200
Fri Jan 12 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),0.714,0.729,0.64,0.666,102300
Tue Jan 16 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),0.646,0.686,0.6,0.619,186000
Wed Jan 17 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),0.619,0.649,0.6,0.629,27300
Thu Jan 18 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),0.625,0.629,0.61,0.611,22800
Fri Jan 19 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),0.64,0.64,0.59,0.609,36700
Mon Jan 22 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),0.59,0.6,0.54,0.54,135700
Tue Jan 23 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),0.54,0.626,0.521,0.57,121300
Wed Jan 24 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),0.58,0.588,0.55,0.565,29700
Thu Jan 25 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),0.56,0.619,0.55,0.6,77100
Fri Jan 26 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),0.58,0.61,0.573,0.579,76500
Mon Jan 29 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),0.58,0.587,0.55,0.58,68600
Tue Jan 30 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),0.58,0.58,0.56,0.578,36600
Wed Jan 31 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),0.56,0.58,0.55,0.56,55300
Thu Feb 01 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),0.57,0.58,0.55,0.57,65400
Fri Feb 02 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),0.58,0.585,0.555,0.57,41900
Mon Feb 05 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),0.562,0.57,0.5,0.55,72900
Tue Feb 06 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),0.533,0.57,0.523,0.548,63400
Wed Feb 07 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),0.53,0.545,0.502,0.543,98100
Thu Feb 08 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),0.54,0.55,0.53,0.536,35000
Fri Feb 09 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),0.54,0.56,0.53,0.545,55300
Mon Feb 12 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),0.545,0.592,0.545,0.573,94100
Tue Feb 13 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),0.59,0.65,0.555,0.612,109400
Wed Feb 14 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),0.63,0.65,0.605,0.649,36200
Thu Feb 15 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),0.65,0.65,0.61,0.635,29200
Fri Feb 16 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),0.64,0.65,0.62,0.64,37200
Tue Feb 20 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),0.62,0.65,0.62,0.642,34900
Wed Feb 21 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),0.62,0.645,0.62,0.626,13900
