date,open,high,low,close,volume
Tue Jan 02 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),160,160.110001,153.429993,154.369995,8607300
Wed Jan 03 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),151.710007,153.169998,150.729996,151.449997,6100100
Thu Jan 04 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),149.800003,152,148.75,149.309998,6196100
Fri Jan 05 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),150.080002,151.520004,148.050003,149,5398900
Mon Jan 08 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),149.830002,152.789993,149.720001,151.559998,6515500
Tue Jan 09 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),149.869995,151.690002,148.929993,151.029999,5606700
Wed Jan 10 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),151.770004,151.899994,148.240005,149.809998,5035700
Thu Jan 11 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),150.25,152.440002,148.479996,151.949997,5995600
Fri Jan 12 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),152.199997,152.399994,150.369995,151.25,4083200
Tue Jan 16 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),151.300003,154.240005,149.839996,153.759995,6528000
Wed Jan 17 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),153.110001,153.75,150.199997,153.369995,6630600
Thu Jan 18 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),158.660004,160.740005,156.779999,160.339996,8133700
Fri Jan 19 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),162.570007,168.279999,162.300003,167.940002,9157600
Mon Jan 22 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),168.179993,171.910004,167.639999,168.300003,7176400
Tue Jan 23 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),167.759995,168,164.710007,167.050003,5053600
Wed Jan 24 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),171.389999,175.960007,170.669998,174.139999,9729000
Thu Jan 25 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),177.169998,178.399994,172.429993,172.630005,7234400
Fri Jan 26 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),169.070007,169.570007,166.619995,166.899994,6653700
Mon Jan 29 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),166.309998,168.509995,166.080002,168.479996,5370700
Tue Jan 30 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),167.330002,169.169998,165.820007,166.240005,5255300
Wed Jan 31 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),164,166.619995,160.960007,164.300003,6049400
Thu Feb 01 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),165.460007,167.740005,164.830002,166.970001,4082600
Fri Feb 02 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),165.919998,169.179993,165.460007,168.179993,4740800
Mon Feb 05 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),168.600006,172.279999,168.279999,171.089996,5749100
Tue Feb 06 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),170.990005,172.710007,167.5,168.699997,4550100
Wed Feb 07 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),170.490005,172.910004,168.830002,170.899994,5103400
