date,open,high,low,close,volume
Tue Jan 02 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),163.759995,164.580002,161.949997,162.869995,798500
Wed Jan 03 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),162.580002,162.580002,160.029999,160.600006,1033700
Thu Jan 04 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),161.139999,161.809998,160.350006,160.479996,697900
Fri Jan 05 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),159.979996,160.940002,159.279999,160.740005,554100
Mon Jan 08 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),160.850006,162.059998,159.929993,161.880005,638500
Tue Jan 09 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),161.399994,163.199997,160.110001,163,822400
Wed Jan 10 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),163.199997,163.839996,162.110001,163.679993,638300
Thu Jan 11 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),165,165.490005,162.850006,163.929993,631900
Fri Jan 12 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),164.919998,165,162.779999,163.440002,801000
Tue Jan 16 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),163.210007,163.759995,161.440002,163.610001,1040700
Wed Jan 17 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),162.649994,163.460007,159.990005,160.070007,1011500
Thu Jan 18 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),160.300003,162.460007,160,162.309998,1013800
Fri Jan 19 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),162.589996,162.919998,161.470001,162.029999,1304400
Mon Jan 22 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),162.779999,163.949997,162.289993,163.160004,1300400
Tue Jan 23 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),163.639999,165.259995,162.429993,165.119995,970300
Wed Jan 24 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),166.360001,166.649994,162.5,162.740005,802600
Thu Jan 25 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),164.059998,164.520004,163.149994,164.119995,584700
Fri Jan 26 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),164.660004,164.970001,163.320007,163.520004,426900
Mon Jan 29 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),162.770004,165.369995,162.710007,165.330002,982200
Tue Jan 30 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),165.139999,166.639999,164.509995,165.869995,855600
Wed Jan 31 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),165.759995,165.759995,161.929993,162.050003,1043900
Thu Feb 01 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),163.509995,165.899994,162.360001,165.869995,1206800
Fri Feb 02 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),165.350006,168.539993,164.660004,167.440002,1301000
Mon Feb 05 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),166.089996,167.580002,164.779999,166.990005,1396300
Tue Feb 06 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),167.960007,167.960007,163.789993,166.080002,1559300
Wed Feb 07 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),166.669998,168.639999,166.119995,166.729996,1098400
Thu Feb 08 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),167.600006,167.830002,165.550003,166.300003,976400
Fri Feb 09 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),166.410004,168.610001,166.410004,168.5,814700
Mon Feb 12 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),168.800003,169.300003,167.630005,168.419998,882200
Tue Feb 13 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),166.440002,168.130005,164.619995,168.039993,1969300
Wed Feb 14 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),168.789993,173.789993,168.5,173.410004,2079300
Thu Feb 15 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),174.210007,174.940002,171.350006,173.740005,1526000
Fri Feb 16 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),173.649994,175,173.320007,173.889999,1016400
Tue Feb 20 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),172.990005,175.369995,172.509995,174.809998,1311700
Wed Feb 21 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),174.75,175.660004,173.240005,174.800003,847000
Thu Feb 22 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),176.399994,178.669998,176.279999,178.210007,835300
Fri Feb 23 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),178.789993,179.229996,177.029999,178.199997,964700
Mon Feb 26 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),178.279999,180.119995,177.770004,178.889999,1163500
Tue Feb 27 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),179.279999,179.539993,176.690002,177.770004,781100
Wed Feb 28 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),178,179.669998,177.309998,178.720001,544800
Thu Feb 29 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),178.809998,180.740005,178.240005,180.179993,1819600
Fri Mar 01 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),180.110001,181.410004,179.539993,180.679993,1534700
