date,open,high,low,close,volume
Tue Jan 02 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),149.919998,150.960007,148.630005,149.839996,181500
Wed Jan 03 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),148.800003,149,146.070007,146.419998,203400
Thu Jan 04 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),147.729996,149.759995,146.860001,148.119995,283900
Fri Jan 05 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),147.270004,150.339996,147.270004,149.410004,372200
Mon Jan 08 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),149.25,152.539993,149.25,151.559998,149800
Tue Jan 09 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),150.270004,151.119995,147.839996,148.699997,175100
Wed Jan 10 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),148.580002,148.979996,147.770004,148.330002,151600
Thu Jan 11 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),148.710007,149.479996,147.449997,147.759995,171100
Fri Jan 12 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),149.330002,150.080002,147.279999,147.830002,196600
Tue Jan 16 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),146.820007,147.979996,145.360001,147.940002,245300
Wed Jan 17 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),146.160004,149.210007,146.160004,148.889999,281100
Thu Jan 18 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),150.169998,150.589996,148.240005,149.979996,205100
Fri Jan 19 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),151.460007,153.339996,149.979996,153.139999,164400
Mon Jan 22 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),153.690002,155.509995,152.600006,153.25,261400
Tue Jan 23 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),153.410004,153.410004,150.080002,150.410004,241100
Wed Jan 24 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),152.139999,152.75,149.710007,149.899994,224600
Thu Jan 25 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),150.570007,151.270004,149.550003,151.089996,141900
Fri Jan 26 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),151.429993,152.449997,151.160004,151.720001,126200
Mon Jan 29 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),151.759995,152.339996,150.449997,151.789993,137200
Tue Jan 30 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),151.149994,152.350006,151.029999,151.240005,130800
Wed Jan 31 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),150.440002,151.669998,148.660004,148.839996,320200
Thu Feb 01 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),149.369995,151.289993,147.699997,151.270004,321900
Fri Feb 02 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),150.630005,151.070007,149.179993,149.660004,404000
Mon Feb 05 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),154.389999,159.490005,153.320007,156.910004,530500
Tue Feb 06 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),156.490005,157.130005,152.960007,154.110001,315500
Wed Feb 07 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),154.679993,155.979996,152.589996,154.309998,247600
Thu Feb 08 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),153.860001,155.389999,152.139999,154.300003,395500
Fri Feb 09 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),154.580002,156.300003,153.570007,155.889999,186200
Mon Feb 12 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),156.039993,159.149994,155.479996,157.130005,193700
Tue Feb 13 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),153.910004,155.259995,152.619995,153.990005,260100
Wed Feb 14 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),155.199997,155.429993,153.259995,154.979996,231700
Thu Feb 15 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),156.240005,157.789993,156.240005,156.809998,166700
Fri Feb 16 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),156.300003,157.929993,155.710007,156.720001,158700
Tue Feb 20 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),155.149994,157.389999,155.149994,156.139999,308200
Wed Feb 21 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),156.570007,156.570007,155.279999,156.220001,142900
Thu Feb 22 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),157.520004,158.029999,157.110001,157.729996,104100
Fri Feb 23 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),158.339996,159.649994,157.649994,157.660004,183300
Mon Feb 26 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),157.169998,158.699997,156.600006,156.679993,106500
Tue Feb 27 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),157.149994,157.479996,156.169998,156.889999,152600
Wed Feb 28 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),156.529999,158.320007,156.289993,156.429993,132800
Thu Feb 29 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),157.080002,157.270004,155.470001,156.309998,361600
Fri Mar 01 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),156.740005,157.699997,155.199997,157.240005,172200
Mon Mar 04 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),157.639999,162.070007,156.850006,159.410004,183900
Tue Mar 05 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),158.949997,160,157.199997,158.580002,137700
Wed Mar 06 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),160.039993,160.039993,158.080002,159,123600
Thu Mar 07 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),159.639999,160.649994,159.419998,160.130005,104800
Fri Mar 08 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),160.869995,161.949997,158.919998,159.100006,123300
Mon Mar 11 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),158.800003,159.570007,158,158.759995,150700
Tue Mar 12 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),159.100006,159.710007,157.089996,158.029999,162900
Wed Mar 13 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),157.740005,161.149994,157.740005,161.020004,231200
Thu Mar 14 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),160.729996,161.300003,158.710007,160.910004,321700
Fri Mar 15 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),159.910004,162.619995,159.910004,161.039993,379500
Mon Mar 18 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),161,162.289993,160.130005,161.259995,236500
Tue Mar 19 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),161.679993,162.929993,160.740005,161.940002,231300
