date,open,high,low,close,volume
Tue Jan 02 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),81.699997,82.629997,81.190002,81.440002,613800
Wed Jan 03 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),80.870003,80.870003,78.089996,78.709999,1276800
Thu Jan 04 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),78.720001,80.459999,78.330002,79.379997,880600
Fri Jan 05 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),79.099998,79.669998,78.709999,79.040001,650300
Mon Jan 08 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),79.269997,79.5,78.440002,79.269997,790000
Tue Jan 09 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),78.839996,79.860001,78.800003,79.839996,662300
Wed Jan 10 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),79.839996,81.010002,79.660004,80.480003,838600
Thu Jan 11 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),80.480003,80.839996,79.860001,80.660004,670800
Fri Jan 12 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),81.260002,81.540001,80,81.110001,600300
Tue Jan 16 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),80.550003,81.120003,80.309998,80.980003,695800
Wed Jan 17 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),80.839996,81.709999,80.019997,80.120003,618700
Thu Jan 18 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),80.75,80.970001,79.839996,80.580002,569900
Fri Jan 19 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),80.559998,81.629997,80.07,81.209999,772300
Mon Jan 22 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),81.639999,82.410004,81.389999,82.120003,889100
Tue Jan 23 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),82.080002,82.349998,81.32,81.849998,1234200
Wed Jan 24 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),82.230003,82.230003,80.300003,80.330002,803800
Thu Jan 25 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),80.900002,81.459999,80.809998,81.269997,1034400
Fri Jan 26 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),81.339996,81.699997,80.580002,80.919998,846600
Mon Jan 29 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),80.949997,81.800003,80.610001,81.650002,962700
Tue Jan 30 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),78.760002,80.349998,76.93,79.720001,2496500
Wed Jan 31 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),79.860001,79.860001,77.089996,77.610001,2569400
Thu Feb 01 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),78.300003,79.699997,77.949997,79.57,1200000
Fri Feb 02 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),79.010002,79.099998,77.25,78.330002,1058100
Mon Feb 05 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),78.040001,78.040001,76.889999,77.089996,999900
Tue Feb 06 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),77.169998,78.459999,77.099998,78.220001,974200
Wed Feb 07 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),79.019997,80.410004,78.919998,79.839996,878200
Thu Feb 08 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),80.220001,80.82,79.730003,80.25,835500
Fri Feb 09 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),80.290001,80.800003,79.980003,80.540001,707600
Mon Feb 12 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),80.760002,81.610001,80.43,81.279999,654000
Tue Feb 13 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),79.629997,80.300003,78.760002,79.25,1136000
Wed Feb 14 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),80,81.470001,79.730003,81.169998,1050600
Thu Feb 15 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),81.800003,82.160004,80.050003,81,906700
Fri Feb 16 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),80.739998,81.360001,80,80.089996,752000
