date,open,high,low,close,volume
Tue Jan 02 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),26.66,28.6,26.389999,27.379999,333100
Wed Jan 03 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),26.99,28.379999,26.52,28.209999,329400
Thu Jan 04 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),28.190001,28.209999,26.620001,26.67,224800
Fri Jan 05 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),26.620001,27.459999,26.049999,26.309999,202900
Mon Jan 08 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),26.309999,27.059999,26.23,26.74,128200
Tue Jan 09 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),26.16,26.690001,25.860001,26.48,167100
Wed Jan 10 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),26.370001,26.389999,25.559999,26.120001,163200
Thu Jan 11 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),26.389999,26.709999,26.17,26.540001,134500
Fri Jan 12 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),26.790001,26.870001,26.4,26.43,93600
Tue Jan 16 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),26.16,26.34,25.940001,26.16,124600
Wed Jan 17 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),25.639999,26.33,25.450001,26.25,174500
Thu Jan 18 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),26.68,27.309999,26.450001,27.23,110700
Fri Jan 19 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),27.34,27.620001,26.610001,27.540001,117700
Mon Jan 22 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),28,28.5,27.790001,28.17,176700
Tue Jan 23 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),28.58,28.790001,28.32,28.709999,108500
Wed Jan 24 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),29.110001,29.110001,27.83,28.1,130900
Thu Jan 25 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),28.49,28.49,27.459999,27.969999,149600
Fri Jan 26 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),27.950001,27.950001,26.48,26.799999,125700
Mon Jan 29 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),26.700001,27.58,26.379999,27.57,170100
Tue Jan 30 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),27.309999,27.74,26.42,26.42,77900
Wed Jan 31 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),26.16,26.799999,25.620001,25.66,117900
Thu Feb 01 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),25.809999,25.950001,25.48,25.889999,114700
Fri Feb 02 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),25.530001,25.82,25.219999,25.23,93400
Mon Feb 05 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),25.07,26.18,24.83,26.07,166800
Tue Feb 06 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),25.9,25.969999,25.309999,25.74,155600
Wed Feb 07 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),23.549999,24.42,21.370001,23,562300
Thu Feb 08 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),22.809999,23.25,22.25,22.5,250300
Fri Feb 09 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),22.540001,23.67,22.48,23.469999,202500
Mon Feb 12 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),23.6,24.02,23.52,23.65,175000
Tue Feb 13 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),22.790001,23.1,22.08,22.23,208700
Wed Feb 14 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),22.75,23.059999,22.41,22.889999,167900
Thu Feb 15 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),23.290001,23.43,22.73,22.969999,194300
Fri Feb 16 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),22.879999,23,22.35,22.41,127800
Tue Feb 20 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),22.07,22.59,21.790001,22.23,181100
Wed Feb 21 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),22.200001,22.24,21.75,22.110001,133800
Thu Feb 22 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),22.09,22.23,21.889999,22.09,183500
Fri Feb 23 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),21.799999,22.07,21.59,21.809999,158000
Mon Feb 26 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),21.809999,22.389999,21.809999,22.190001,106000
Tue Feb 27 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),22.360001,22.68,21.969999,22,107800
Wed Feb 28 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),21.68,22.01,21.610001,21.66,115400
Thu Feb 29 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),22.15,22.299999,21.59,21.9,158000
Fri Mar 01 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),22.049999,22.959999,21.940001,22.860001,157600
Mon Mar 04 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),23,23.34,22.530001,22.76,107300
Tue Mar 05 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),22.540001,22.74,22.15,22.290001,91800
Wed Mar 06 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),22.68,23.25,22.5,22.99,99100
Thu Mar 07 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),23.200001,25.01,23.200001,24.58,135000
Fri Mar 08 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),24.9,25,23.91,23.940001,85200
Mon Mar 11 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),23.59,24.01,23.33,23.559999,127000
Tue Mar 12 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),23.58,23.66,23.08,23.32,100300
Wed Mar 13 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),23.049999,23.33,22.360001,22.469999,130900
Thu Mar 14 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),22.25,22.469999,21.48,21.639999,111800
Fri Mar 15 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),21.4,21.93,21.4,21.549999,271600
Mon Mar 18 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),21.610001,21.620001,20.92,20.92,117800
Tue Mar 19 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),20.75,21.09,20.57,20.73,83400
Wed Mar 20 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),20.559999,21.549999,20.360001,21.35,132200
Thu Mar 21 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),21.59,23.15,21.549999,22.219999,198800
Fri Mar 22 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),22.1,22.219999,21.58,21.639999,65800
Mon Mar 25 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),21.57,21.76,21.43,21.58,59900
Tue Mar 26 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),21.709999,21.879999,21.030001,21.030001,97000
Wed Mar 27 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),21.33,21.889999,20.85,21.84,116900
Thu Mar 28 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),21.860001,22.27,21.780001,22.040001,99600
Mon Apr 01 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),22,22.450001,21.83,22.07,67000
Tue Apr 02 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),21.879999,21.879999,21.59,21.75,134900
Wed Apr 03 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),21.43,22.82,21.389999,22.82,105500
Thu Apr 04 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),23.18,23.73,22.66,22.799999,127300
Fri Apr 05 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),22.68,22.76,22.129999,22.51,92800
Mon Apr 08 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),22.639999,23.07,22.5,22.93,73200
Tue Apr 09 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),23.08,23.309999,22.91,23.18,66100
Wed Apr 10 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),22.32,23.219999,22.09,22.280001,106000
Thu Apr 11 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),22.209999,22.93,21.99,22.889999,82500
Fri Apr 12 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),22.52,22.52,21.66,21.719999,78700
Mon Apr 15 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),22.02,22.07,21.16,21.459999,95600
Tue Apr 16 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),21.25,21.530001,20.98,21.35,61200
Wed Apr 17 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),21.5,21.690001,20.629999,20.66,73800
Thu Apr 18 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),20.48,20.48,19.870001,20.02,138200
Fri Apr 19 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),19.809999,20.09,19.379999,19.549999,162800
Mon Apr 22 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),19.799999,19.950001,19.43,19.790001,89900
Tue Apr 23 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),19.790001,20.41,19.790001,20.18,84300
Wed Apr 24 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),20.23,21.25,20.23,21.209999,132600
Thu Apr 25 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),20.98,21.559999,20.73,21.51,98900
Fri Apr 26 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),21.5,22.280001,21.459999,22.190001,80700
Mon Apr 29 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),22.200001,22.559999,21.889999,22.459999,82200
Tue Apr 30 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),22.27,22.35,21.84,21.870001,106000
Wed May 01 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),21.639999,21.77,21,21.07,123200
Thu May 02 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),21.379999,21.940001,20.969999,21.9,78800
Fri May 03 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),22.58,22.700001,22.030001,22.360001,80000
Mon May 06 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),22.49,22.67,21.76,22.16,245600
Tue May 07 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),22.389999,23.370001,22.27,22.280001,173900
Wed May 08 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),23,27.209999,22.790001,26.93,594900
Thu May 09 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),26.67,27.17,26.290001,27.09,257800
Fri May 10 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),26.74,27.200001,26.549999,27,227000
Mon May 13 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),26.969999,27.48,26.209999,27.190001,159800
Tue May 14 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),27.43,27.690001,27.02,27.620001,165200
Wed May 15 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),27.77,27.82,27.02,27.790001,182300
Thu May 16 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),27.57,27.870001,27.219999,27.25,164300
Fri May 17 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),27.549999,27.549999,26.82,27.23,103700
Mon May 20 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),27.18,27.52,26.559999,26.690001,128300
Tue May 21 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),26.450001,26.629999,26.07,26.58,95100
Wed May 22 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),26.860001,27.77,26.709999,27.4,141800
Thu May 23 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),28,28.700001,27,27.25,216400
Fri May 24 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),27.459999,28.9,27.33,28.34,161300
Tue May 28 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),28.709999,29.959999,28.459999,29.709999,288600
Wed May 29 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),29.07,29.6,28.879999,29.440001,136700
Thu May 30 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),29.690001,30.58,29.65,29.790001,235500
Fri May 31 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),29.99,30.389999,28.940001,29.309999,156600
Mon Jun 03 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),29.690001,29.959999,27.99,28.790001,209600
Tue Jun 04 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),28.74,28.74,27.9,28.4,109600
Wed Jun 05 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),28.74,29.83,28.49,29.709999,229700
Thu Jun 06 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),29.57,29.780001,29,29.530001,114600
Fri Jun 07 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),29.219999,29.629999,28.92,29.15,93500
Mon Jun 10 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),28.709999,29.540001,28.709999,29.370001,127000
Tue Jun 11 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),29.040001,29.59,28.700001,29.57,179400
Wed Jun 12 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),30,31.26,29.99,30.67,202900
Thu Jun 13 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),30.58,30.6,29.309999,29.93,166300
Fri Jun 14 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),30.01,30.190001,29.68,30.129999,144300
Mon Jun 17 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),29.719999,30.559999,29.41,30.52,176300
Tue Jun 18 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),30.549999,31.4,30.33,31.35,206400
Thu Jun 20 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),31.5,36.5,31.040001,32.540001,1334200
Fri Jun 21 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),32.610001,32.880001,31.559999,32.490002,816100
Mon Jun 24 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),32.560001,36.599998,32.560001,35.880001,766500
Tue Jun 25 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),35.880001,36.650002,34.09,36.580002,521700
Wed Jun 26 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),36.419998,37.529999,36.25,37.380001,522700
Thu Jun 27 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),37.52,37.57,34.689999,35.77,394500
Fri Jun 28 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),37,37.880001,36.07,37.369999,528000
Mon Jul 01 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),37.369999,38.380001,36.599998,38.240002,312500
Tue Jul 02 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),38.110001,40.790001,38.110001,38.419998,529700
Wed Jul 03 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),38.639999,39.48,37.709999,37.82,214200
Fri Jul 05 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),37.82,38.189999,36.689999,37.48,381000
Mon Jul 08 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),37.48,37.959999,37.060001,37.43,324600
Tue Jul 09 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),37.599998,38.240002,36.880001,38.169998,237100
Wed Jul 10 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),38.23,38.34,37.060001,37.139999,225900
Thu Jul 11 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),38.810001,40.259998,38.279999,39.619999,735500
Fri Jul 12 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),40.25,44.080002,39.509998,42.310001,1124100
