date,open,high,low,close,volume
Tue Jan 02 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),8.48,9.02,8.35,8.89,49100
Wed Jan 03 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),8.92,8.95,8.32,8.42,50600
Thu Jan 04 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),8.38,8.44,8.28,8.3,21600
Fri Jan 05 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),8.25,8.645,8.25,8.42,41800
Mon Jan 08 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),8.45,8.6,8.253,8.41,18400
Tue Jan 09 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),8.33,8.57,8.27,8.34,19400
Wed Jan 10 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),8.295,8.45,8.283,8.39,21600
Thu Jan 11 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),8.439,8.83,8.38,8.7,42100
Fri Jan 12 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),8.7,8.925,8.6,8.77,51200
Tue Jan 16 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),8.75,9.06,8.603,8.85,57800
Wed Jan 17 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),8.93,9.35,8.85,9.03,96800
Thu Jan 18 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),8.99,9.15,8.91,9.15,95100
Fri Jan 19 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),9.2,9.2,8.95,9.14,42100
Mon Jan 22 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),9.09,9.3,9.07,9.22,69100
Tue Jan 23 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),9.18,9.35,8.94,9,54000
Wed Jan 24 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),9,9.16,8.917,9.15,24200
Thu Jan 25 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),9.29,9.29,9.054,9.15,41300
Fri Jan 26 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),9.18,9.5,8.94,9.5,50900
Mon Jan 29 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),9.41,9.537,9.2,9.2,23300
Tue Jan 30 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),9.23,9.23,8.94,8.97,19900
Wed Jan 31 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),8.61,8.882,8.55,8.56,50600
Thu Feb 01 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),8.54,8.81,8.54,8.8,21400
Fri Feb 02 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),8.89,9.19,8.78,9.15,37500
Mon Feb 05 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),9.12,9.12,8.65,8.7,35100
Tue Feb 06 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),8.77,8.938,8.656,8.71,13300
Wed Feb 07 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),8.66,8.74,8.57,8.66,14100
Thu Feb 08 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),8.62,8.99,8.574,8.94,16300
Fri Feb 09 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),8.66,9.11,8.66,8.99,43500
Mon Feb 12 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),9.07,9.33,8.95,8.95,30000
Tue Feb 13 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),8.71,8.85,8.61,8.72,14200
Wed Feb 14 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),8.75,8.885,8.65,8.71,18000
Thu Feb 15 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),8.68,8.765,8.4,8.5,18700
Fri Feb 16 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),8.5,8.547,8.31,8.43,20100
Tue Feb 20 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),8.3,8.44,8.3,8.33,17400
Wed Feb 21 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),8.27,8.42,8.18,8.28,26100
Thu Feb 22 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),8.19,8.58,8.12,8.57,24300
Fri Feb 23 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),8.59,8.59,8.35,8.38,16700
Mon Feb 26 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),8.43,8.64,8.11,8.26,25000
Tue Feb 27 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),8.2,8.343,8.05,8.08,16200
Wed Feb 28 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),8,8.301,8,8,16200
Thu Feb 29 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),7.99,8.09,7.71,7.85,45900
Fri Mar 01 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),7.85,8.09,7.85,7.91,23100
Mon Mar 04 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),8.17,8.21,7.9,7.9,22300
Tue Mar 05 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),7.9,8.23,7.9,7.96,25500
Wed Mar 06 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),7.95,8.24,7.918,7.97,21300
Thu Mar 07 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),7.97,8.57,7.97,8.4,38200
Fri Mar 08 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),7.71,9,7.71,8.68,92200
Mon Mar 11 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),8.63,8.84,8.41,8.41,25100
Tue Mar 12 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),8.6,8.85,8.45,8.64,62200
Wed Mar 13 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),8.62,8.87,8.564,8.62,27200
Thu Mar 14 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),8.62,8.76,8.434,8.7,24800
Fri Mar 15 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),8.57,8.93,8.48,8.49,92800
Mon Mar 18 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),8.42,8.748,8.37,8.55,29600
Tue Mar 19 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),8.6,8.759,8.54,8.57,28400
Wed Mar 20 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),8.52,8.89,8.52,8.89,43100
Thu Mar 21 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),8.92,9.088,8.92,8.95,16300
Fri Mar 22 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),9.09,9.09,8.7,8.73,14900
Mon Mar 25 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),8.72,8.74,8.36,8.36,29500
Tue Mar 26 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),8.32,8.75,8.32,8.62,21400
Wed Mar 27 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),8.62,8.89,8.6,8.65,20600
Thu Mar 28 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),8.59,8.86,8.517,8.8,15700
Mon Apr 01 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),8.74,8.84,8.32,8.64,32200
Tue Apr 02 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),8.37,8.73,8.36,8.66,28600
Wed Apr 03 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),8.54,8.99,8.54,8.76,36100
Thu Apr 04 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),8.8,8.94,8.65,8.69,22600
Fri Apr 05 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),8.63,8.78,8.55,8.77,15500
Mon Apr 08 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),8.72,8.99,8.67,8.85,23100
Tue Apr 09 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),8.8,8.91,8.71,8.76,19600
Wed Apr 10 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),8.665,8.771,8.61,8.71,15400
Thu Apr 11 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),8.67,8.705,8.561,8.65,22000
