date,open,high,low,close,volume
Tue Jan 02 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),48.985001,48.985001,48.185001,48.415001,5281600
Wed Jan 03 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),48.105,48.105,47.514999,47.540001,6143000
Thu Jan 04 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),46.959999,47.610001,46.945,47.314999,4943600
Fri Jan 05 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),47.145,47.540001,47.025002,47.23,4018800
Mon Jan 08 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),47.560001,48.305,47.535,48.290001,4602400
Tue Jan 09 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),47.724998,48.119999,47.650002,47.924999,3249200
Wed Jan 10 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),47.91,48.25,47.77,48.105,3826400
Thu Jan 11 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),48.105,48.27,47.564999,48.209999,4073800
Fri Jan 12 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),48.435001,48.514999,48.040001,48.25,3089000
Tue Jan 16 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),48.075001,48.334999,47.695,48.07,4461600
Wed Jan 17 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),47.740002,48.035,47.375,47.665001,4180800
Thu Jan 18 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),47.93,48.384998,47.764999,48.349998,5668400
Fri Jan 19 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),48.68,48.875,48.264999,48.805,7022000
Mon Jan 22 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),48.814999,49.240002,48.709999,48.985001,5512800
Tue Jan 23 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),49.060001,49.099998,48.52,48.970001,6778400
Wed Jan 24 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),50.544998,51.535,49.555,50.330002,13113800
Thu Jan 25 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),49.709999,50.889999,49.375,50.404999,8276400
Fri Jan 26 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),50.404999,50.799999,50.105,50.355,4483400
Mon Jan 29 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),50.075001,50.724998,49.974998,50.724998,4624400
Tue Jan 30 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),51.25,51.535,51.095001,51.389999,6055800
Wed Jan 31 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),51.189999,51.345001,50.525002,50.549999,5675000
Thu Feb 01 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),50.619999,51.23,50.48,51.209999,5098200
Fri Feb 02 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),51.035,52.049999,51.035,51.73,5413200
Mon Feb 05 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),51.650002,51.695,51.025002,51.494999,4179400
Tue Feb 06 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),51.470001,51.75,51.154999,51.384998,5496600
Wed Feb 07 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),51.514999,52.18,51.325001,52.130001,4974400
Thu Feb 08 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),52.16,52.485001,52.150002,52.43,4077600
Fri Feb 09 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),52.5,52.705002,52.27,52.645,3286400
Mon Feb 12 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),52.639999,52.830002,52.435001,52.514999,3726400
Tue Feb 13 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),51.584999,51.889999,51.134998,51.540001,5044600
Wed Feb 14 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),51.865002,52.115002,51.689999,52.055,4316400
Thu Feb 15 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),52.27,52.884998,52.27,52.834999,3979800
Fri Feb 16 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),52.970001,53.255001,52.665001,52.759998,3635800
Tue Feb 20 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),52.349998,52.619999,52.064999,52.305,4331600
Wed Feb 21 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),52.215,52.584999,52.099998,52.5,4639600
Thu Feb 22 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),53.005001,53.459999,52.895,53.224998,6201200
Fri Feb 23 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),53.470001,53.849998,53.244999,53.735001,3990600
Mon Feb 26 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),53.75,54.099998,53.669998,54.049999,5116800
Tue Feb 27 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),54.060001,54.075001,53.755001,53.970001,3976400
Wed Feb 28 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),53.869999,54.5,53.855,54.174999,4034200
Thu Feb 29 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),54.439999,54.860001,54.235001,54.619999,9286200
Fri Mar 01 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),54.564999,55.439999,54.474998,55.404999,4298600
Mon Mar 04 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),55.5,56.200001,55.435001,55.959999,4498200
Tue Mar 05 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),55.665001,55.775002,54.439999,54.82,3877600
Wed Mar 06 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),55.18,55.755001,55.130001,55.255001,4311400
Thu Mar 07 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),55.455002,55.889999,55.450001,55.674999,4007000
