date,open,high,low,close,volume
Tue Jan 02 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),2.02,2.05,1.95,2.01,325900
Wed Jan 03 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),2,2.1,1.98,2.09,468500
Thu Jan 04 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),2.09,2.26,2.07,2.26,1121300
Fri Jan 05 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),2.28,2.4,2.258,2.34,812000
Mon Jan 08 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),2.35,2.63,2.3,2.5,1784900
Tue Jan 09 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),2.48,2.78,2.32,2.72,1829500
Wed Jan 10 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),2.81,2.81,2.38,2.56,1561200
Thu Jan 11 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),2.56,2.56,2.32,2.51,676500
Fri Jan 12 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),2.48,2.74,2.475,2.63,867600
Tue Jan 16 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),2.7,2.81,2.5,2.655,1437200
Wed Jan 17 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),2.61,2.68,2.53,2.625,554400
Thu Jan 18 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),2.66,2.66,2.421,2.48,968300
Fri Jan 19 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),2.45,2.5,2.37,2.44,688200
Mon Jan 22 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),2.46,2.54,2.41,2.51,558900
Tue Jan 23 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),2.51,2.59,2.465,2.5,458400
Wed Jan 24 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),2.49,2.51,2.38,2.39,438700
Thu Jan 25 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),2.41,2.47,2.32,2.37,635800
Fri Jan 26 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),2.38,2.42,2.33,2.39,242000
Mon Jan 29 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),2.41,2.47,2.36,2.46,413500
Tue Jan 30 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),2.45,2.46,2.37,2.38,368200
Wed Jan 31 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),2.4,2.46,2.36,2.39,292400
Thu Feb 01 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),2.45,2.74,2.4,2.67,1155200
Fri Feb 02 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),2.68,2.76,2.56,2.63,699700
Mon Feb 05 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),2.65,2.725,2.571,2.7,340200
Tue Feb 06 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),2.73,2.95,2.727,2.79,921000
Wed Feb 07 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),2.8,2.8,2.63,2.64,527700
Thu Feb 08 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),2.64,2.71,2.6,2.68,1096200
Fri Feb 09 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),2.68,2.83,2.68,2.75,374600
Mon Feb 12 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),2.75,2.84,2.72,2.77,418300
Tue Feb 13 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),2.73,2.75,2.62,2.65,564800
Wed Feb 14 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),2.7,2.73,2.63,2.68,344300
Thu Feb 15 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),2.68,2.75,2.61,2.72,619700
Fri Feb 16 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),2.73,2.742,2.66,2.695,471400
Tue Feb 20 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),2.73,2.91,2.61,2.65,1401500
Wed Feb 21 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),2.66,2.696,2.45,2.51,1172800
Thu Feb 22 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),2.65,2.78,2.56,2.63,2260200
Fri Feb 23 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),2.7,2.77,2.57,2.57,4593900
Mon Feb 26 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),2.63,2.94,2.63,2.85,2475600
Tue Feb 27 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),3,3.38,2.97,3.2,3524600
Wed Feb 28 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),3.3,3.7,3.108,3.65,3521100
Thu Feb 29 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),3.72,3.95,3.45,3.67,3462600
Fri Mar 01 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),3.71,4.39,3.69,4.24,3666900
Mon Mar 04 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),4.92,4.96,4,4.18,5364000
Tue Mar 05 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),4.32,4.61,4.01,4.19,3855000
Wed Mar 06 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),4.1,5.19,3.6,5.03,7072100
Thu Mar 07 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),5.12,5.75,4.83,5.68,5841800
Fri Mar 08 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),5.6,5.61,4.83,4.88,3531500
Mon Mar 11 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),5.02,5.3,4.7,4.94,2963100
Tue Mar 12 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),4.96,5.22,4.89,5.1,1682300
Wed Mar 13 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),5.05,5.49,4.941,5.44,2250000
Thu Mar 14 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),5.47,5.66,5.15,5.25,3180800
Fri Mar 15 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),5.41,6.18,5.35,6.09,6307200
Mon Mar 18 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),6.23,6.23,5.51,5.51,2660900
