date,open,high,low,close,volume
Tue Jan 02 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),3.3,3.32,3.23,3.26,100300
Wed Jan 03 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),3.25,3.25,3.14,3.17,142500
Thu Jan 04 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),3.2,3.22,3.1,3.12,108300
Fri Jan 05 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),3.12,3.15,3.03,3.07,105400
Mon Jan 08 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),3.1,3.1,3.01,3.03,133700
Tue Jan 09 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),3,3,2.9,2.91,183300
Wed Jan 10 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),2.92,2.96,2.88,2.88,174800
Thu Jan 11 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),2.89,3.12,2.81,3.07,422300
Fri Jan 12 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),3.1,3.13,2.99,3.1,186300
Tue Jan 16 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),3.09,3.19,3.09,3.12,149700
Wed Jan 17 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),3.07,3.12,3.02,3.03,76500
Thu Jan 18 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),3.06,3.06,2.94,2.98,78400
Fri Jan 19 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),3.03,3.03,2.92,2.94,141200
Mon Jan 22 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),2.95,3,2.9,2.94,132000
Tue Jan 23 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),2.91,3,2.91,2.95,130800
Wed Jan 24 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),3.01,3.02,2.98,2.98,114700
Thu Jan 25 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),3.02,3.05,3,3.05,81300
Fri Jan 26 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),3.02,3.1,3.02,3.07,100400
Mon Jan 29 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),3.11,3.16,3.04,3.14,239800
Tue Jan 30 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),3.06,3.09,3.03,3.04,109700
Wed Jan 31 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),3.04,3.06,2.88,2.95,235700
Thu Feb 01 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),2.92,3.01,2.91,2.99,97400
Fri Feb 02 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),2.94,2.96,2.91,2.95,91400
Mon Feb 05 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),2.93,2.96,2.85,2.92,178800
Tue Feb 06 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),2.93,2.98,2.85,2.91,134100
Wed Feb 07 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),2.89,2.93,2.86,2.92,121800
Thu Feb 08 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),2.89,2.95,2.86,2.94,64900
Fri Feb 09 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),2.91,2.95,2.83,2.85,162800
Mon Feb 12 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),2.84,2.92,2.81,2.81,132600
Tue Feb 13 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),2.8,2.84,2.64,2.67,255200
Wed Feb 14 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),2.73,2.82,2.69,2.75,169700
Thu Feb 15 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),2.78,2.78,2.64,2.76,248400
Fri Feb 16 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),2.76,2.77,2.7,2.71,184600
Tue Feb 20 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),2.72,2.76,2.69,2.69,136200
Wed Feb 21 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),2.69,2.71,2.62,2.65,223400
Thu Feb 22 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),2.69,2.72,2.61,2.63,178100
Fri Feb 23 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),2.62,2.68,2.61,2.68,155200
Mon Feb 26 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),2.65,2.72,2.65,2.72,256600
Tue Feb 27 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),2.71,2.75,2.65,2.68,356500
Wed Feb 28 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),2.7,2.72,2.65,2.7,214300
Thu Feb 29 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),2.68,2.72,2.6,2.71,241300
Fri Mar 01 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),2.69,2.71,2.59,2.65,288100
Mon Mar 04 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),2.65,2.66,2.58,2.62,167800
Tue Mar 05 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),2.65,2.68,2.61,2.64,94500
Wed Mar 06 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),2.64,2.64,2.59,2.63,95600
Thu Mar 07 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),2.64,2.65,2.58,2.61,147600
Fri Mar 08 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),2.61,2.64,2.6,2.63,70700
Mon Mar 11 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),2.62,2.63,2.57,2.61,119400
Tue Mar 12 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),2.62,2.66,2.6,2.64,114000
Wed Mar 13 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),2.64,2.66,2.61,2.64,68600
Thu Mar 14 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),2.63,2.65,2.6,2.63,40900
Fri Mar 15 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),2.64,2.69,2.6,2.65,233000
