date,open,high,low,close,volume
Tue Jan 02 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),2.4,2.41,2.27,2.3,4600
Wed Jan 03 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),2.3,2.3,1.86,2.09,1416400
Thu Jan 04 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),2.49,2.81,2.37,2.59,1855500
Fri Jan 05 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),2.5,2.55,2.11,2.15,377200
Mon Jan 08 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),1.79,1.87,1.66,1.78,515200
Tue Jan 09 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),1.69,1.72,1.59,1.65,102200
Wed Jan 10 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),1.66,1.66,1.47,1.51,130300
Thu Jan 11 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),1.46,1.5,1.34,1.38,151300
Fri Jan 12 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),1.35,1.43,1.3,1.31,101400
Tue Jan 16 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),1.35,1.36,1.17,1.25,61200
Wed Jan 17 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),1.2,1.27,1.14,1.25,114700
Thu Jan 18 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),1.25,1.39,1.24,1.27,105300
Fri Jan 19 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),1.35,1.35,0.78,0.84,475500
Mon Jan 22 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),0.83,0.86,0.77,0.83,267700
Tue Jan 23 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),0.83,0.86,0.79,0.83,231500
Wed Jan 24 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),0.83,0.95,0.83,0.9,106000
Thu Jan 25 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),0.91,1.26,0.9,1.12,229900
Fri Jan 26 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),1.15,1.19,1.09,1.16,44300
Mon Jan 29 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),1.13,1.2,1.11,1.17,62300
Tue Jan 30 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),1.17,1.7,1.17,1.51,263500
Wed Jan 31 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),1.62,1.63,1.32,1.53,119800
Thu Feb 01 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),1.48,1.58,1.41,1.49,35400
Fri Feb 02 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),1.5,1.5,1.16,1.32,120500
Mon Feb 05 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),1.32,1.32,1.15,1.16,40600
Tue Feb 06 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),1.19,1.33,1.17,1.19,16900
Wed Feb 07 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),1.21,1.22,1.16,1.17,15200
Thu Feb 08 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),1.18,1.25,1.13,1.19,24400
Fri Feb 09 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),1.2,1.28,1.15,1.19,12800
Mon Feb 12 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),1.14,1.26,1.13,1.2,15200
Tue Feb 13 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),1.16,1.2,1.02,1.17,26300
Wed Feb 14 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),1.16,1.39,1.11,1.39,162700
Thu Feb 15 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),1.35,1.9,1.25,1.87,477500
Fri Feb 16 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),1.75,2,1.67,1.85,274700
Tue Feb 20 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),1.9,2.35,1.88,2.2,213000
Wed Feb 21 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),2.24,2.24,1.9,1.96,94600
Thu Feb 22 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),2.01,2.04,1.8,1.86,42800
Fri Feb 23 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),1.81,1.87,1.75,1.75,77600
Mon Feb 26 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),1.78,1.85,1.75,1.8,31500
Tue Feb 27 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),1.8,1.83,1.62,1.74,65100
