date,open,high,low,close,volume
Tue Jan 02 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),23.08,23.200001,22.799999,23.040001,28100
Wed Jan 03 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),23,23.24,22.950001,23.049999,13700
Thu Jan 04 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),23.01,23.049999,23,23.049999,1500
Fri Jan 05 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),23.049999,23.190001,23.01,23.01,5000
Mon Jan 08 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),23.030001,23.219999,23.030001,23.1,1300
Tue Jan 09 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),23.08,23.24,23.08,23.17,1900
Wed Jan 10 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),23.07,23.26,23,23.15,10100
Thu Jan 11 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),23.129999,23.23,23.030001,23.209999,5200
Fri Jan 12 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),23.190001,23.219999,22.99,23.139999,9700
Tue Jan 16 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),23,23.18,22.99,22.99,2900
Wed Jan 17 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),22.99,22.99,22.549999,22.969999,11200
Thu Jan 18 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),22.93,22.93,22.74,22.82,5100
Fri Jan 19 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),22.82,22.82,22.82,22.82,400
Mon Jan 22 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),22.82,23.17,22.700001,22.940001,11900
Tue Jan 23 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),22.950001,22.959999,22.950001,22.950001,1700
Wed Jan 24 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),22.92,23.26,22.83,23.17,4700
Thu Jan 25 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),23.16,23.4,23.16,23.4,11000
Fri Jan 26 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),23.129999,23.35,23,23.35,3700
Mon Jan 29 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),23.35,23.49,23.26,23.27,15200
Tue Jan 30 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),23.290001,23.33,23.25,23.299999,3000
Wed Jan 31 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),23.309999,23.309999,22.290001,22.43,43000
Thu Feb 01 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),22.75,23.030001,22.51,22.959999,29100
Fri Feb 02 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),22.92,22.950001,22.92,22.950001,1500
Mon Feb 05 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),22.790001,22.9,22.629999,22.879999,4800
Tue Feb 06 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),22.98,23.059999,22.889999,23.059999,7900
Wed Feb 07 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),22.959999,23.190001,22.879999,23.030001,9700
Thu Feb 08 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),22.98,23.01,22.9,22.99,6200
Fri Feb 09 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),23,23.16,23,23.139999,5100
Mon Feb 12 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),23.049999,23.209999,23.040001,23.08,5300
Tue Feb 13 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),23.209999,23.209999,22.66,23.01,17600
Wed Feb 14 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),22.959999,22.959999,22.9,22.9,800
Thu Feb 15 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),22.610001,23.32,22.610001,23.32,18200
Fri Feb 16 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),23.299999,23.33,23.299999,23.33,2000
Tue Feb 20 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),23.18,23.18,23.049999,23.049999,2600
Wed Feb 21 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),23.23,23.379999,23.17,23.32,8500
Thu Feb 22 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),23.41,23.41,23.07,23.370001,1300
Fri Feb 23 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),23.379999,23.379999,23.190001,23.370001,9700
Mon Feb 26 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),23.26,23.4,23.16,23.35,10000
