date,open,high,low,close,volume
Tue Jan 02 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),15.45,15.53,15.03,15.18,1051400
Wed Jan 03 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),15.13,15.53,15.06,15.24,1368200
Thu Jan 04 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),15.44,15.55,15.1,15.1,1371100
Fri Jan 05 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),15.12,15.4,15.12,15.3,1118900
Mon Jan 08 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),15.05,15.05,14.59,15.01,991800
Tue Jan 09 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),14.92,15.02,14.68,14.99,965800
Wed Jan 10 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),14.94,14.97,14.58,14.65,838000
Thu Jan 11 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),14.71,14.78,14.39,14.52,877000
Fri Jan 12 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),14.7,14.8,14.49,14.65,701500
Tue Jan 16 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),14.63,15.01,14.58,15,1676200
Wed Jan 17 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),14.74,15,14.69,14.92,1745300
Thu Jan 18 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),14.97,15.17,14.71,14.98,1062200
Fri Jan 19 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),15.04,15.26,14.93,15.26,876200
Mon Jan 22 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),15.36,15.8,15.36,15.77,1664600
Tue Jan 23 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),15.77,15.93,15.6,15.61,1062800
Wed Jan 24 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),15.77,15.93,15.72,15.86,1132200
Thu Jan 25 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),16,16.07,15.81,16,592700
Fri Jan 26 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),16.200001,16.83,16,16.73,1487400
Mon Jan 29 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),16.639999,16.700001,16.25,16.58,1317800
Tue Jan 30 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),16.41,16.85,16.32,16.780001,1580800
Wed Jan 31 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),16.83,16.860001,16.32,16.34,1159500
Thu Feb 01 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),16.49,16.67,16.299999,16.59,1388100
Fri Feb 02 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),16.51,16.540001,16.25,16.25,867900
Mon Feb 05 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),16,16,15.65,15.83,671700
Tue Feb 06 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),15.88,15.96,15.75,15.77,724100
Wed Feb 07 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),15.81,15.92,15.74,15.85,910600
Thu Feb 08 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),15.81,16.200001,15.81,16.17,825500
Fri Feb 09 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),16.200001,16.35,16.16,16.309999,928100
Mon Feb 12 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),16.34,16.66,16.34,16.51,1293900
Tue Feb 13 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),16.27,16.41,16.049999,16.18,1272300
Wed Feb 14 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),16.389999,16.5,16.18,16.26,991300
Thu Feb 15 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),16.34,17.16,16.34,17.049999,1895300
Fri Feb 16 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),16.98,17.49,16.85,17.35,1223500
Tue Feb 20 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),17.17,17.67,17.16,17.639999,2486700
Wed Feb 21 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),17.85,19.42,17.85,18.48,3113500
Thu Feb 22 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),18.5,19.209999,18.450001,18.99,2076700
Fri Feb 23 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),18.780001,18.959999,18.17,18.389999,1356600
Mon Feb 26 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),18.35,18.379999,17.92,17.92,1596900
Tue Feb 27 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),17.98,18.09,17.690001,17.84,1246000
Wed Feb 28 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),18,18.26,17.860001,17.950001,1017300
Thu Feb 29 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),18.08,18.32,18.08,18.27,1288000
Fri Mar 01 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),18.42,18.6,18.16,18.360001,1302900
Mon Mar 04 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),18.440001,18.629999,18.299999,18.360001,1270300
Tue Mar 05 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),18.27,18.5,18.09,18.27,1360600
Wed Mar 06 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),18.360001,18.610001,18.200001,18.23,1437200
Thu Mar 07 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),18.23,18.440001,17.91,18.08,1119200
Fri Mar 08 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),18.18,18.200001,17.780001,17.98,1014000
Mon Mar 11 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),17.92,18.110001,17.76,18.059999,753700
Tue Mar 12 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),18.129999,18.549999,18.129999,18.41,1183100
Wed Mar 13 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),18.629999,19.129999,18.49,18.940001,2309200
Thu Mar 14 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),19.01,19.1,18.370001,18.690001,1501100
Fri Mar 15 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),18.610001,18.84,18.51,18.719999,2058100
Mon Mar 18 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),18.75,18.889999,18.459999,18.51,1148900
Tue Mar 19 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),18.35,18.99,18.18,18.959999,1168400
Wed Mar 20 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),18.82,19.389999,18.76,19.290001,1093900
Thu Mar 21 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),19.389999,19.790001,19.35,19.790001,1496400
Fri Mar 22 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),19.85,20.139999,19.299999,19.35,1383000
Mon Mar 25 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),19.370001,19.48,19.07,19.4,1420800
Tue Mar 26 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),19.49,19.719999,19.290001,19.51,1428700
Wed Mar 27 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),19.52,19.59,19.23,19.34,1041900
Thu Mar 28 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),19.65,20.030001,19.549999,19.67,2063900
Mon Apr 01 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),19.74,19.870001,19.43,19.799999,976400
Tue Apr 02 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),19.959999,20.629999,19.799999,20.58,2182500
Wed Apr 03 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),20.540001,20.959999,20.43,20.780001,1640100
Thu Apr 04 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),20.870001,21.4,20.82,21.07,2382500
Fri Apr 05 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),21.33,21.33,20.870001,21.08,1585000
