date,open,high,low,close,volume
Tue Jan 02 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),19.209999,19.209999,18.66,18.879999,1562900
Wed Jan 03 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),18.629999,18.700001,18.26,18.629999,1428500
Thu Jan 04 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),18.67,18.790001,18.48,18.49,1350200
Fri Jan 05 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),18.459999,18.959999,18.370001,18.959999,1123500
Mon Jan 08 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),18.950001,19.639999,18.84,19.629999,1107800
Tue Jan 09 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),19.51,19.940001,19.34,19.9,1419700
Wed Jan 10 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),19.959999,20.120001,19.76,19.98,1181800
Thu Jan 11 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),19.959999,19.969999,19.42,19.74,1589000
Fri Jan 12 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),19.57,19.9,19.5,19.790001,1023100
Tue Jan 16 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),19.549999,19.639999,19.200001,19.459999,944500
Wed Jan 17 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),19.25,19.67,19.02,19.110001,1197400
Thu Jan 18 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),19.18,19.33,18.76,19.040001,1047100
Fri Jan 19 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),19.16,19.16,18.74,19.030001,1158300
Mon Jan 22 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),19.17,19.370001,18.84,19.01,1099100
Tue Jan 23 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),19.1,19.440001,18.870001,19.41,1535700
Wed Jan 24 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),19.610001,19.709999,19.41,19.459999,926600
Thu Jan 25 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),19.629999,19.870001,19.48,19.860001,889300
Fri Jan 26 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),19.860001,20.059999,19.77,19.860001,932300
Mon Jan 29 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),19.870001,20.33,19.870001,20.280001,1198600
Tue Jan 30 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),20.17,20.200001,19.440001,19.440001,1399400
Wed Jan 31 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),19.42,19.73,19.049999,19.049999,1300300
Thu Feb 01 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),19.15,19.65,18.809999,19.57,1468200
Fri Feb 02 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),19.24,19.5,19.030001,19.32,1001300
Mon Feb 05 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),19.059999,19.07,18.32,18.799999,1645200
Tue Feb 06 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),18.780001,19.030001,18.65,18.85,1057200
Wed Feb 07 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),18.969999,18.99,18.35,18.49,1213000
Thu Feb 08 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),18.540001,18.719999,18.379999,18.559999,1189600
Fri Feb 09 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),18.620001,18.92,18.549999,18.85,1040100
Mon Feb 12 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),18.91,19.34,18.870001,19.26,1018300
Tue Feb 13 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),18.84,18.9,18.4,18.41,1925600
Wed Feb 14 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),18.4,18.450001,18.030001,18.27,1149400
Thu Feb 15 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),18.34,19.299999,18.34,19.290001,2370700
Fri Feb 16 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),19.030001,19.41,18.879999,19.120001,1238800
Tue Feb 20 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),18.940001,19.08,18.709999,18.799999,1085300
Wed Feb 21 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),18.709999,18.91,18.639999,18.879999,727300
Thu Feb 22 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),18.83,19.049999,18.73,18.92,811100
Fri Feb 23 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),18.959999,19.17,18.84,19.02,699200
Mon Feb 26 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),19,19.200001,18.83,18.83,784600
Tue Feb 27 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),19,19.139999,18.860001,19.09,844700
Wed Feb 28 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),18.940001,19.110001,18.85,19.040001,683300
Thu Feb 29 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),19.25,19.84,19.190001,19.799999,1325000
Fri Mar 01 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),19.799999,19.959999,19.6,19.73,960600
Mon Mar 04 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),19.719999,19.780001,19.27,19.32,1114900
Tue Mar 05 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),19.299999,19.459999,18.969999,19.219999,1780000
Wed Mar 06 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),19.469999,19.530001,19.32,19.32,835600
Thu Mar 07 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),19.469999,19.549999,19.33,19.360001,920100
Fri Mar 08 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),19.52,19.77,19.379999,19.48,718100
Mon Mar 11 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),19.43,19.73,19.4,19.67,1010700
Tue Mar 12 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),19.620001,19.76,19.42,19.75,1031100
Wed Mar 13 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),19.780001,20.049999,19.77,19.83,1520300
Thu Mar 14 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),19.4,19.51,18.639999,18.719999,1926100
Fri Mar 15 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),18.540001,18.84,18.52,18.780001,2182600
Mon Mar 18 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),18.83,18.879999,18.58,18.690001,1106800
Tue Mar 19 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),18.639999,18.9,18.549999,18.889999,860400
Wed Mar 20 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),18.9,19.440001,18.77,19.299999,931900
Thu Mar 21 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),19.32,19.49,19.18,19.43,750700
Fri Mar 22 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),19.49,19.540001,19.219999,19.24,595900
Mon Mar 25 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),19.26,19.549999,19.16,19.200001,824200
Tue Mar 26 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),19.379999,19.379999,18.99,19.02,752100
Wed Mar 27 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),19.139999,19.629999,19.09,19.610001,1185500
Thu Mar 28 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),19.610001,19.809999,19.540001,19.77,911300
Mon Apr 01 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),19.700001,19.73,19.58,19.620001,845500
Tue Apr 02 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),19.459999,19.58,19.32,19.35,1173300
Wed Apr 03 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),19.299999,19.450001,19.190001,19.34,785100
Thu Apr 04 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),19.57,19.780001,19.26,19.290001,939400
Fri Apr 05 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),19.219999,19.459999,19.110001,19.450001,711100
Mon Apr 08 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),19.5,19.66,19.309999,19.48,833400
Tue Apr 09 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),19.52,19.85,19.48,19.780001,1413200
Wed Apr 10 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),19.379999,19.379999,18.35,18.51,3041800
Thu Apr 11 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),18.690001,18.790001,18.23,18.76,1920500
Fri Apr 12 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),18.389999,18.68,18.290001,18.42,856600
Mon Apr 15 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),18.459999,18.48,17.58,17.82,1705500
Tue Apr 16 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),17.66,17.66,17.35,17.360001,1079600
Wed Apr 17 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),17.5,17.73,17.450001,17.51,757000
Thu Apr 18 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),17.68,17.83,17.540001,17.709999,869200
Fri Apr 19 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),17.77,18.219999,17.709999,18.17,971100
Mon Apr 22 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),18.18,18.43,18.120001,18.370001,777200
Tue Apr 23 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),18.32,19.030001,18.27,18.99,1189400
Wed Apr 24 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),18.799999,18.91,18.610001,18.73,1150700
Thu Apr 25 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),18.41,18.629999,18.16,18.209999,1643400
Fri Apr 26 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),18.280001,18.780001,18.059999,18.52,1604200
Mon Apr 29 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),18.6,18.959999,18.5,18.5,1639600
Tue Apr 30 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),18.4,18.49,18.09,18.17,897100
Wed May 01 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),18.219999,19.01,18.15,18.629999,1442200
Thu May 02 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),18.92,18.93,18.610001,18.83,737900
Fri May 03 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),19.129999,19.35,18.93,19.02,1005000
Mon May 06 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),19.15,19.24,19.110001,19.24,778400
Tue May 07 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),19.25,19.4,19,19,952800
Wed May 08 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),18.82,19.18,18.77,19.08,593800
Thu May 09 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),19.120001,19.379999,19.120001,19.35,825300
Fri May 10 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),19.379999,19.450001,19.209999,19.360001,981800
Mon May 13 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),19.48,19.5,19.209999,19.24,1161600
Tue May 14 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),19.15,19.209999,19,19.110001,863200
Wed May 15 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),19.280001,19.4,19.049999,19.190001,1282300
Thu May 16 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),19.18,19.34,19.129999,19.209999,800600
Fri May 17 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),19.24,19.26,19.139999,19.200001,529500
Mon May 20 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),19.17,19.35,19.139999,19.26,822100
Tue May 21 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),19.25,19.34,19.219999,19.26,500600
Wed May 22 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),19.219999,19.299999,18.99,19,579500
Thu May 23 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),19.110001,19.110001,18.59,18.65,826100
Fri May 24 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),18.790001,18.99,18.65,18.98,918700
Tue May 28 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),19.059999,19.17,18.950001,19,988100
Wed May 29 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),18.75,18.83,18.639999,18.74,591800
Thu May 30 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),18.92,19.120001,18.879999,19.08,581300
Fri May 31 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),19.25,19.370001,19.139999,19.34,822500
Mon Jun 03 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),19.42,19.58,19.26,19.549999,879900
Tue Jun 04 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),19.440001,19.51,19.280001,19.34,1003500
Wed Jun 05 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),19.450001,19.82,19.389999,19.790001,1133400
Thu Jun 06 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),19.59,19.75,19.59,19.629999,622300
Fri Jun 07 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),19.5,19.66,19.43,19.549999,700700
Mon Jun 10 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),19.43,19.549999,19.32,19.33,800400
Tue Jun 11 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),19.23,19.280001,19.02,19.02,1092600
Wed Jun 12 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),19.450001,19.610001,19.299999,19.370001,1163100
Thu Jun 13 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),19.43,19.68,19.370001,19.57,859300
Fri Jun 14 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),19.450001,19.68,19.360001,19.540001,1119400
Mon Jun 17 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),19.18,19.51,19.120001,19.34,1022500
Tue Jun 18 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),19.219999,19.32,19.07,19.1,755600
Thu Jun 20 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),19.08,19.41,19.07,19.34,896200
Fri Jun 21 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),19.290001,19.68,19.280001,19.65,1470300
Mon Jun 24 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),19.57,19.700001,19.450001,19.52,750800
Tue Jun 25 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),19.51,19.59,19.41,19.41,591000
Wed Jun 26 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),19.309999,19.440001,19.299999,19.4,573200
Thu Jun 27 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),19.4,19.42,19.129999,19.389999,634100
Fri Jun 28 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),19.43,19.540001,19.299999,19.379999,929300
Mon Jul 01 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),19.42,19.469999,19.01,19.15,1043200
Tue Jul 02 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),19.290001,19.559999,19.27,19.450001,890600
Wed Jul 03 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),19.49,19.559999,19.42,19.48,414900
Fri Jul 05 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),19.459999,19.68,19.379999,19.68,801300
Mon Jul 08 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),19.59,19.83,19.52,19.709999,781100
Tue Jul 09 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),19.66,19.799999,19.629999,19.700001,877400
Wed Jul 10 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),19.84,20.1,19.75,20.07,1083400
Thu Jul 11 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),20.25,20.59,20.219999,20.49,1576500
Fri Jul 12 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),20.73,21.290001,20.66,21.139999,2327300
