date,open,high,low,close,volume
Tue Jan 02 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),16.540001,17.754999,16.459999,16.959999,4364400
Wed Jan 03 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),16.68,16.799999,16.01,16.629999,6391500
Thu Jan 04 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),16.52,16.629999,15.43,15.44,6650500
Fri Jan 05 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),15.27,15.89,14.975,15.09,6072300
Mon Jan 08 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),14.78,15.16,14.48,14.88,7339900
Tue Jan 09 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),14.72,15.28,14.43,15.15,4257400
Wed Jan 10 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),15.13,15.17,14.62,14.81,5139500
Thu Jan 11 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),14.73,14.74,13.9,14.24,5108600
Fri Jan 12 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),14.4,14.665,13.98,14.2,4551400
Tue Jan 16 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),13.98,14.11,13.2,13.35,6214600
Wed Jan 17 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),13.07,13.46,12.98,13.39,6776200
Thu Jan 18 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),13.51,13.745,13.21,13.53,4203600
Fri Jan 19 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),13.51,13.53,12.85,12.98,7933500
Mon Jan 22 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),12.64,13.95,12.52,13.18,8921600
Tue Jan 23 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),13.6,13.935,13.065,13.41,5236000
Wed Jan 24 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),13.67,13.825,13.05,13.06,4534900
Thu Jan 25 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),13.25,13.5,12.885,13.21,3299300
Fri Jan 26 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),13.29,13.47,12.95,13.02,2692400
