date,open,high,low,close,volume
Tue Jan 02 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),12.67,12.9,12.38,12.47,940400
Wed Jan 03 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),12.22,12.35,11.85,11.87,755400
Thu Jan 04 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),11.95,12.03,11.69,11.7,319800
Fri Jan 05 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),11.64,11.81,11.42,11.54,374400
Mon Jan 08 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),11.1,11.64,10.95,11.52,500900
Tue Jan 09 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),11.5,11.53,11.002,11.07,634900
Wed Jan 10 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),11.04,11.11,10.7,10.83,549500
Thu Jan 11 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),10.96,11.48,10.7,11.36,673700
Fri Jan 12 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),11.38,11.54,11.02,11.11,301300
Tue Jan 16 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),11.02,11.03,10.5,10.52,599000
Wed Jan 17 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),10.5,10.5,9.94,10,910300
Thu Jan 18 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),10.13,10.25,9.83,10.23,499700
Fri Jan 19 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),10.27,10.37,10.08,10.35,295100
Mon Jan 22 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),10.37,10.81,10.33,10.64,467900
Tue Jan 23 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),10.75,10.85,10.275,10.3,237200
Wed Jan 24 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),10.4,10.46,9.62,9.69,471400
Thu Jan 25 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),9.82,9.9,9.48,9.87,288100
Fri Jan 26 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),9.96,10.09,9.876,10.03,271700
Mon Jan 29 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),10.05,10.15,9.83,10.13,339300
Tue Jan 30 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),10.07,10.09,9.75,9.76,270800
Wed Jan 31 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),9.75,9.75,9.29,9.3,405400
Thu Feb 01 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),9.34,9.51,9.17,9.17,529500
Fri Feb 02 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),9,9.08,8.62,8.86,1429600
Mon Feb 05 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),8.8,8.84,8.325,8.58,709400
Tue Feb 06 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),8.56,9.18,8.55,9.06,563200
Wed Feb 07 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),9.02,9.18,8.73,8.75,777600
Thu Feb 08 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),8.74,9.14,8.72,9.02,487500
Fri Feb 09 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),9.16,9.5,9.02,9.27,894200
Mon Feb 12 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),9.25,9.745,9.25,9.6,1145800
Tue Feb 13 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),9.16,9.34,8.98,9.25,564300
Wed Feb 14 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),9.4,9.44,9.05,9.3,838200
Thu Feb 15 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),9.38,9.65,9.295,9.6,918800
Fri Feb 16 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),9.54,9.76,9.43,9.75,517100
Tue Feb 20 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),9.61,9.79,9.45,9.48,704400
Wed Feb 21 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),9.45,9.49,9.25,9.29,603900
Thu Feb 22 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),9.29,9.39,9.14,9.33,397400
Fri Feb 23 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),9.33,9.53,9.24,9.26,710100
Mon Feb 26 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),9.25,9.34,9.03,9.09,720800
Tue Feb 27 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),9,9.24,8.93,9,586500
Wed Feb 28 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),8.93,8.95,8.6,8.77,741600
Thu Feb 29 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),9,9.048,8.75,8.84,558700
Fri Mar 01 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),8.87,9.05,8.68,9.05,598800
Mon Mar 04 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),9.07,9.15,8.59,8.69,468700
Tue Mar 05 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),8.63,8.95,8.63,8.83,394400
Wed Mar 06 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),8.89,9.18,8.75,9.17,521000
Thu Mar 07 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),9.15,9.49,9.14,9.4,778700
Fri Mar 08 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),7.3,8.11,6.73,6.965,3725800
Mon Mar 11 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),7.02,7.14,6.725,6.87,1767700
Tue Mar 12 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),6.89,7.18,6.59,7.15,1220800
Wed Mar 13 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),7.13,7.24,6.75,6.84,852500
Thu Mar 14 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),7.13,7.42,7.05,7.23,778500
Fri Mar 15 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),7.23,7.6,7.21,7.53,2562300
Mon Mar 18 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),7.6,7.61,7.27,7.32,667300
Tue Mar 19 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),7.38,7.53,7.31,7.38,431000
Wed Mar 20 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),7.34,7.91,7.32,7.83,465600
Thu Mar 21 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),7.83,7.9,7.68,7.73,555100
Fri Mar 22 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),7.74,7.74,7.358,7.38,392700
Mon Mar 25 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),7.39,7.56,7.38,7.56,247700
Tue Mar 26 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),7.59,7.62,7.395,7.49,337500
Wed Mar 27 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),7.55,7.62,7.49,7.57,208800
Thu Mar 28 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),7.55,7.64,7.05,7.18,1245300
Mon Apr 01 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),7.2,7.44,7.17,7.36,547200
Tue Apr 02 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),7.25,7.35,7.19,7.27,266900
Wed Apr 03 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),7.2,7.26,7.18,7.25,236800
Thu Apr 04 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),7.35,7.38,7.16,7.18,274600
Fri Apr 05 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),7.18,7.2,6.97,7.06,335900
Mon Apr 08 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),7.1,7.22,7.04,7.1,300200
Tue Apr 09 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),7.16,7.21,6.92,6.99,221300
Wed Apr 10 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),6.81,6.87,6.6,6.82,498200
Thu Apr 11 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),6.82,6.88,6.73,6.87,251100
Fri Apr 12 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),6.85,6.96,6.8,6.93,440800
Mon Apr 15 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),6.9,6.99,6.77,6.8,678100
Tue Apr 16 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),6.71,7.03,6.68,6.91,329300
Wed Apr 17 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),6.9,7.25,6.77,6.77,331600
Thu Apr 18 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),6.91,7.01,6.725,6.75,255800
Fri Apr 19 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),6.7,6.83,6.625,6.66,226800
Mon Apr 22 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),6.69,6.74,6.57,6.7,230700
Tue Apr 23 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),6.68,6.78,6.43,6.43,303700
Wed Apr 24 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),6.45,6.51,6.37,6.44,272700
Thu Apr 25 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),6.39,6.6,6.26,6.58,265500
Fri Apr 26 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),6.66,7.03,6.6,6.94,276400
Mon Apr 29 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),6.95,7.1,6.89,7.09,330500
Tue Apr 30 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),7.05,7.35,6.96,7.13,442800
Wed May 01 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),7.11,7.23,7.02,7.1,206700
Thu May 02 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),7.18,7.4,7.14,7.28,278400
Fri May 03 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),7.4,7.5,7.31,7.46,221600
Mon May 06 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),7.52,7.6,7.44,7.5,213400
Tue May 07 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),7.47,7.59,7.455,7.5,243100
Wed May 08 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),7.41,7.721,7.35,7.55,475000
Thu May 09 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),8.74,9.4,8.04,8.25,1186200
Fri May 10 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),8.25,8.26,7.8,7.96,580400
Mon May 13 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),7.97,8.07,7.82,7.85,404600
Tue May 14 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),8,8.28,7.95,7.97,324500
Wed May 15 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),8.08,8.08,7.7,7.71,295400
Thu May 16 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),7.85,7.9,7.67,7.77,308400
Fri May 17 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),7.78,7.78,7.62,7.74,219000
Mon May 20 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),7.72,7.76,7.695,7.71,248400
Tue May 21 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),7.69,7.76,7.53,7.65,325500
Wed May 22 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),7.73,7.86,7.64,7.79,384800
Thu May 23 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),7.78,7.84,7.58,7.62,290300
Fri May 24 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),7.67,7.67,7.48,7.51,149200
Tue May 28 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),7.6,7.79,7.573,7.77,202800
Wed May 29 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),7.63,7.695,7.365,7.43,377500
Thu May 30 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),7.49,7.68,7.48,7.58,325400
Fri May 31 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),7.61,7.68,7.44,7.57,998000
Mon Jun 03 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),7.6,7.62,7.35,7.43,372300
Tue Jun 04 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),7.38,7.505,7.34,7.37,334300
Wed Jun 05 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),7.37,7.41,7.28,7.375,201600
Thu Jun 06 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),7.32,7.35,7.1,7.12,163400
Fri Jun 07 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),7.07,7.21,7.005,7.02,343900
Mon Jun 10 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),6.97,7.01,6.85,6.95,275800
Tue Jun 11 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),6.9,6.94,6.73,6.83,235300
Wed Jun 12 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),6.99,7.04,6.77,6.8,255300
Thu Jun 13 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),6.81,7,6.72,6.98,282800
Fri Jun 14 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),6.92,6.92,6.585,6.64,495900
Mon Jun 17 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),6.56,6.76,6.51,6.73,169900
Tue Jun 18 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),6.7,6.78,6.59,6.6,161900
Thu Jun 20 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),6.64,6.82,6.62,6.72,180300
Fri Jun 21 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),6.73,6.93,6.7,6.86,409800
Mon Jun 24 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),6.87,7.038,6.6,6.6,158400
Tue Jun 25 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),6.6,6.64,6.5,6.55,194000
Wed Jun 26 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),6.49,6.62,6.42,6.52,203000
Thu Jun 27 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),6.54,6.78,6.49,6.72,190500
Fri Jun 28 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),6.8,7.05,6.74,6.92,793300
Mon Jul 01 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),6.92,6.96,6.36,6.51,297300
Tue Jul 02 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),6.52,6.64,6.47,6.53,505500
Wed Jul 03 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),6.56,6.68,6.5,6.66,231900
Fri Jul 05 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),6.66,6.66,6.36,6.39,182200
Mon Jul 08 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),6.44,6.53,6.4,6.48,293000
Tue Jul 09 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),6.47,6.47,6.31,6.41,337900
Wed Jul 10 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),6.43,6.46,6.34,6.42,208800
Thu Jul 11 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),6.5,6.89,6.46,6.68,298100
Fri Jul 12 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),6.79,6.8,6.56,6.6,232300
Mon Jul 15 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),6.64,6.84,6.568,6.69,490700
Tue Jul 16 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),6.75,7.22,6.75,7.16,315400
Wed Jul 17 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),7.09,7.3,6.96,7.07,319900
Thu Jul 18 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),7.04,7.29,7.04,7.18,391100
Fri Jul 19 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),7.19,7.19,6.97,7.1,229200
Mon Jul 22 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),7.11,7.28,7.09,7.23,213700
Tue Jul 23 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),7.21,7.53,7.17,7.48,190800
Wed Jul 24 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),7.4,7.61,7.4,7.45,12125
Tue Jul 23 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),7.21,7.53,7.17,7.48,190800
Wed Jul 24 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),7.4,7.61,7.4,7.455,13697
Tue Jul 23 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),7.21,7.53,7.17,7.48,190800
Wed Jul 24 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),7.4,7.61,7.4,7.41,38482
