date,open,high,low,close,volume
Tue Jan 02 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),3.2,3.2,2.875,2.95,19600
Wed Jan 03 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),2.97,3.095,2.8,2.89,15440
Thu Jan 04 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),2.85,2.85,2.645,2.66,18680
Fri Jan 05 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),2.6,2.6,2.345,2.37,29460
Mon Jan 08 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),2.405,2.55,2.16,2.26,16540
Tue Jan 09 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),2.355,2.5,2.055,2.15,44440
Wed Jan 10 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),2.38,2.4,2.025,2.12,44920
Thu Jan 11 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),2.24,2.25,1.95,2.125,19500
Fri Jan 12 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),2.1,2.1,1.955,2,23680
Tue Jan 16 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),2.01,2.06,1.9,1.94,12400
Wed Jan 17 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),2,2,1.755,1.885,11080
Thu Jan 18 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),1.925,1.925,1.875,1.89,6340
Fri Jan 19 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),1.85,1.96,1.755,1.87,6160
Mon Jan 22 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),1.755,2.35,1.755,2.35,66960
Tue Jan 23 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),2.285,2.33,2.05,2.095,15500
Wed Jan 24 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),2.19,2.25,2.05,2.225,11220
Thu Jan 25 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),2.1,2.25,1.91,1.955,9220
Fri Jan 26 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),2,2.16,1.905,1.95,7620
Mon Jan 29 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),2.15,2.15,1.95,2.045,6000
Tue Jan 30 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),1.9,2.125,1.875,1.95,9540
Wed Jan 31 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),1.95,2.485,1.95,2.295,79800
Thu Feb 01 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),2.32,3.3,2.32,3.1,415640
Fri Feb 02 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),3.2,4.1,3.1,3.6,958580
Mon Feb 05 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),3.96,4.35,3.625,4.1,341380
Tue Feb 06 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),3.9,4.3,3.14,3.845,285580
Wed Feb 07 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),3.4,3.5,2.7,3,166780
Thu Feb 08 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),2.97,2.97,2.565,2.665,49080
Fri Feb 09 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),2.6,3.055,2.55,2.875,77340
Mon Feb 12 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),2.75,2.81,2.52,2.55,45800
Tue Feb 13 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),2.5,2.565,2.305,2.375,30440
Wed Feb 14 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),2.4,2.625,2.35,2.495,21460
Thu Feb 15 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),2.56,2.795,2.495,2.795,20460
Fri Feb 16 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),2.785,2.85,2.6,2.825,27000
Tue Feb 20 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),2.635,2.8,2.5,2.64,14840
