date,open,high,low,close,volume
Tue Jan 02 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),10.94,10.94,10.94,10.94,100
Wed Jan 03 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),10.94,10.94,10.94,10.94,0
Thu Jan 04 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),11.09,11.09,11.09,11.09,100
Fri Jan 05 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),11.09,11.09,11.09,11.09,0
Mon Jan 08 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),10.98,11.02,10.96,10.96,337900
Tue Jan 09 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),11.03,11.03,10.96,10.96,2000
Wed Jan 10 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),11.01,11.01,11.01,11.01,300
Thu Jan 11 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),11.01,11.01,11.01,11.01,0
Fri Jan 12 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),10.97,11.01,10.97,11.01,400
Tue Jan 16 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),11.01,11.01,11.01,11.01,0
Wed Jan 17 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),11.02,11.02,10.99,11.005,5900
Thu Jan 18 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),11.09,11.09,11.02,11.02,41300
Fri Jan 19 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),11.04,11.12,11.04,11.12,1600
Mon Jan 22 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),11.05,11.05,11.02,11.05,2700
Tue Jan 23 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),11.05,11.05,11.05,11.05,0
Wed Jan 24 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),11.045,11.045,11.04,11.04,22700
Thu Jan 25 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),11.05,11.05,11.04,11.05,85400
Fri Jan 26 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),11.09,11.1,11.05,11.05,1000
Mon Jan 29 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),11.07,11.07,11.07,11.07,200
Tue Jan 30 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),11.05,11.07,11.05,11.07,16200
Wed Jan 31 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),11.07,11.07,11.07,11.07,2000
Thu Feb 01 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),11.14,11.14,11.06,11.07,11200
Fri Feb 02 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),11.07,11.1,11.065,11.09,19400
Mon Feb 05 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),11.09,11.1,11.07,11.085,2200
Tue Feb 06 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),11.1,11.15,11.08,11.08,6900
Wed Feb 07 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),11.12,11.12,11.11,11.11,254100
Thu Feb 08 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),11.12,11.15,11.09,11.11,10100
Fri Feb 09 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),11.11,11.11,11.11,11.11,0
Mon Feb 12 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),11.11,11.15,11.07,11.15,7000
Tue Feb 13 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),11.15,11.15,11.15,11.15,0
Wed Feb 14 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),11.15,11.15,11.15,11.15,0
Thu Feb 15 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),11.15,11.15,11.15,11.15,0
Fri Feb 16 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),11.08,11.19,11.08,11.19,6200
Tue Feb 20 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),11.19,11.19,11.19,11.19,0
Wed Feb 21 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),11.32,11.32,11.32,11.32,600
Thu Feb 22 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),11.32,11.32,11.32,11.32,0
Fri Feb 23 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),11.32,11.32,11.32,11.32,0
Mon Feb 26 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),11.31,11.31,11.3,11.3,500
Tue Feb 27 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),11.13,11.35,11.11,11.35,9300
Wed Feb 28 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),11.24,11.25,11.1,11.23,4000
Thu Feb 29 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),11.23,11.23,11.23,11.23,0
Fri Mar 01 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),11.23,11.23,11.23,11.23,0
Mon Mar 04 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),11.24,11.28,11.11,11.19,2500
Tue Mar 05 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),11.102,11.23,11.102,11.2,700
Wed Mar 06 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),11.2,11.2,11.2,11.2,0
Thu Mar 07 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),11.21,11.23,11.21,11.23,700
Fri Mar 08 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),11.05,11.35,11.04,11.35,11000
Mon Mar 11 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),11.58,11.85,11.16,11.38,5000
Tue Mar 12 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),11.35,11.43,11.17,11.21,3500
Wed Mar 13 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),11.38,11.54,11.1,11.54,1300
Thu Mar 14 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),11.42,11.42,11.4,11.4,20500
Fri Mar 15 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),11,11,11,11,500
Mon Mar 18 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),11.19,11.19,11.19,11.19,300
Tue Mar 19 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),11.3,11.3,11.02,11.24,2800
Wed Mar 20 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),11.24,11.24,11.24,11.24,0
Thu Mar 21 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),11.24,11.24,11.24,11.24,0
