date,open,high,low,close,volume
Tue Jan 02 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),7.55,8.19,7.321,7.79,247700
Wed Jan 03 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),7.77,7.87,7.23,7.27,255500
Thu Jan 04 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),7.445,7.445,6.89,7.02,273100
Fri Jan 05 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),6.94,7.8,6.58,7.72,4128800
Mon Jan 08 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),7.7,8.18,7.41,7.96,407500
Tue Jan 09 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),7.91,8.09,7.71,7.92,241300
Wed Jan 10 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),7.88,8.2,7.385,7.46,322800
Thu Jan 11 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),7.39,7.755,7.32,7.62,183800
Fri Jan 12 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),7.74,7.815,6.91,6.99,962600
Tue Jan 16 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),6.96,7.44,6.94,7.36,284700
Wed Jan 17 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),7.3,7.6,6.99,7.56,291300
Thu Jan 18 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),7.65,7.65,7.1,7.11,248500
Fri Jan 19 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),7.13,7.75,6.955,7.73,312600
Mon Jan 22 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),7.77,8.9,7.7,8.88,1133200
Tue Jan 23 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),8.95,9.01,8.4,8.6,549200
Wed Jan 24 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),8.8,8.8,8.39,8.5,375500
Thu Jan 25 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),8.62,9.88,7.94,9.85,1247600
Fri Jan 26 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),9.9,11.08,9.549,10.75,1765200
Mon Jan 29 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),10.8,12.19,10.23,12.09,1216200
Tue Jan 30 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),13.1,13.55,12.1,12.89,2138300
Wed Jan 31 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),12.98,13.8,12.5,13.03,1310200
Thu Feb 01 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),13,14.05,12.12,13.56,1017600
Fri Feb 02 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),13.32,13.78,12.66,13.1,783000
Mon Feb 05 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),12.66,14.37,12.66,14.01,938600
Tue Feb 06 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),14.94,15.41,14.01,14.885,1249700
Wed Feb 07 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),14.77,15,13.87,14.79,677400
Thu Feb 08 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),14.96,15.655,14.45,15.26,474800
Fri Feb 09 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),15.37,15.595,14.69,15,481600
Mon Feb 12 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),15,15.56,14.69,14.98,661900
Tue Feb 13 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),14.5,14.76,14.058,14.35,562100
Wed Feb 14 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),14.63,14.745,13.665,13.91,603900
Thu Feb 15 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),14.1,14.394,13.79,14.2,409800
Fri Feb 16 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),14.19,14.19,13.45,13.97,335200
Tue Feb 20 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),13.86,14.3,13.52,13.95,532300
Wed Feb 21 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),13.99,14.1,12.902,12.98,684300
Thu Feb 22 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),12.98,13.575,12.52,12.62,715500
Fri Feb 23 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),12.59,12.95,12.25,12.89,508900
