date,open,high,low,close,volume
Tue Jan 02 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),2.35,2.81,2.28,2.68,568766
Wed Jan 03 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),2.77,2.77,2.4156,2.45,380513
Thu Jan 04 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),2.44,2.47,2.23,2.23,168953
Fri Jan 05 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),2.26,2.33,2.08,2.24,253626
Mon Jan 08 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),2.16,2.3599,2.15,2.28,90812
Tue Jan 09 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),2.29,2.813,2.28,2.62,385984
Wed Jan 10 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),2.52,2.63,2.37,2.38,260742
Thu Jan 11 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),2.38,2.47,2.25,2.28,111125
Fri Jan 12 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),2.83,5,2.61,3.81,70362112
Tue Jan 16 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),3.35,3.4,2.7,2.92,4641253
Wed Jan 17 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),2.98,3.22,2.8,3.05,1715791
Thu Jan 18 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),3.01,3.19,2.76,2.82,845898
Fri Jan 19 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),2.78,2.7899,2.4701,2.49,467797
Mon Jan 22 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),2.51,2.6899,2.42,2.48,392105
Tue Jan 23 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),2.52,2.64,2.39,2.6,295662
Wed Jan 24 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),2.55,2.63,2.46,2.51,281504
Thu Jan 25 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),2.48,2.97,2.43,2.83,572861
Fri Jan 26 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),2.82,2.94,2.71,2.74,193980
Mon Jan 29 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),2.72,2.82,2.37,2.52,616955
Tue Jan 30 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),2.46,2.57,2.38,2.54,192594
Wed Jan 31 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),2.49,2.77,2.48,2.65,265727
Thu Feb 01 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),3.05,3.16,2.48,2.52,6931911
Fri Feb 02 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),2.5,2.75,2.25,2.48,781463
Mon Feb 05 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),2.43,2.5,2.3401,2.39,198396
Tue Feb 06 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),2.34,2.48,2.34,2.37,139854
Wed Feb 07 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),2.43,2.43,2.13,2.23,318631
Thu Feb 08 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),2.23,2.2373,1.96,1.96,382190
Fri Feb 09 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),2.01,2.14,2,2.03,193752
Mon Feb 12 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),2.05,2.27,2.03,2.2,445972
Tue Feb 13 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),2.2,2.2,1.99,2.02,152419
Wed Feb 14 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),2,2.05,1.98,2.01,94905
Thu Feb 15 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),2.01,2.0564,2,2.01,87819
Fri Feb 16 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),2.04,2.0469,1.91,1.93,79087
Tue Feb 20 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),2,2,1.825,1.88,70431
Wed Feb 21 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),1.91,1.9584,1.7854,1.82,91520
Thu Feb 22 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),1.81,1.82,1.69,1.71,148416
Fri Feb 23 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),1.67,1.82,1.6,1.74,195723
Mon Feb 26 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),1.73,1.7692,1.71,1.74,74056
Tue Feb 27 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),1.7695,1.7749,1.7,1.74,42141
Wed Feb 28 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),1.69,1.74,1.61,1.64,114017
Thu Feb 29 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),1.75,1.8099,1.66,1.76,840835
Fri Mar 01 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),1.73,1.7386,1.6702,1.68,102142
Mon Mar 04 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),1.69,1.8459,1.615,1.77,178273
