date,open,high,low,close,volume
Tue Jan 02 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),66.839996,68.610001,66.82,68.400002,7503000
Wed Jan 03 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),67.730003,68.690002,67.480003,68.32,5437000
Thu Jan 04 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),68.709999,69.349998,68.669998,68.779999,4786000
Fri Jan 05 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),68.309998,68.910004,68.099998,68.379997,5011900
Mon Jan 08 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),68.57,69.25,68.330002,69.209999,4250800
Tue Jan 09 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),69.279999,69.559998,68.889999,68.910004,4087400
Wed Jan 10 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),69.080002,69.610001,68.980003,69.57,7251100
Thu Jan 11 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),69.830002,69.910004,68.790001,69.18,4612400
Fri Jan 12 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),69.349998,69.599998,69.18,69.419998,3464000
Tue Jan 16 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),67.059998,67.68,66.900002,67.269997,5618300
Wed Jan 17 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),66.050003,66.470001,65.709999,66.25,8365200
Thu Jan 18 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),65.910004,66.790001,65.739998,66.519997,7171000
Fri Jan 19 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),66.889999,66.949997,66.419998,66.540001,7081000
Mon Jan 22 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),67.739998,67.830002,66.690002,67.139999,10160300
Tue Jan 23 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),66.290001,66.82,65.919998,66.75,4984200
Wed Jan 24 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),66.730003,66.93,66.370003,66.599998,5684600
Thu Jan 25 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),66.510002,67.019997,66.339996,67.019997,4491500
Fri Jan 26 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),67.739998,67.809998,66.970001,67.099998,5021600
Mon Jan 29 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),67.260002,67.309998,66.93,67.190002,4944800
Tue Jan 30 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),67.349998,67.360001,66.940002,67.199997,4649400
Wed Jan 31 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),67.75,67.830002,66.550003,66.639999,4572700
Thu Feb 01 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),66.209999,66.940002,66,66.849998,4472100
Fri Feb 02 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),65.970001,66.099998,65.580002,65.639999,6744100
Mon Feb 05 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),65.139999,65.639999,65.019997,65.139999,10849400
Tue Feb 06 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),65.849998,67.080002,65.580002,67.040001,5566600
Wed Feb 07 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),66.769997,66.900002,66.489998,66.550003,6588800
Thu Feb 08 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),62.02,63.900002,61.700001,63.52,28929000
Fri Feb 09 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),62.709999,63.369999,62.080002,62.259998,13734400
Mon Feb 12 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),61.16,61.439999,60.470001,61.41,12066500
Tue Feb 13 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),61.25,61.700001,60.759998,61.029999,8272300
Wed Feb 14 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),61.200001,61.77,61.060001,61.66,12203700
Thu Feb 15 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),61.77,62.860001,61.77,62.84,7641700
