date,open,high,low,close,volume
Tue Jan 02 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),32.290001,32.619999,31.73,31.950001,747400
Wed Jan 03 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),31.73,31.73,30.209999,30.309999,657700
Thu Jan 04 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),30.5,30.790001,30.24,30.4,461100
Fri Jan 05 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),30.139999,30.629999,29.68,30.26,441800
Mon Jan 08 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),30.17,30.889999,30.040001,30.82,303500
Tue Jan 09 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),30.280001,30.49,30,30.139999,343200
Wed Jan 10 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),30.139999,30.76,30.040001,30.4,297900
Thu Jan 11 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),30.219999,32.130001,29.690001,31.77,537400
Fri Jan 12 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),31.790001,32.299999,31.48,31.75,430500
Tue Jan 16 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),31.450001,31.690001,30.6,30.700001,297100
Wed Jan 17 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),30.610001,30.809999,30.049999,30.26,526000
Thu Jan 18 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),30.4,31,30.18,30.969999,573600
Fri Jan 19 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),30.84,30.93,30.389999,30.82,297900
Mon Jan 22 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),31,31.48,30.959999,31.42,391100
Tue Jan 23 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),31.91,32.529999,31.799999,32.02,346700
Wed Jan 24 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),32.450001,32.470001,31.629999,32.09,318200
Thu Jan 25 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),32.209999,32.720001,32,32.450001,270000
Fri Jan 26 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),32.720001,33,32.439999,32.52,235800
Mon Jan 29 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),32.360001,32.959999,32.23,32.830002,238800
Tue Jan 30 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),33.5,33.740002,33.07,33.619999,403800
Wed Jan 31 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),33.639999,34.389999,33.080002,33.110001,451900
Thu Feb 01 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),33.34,34.07,32.450001,33.919998,401900
Fri Feb 02 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),33.48,33.990002,33.279999,33.700001,261400
Mon Feb 05 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),33.25,33.689999,32.889999,33.509998,321000
Tue Feb 06 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),33.57,34.400002,33.57,34.27,236100
Wed Feb 07 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),34.310001,34.470001,33.950001,34.259998,262400
Thu Feb 08 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),34.299999,34.869999,34.110001,34.669998,227400
Fri Feb 09 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),34.790001,35.279999,34.439999,35.09,302900
Mon Feb 12 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),35.119999,36.07,35.119999,35.830002,291700
Tue Feb 13 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),34.759998,35.119999,33.84,34.509998,466800
Wed Feb 14 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),35.009998,35.32,34.669998,35.189999,313900
Thu Feb 15 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),35.52,36.68,35.52,36.540001,349400
Fri Feb 16 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),35.439999,37.619999,35.189999,36.360001,520300
