date,open,high,low,close,volume
Tue Jan 02 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),8.8,8.82,8.49,8.59,917700
Wed Jan 03 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),8.41,8.45,8.22,8.37,1141900
Thu Jan 04 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),8.4,8.531,8.31,8.48,625300
Fri Jan 05 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),8.4,8.61,8.25,8.29,944400
Mon Jan 08 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),8.29,8.49,8.27,8.48,867900
Tue Jan 09 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),8.29,8.3,8.07,8.1,1221000
Wed Jan 10 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),8,8.01,7.75,7.85,1312400
Thu Jan 11 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),7.8,7.85,7.67,7.67,654300
Fri Jan 12 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),7.98,8.08,7.77,7.86,1034200
Tue Jan 16 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),7.71,7.72,7.46,7.56,876500
Wed Jan 17 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),7.48,7.49,7.289,7.3,1415900
Thu Jan 18 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),7.26,7.3,7.19,7.24,767500
Fri Jan 19 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),7.27,7.32,7.21,7.22,652900
Mon Jan 22 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),7.08,7.171,6.885,6.95,2150600
Tue Jan 23 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),7,7.26,7,7.23,1012000
Wed Jan 24 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),7.38,7.38,7.221,7.3,655900
Thu Jan 25 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),7.35,7.525,7.305,7.47,855600
Fri Jan 26 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),7.51,7.655,7.5,7.62,724400
Mon Jan 29 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),7.5,7.7,7.395,7.69,620300
Tue Jan 30 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),7.49,7.518,7.19,7.24,1113700
Wed Jan 31 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),7.37,7.515,7.23,7.24,725600
Thu Feb 01 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),7.26,7.375,7.19,7.32,831500
Fri Feb 02 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),7.23,7.27,7.08,7.1,839400
Mon Feb 05 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),7,7.15,6.8,7.12,1208700
Tue Feb 06 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),7.15,7.315,7.145,7.22,645400
Wed Feb 07 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),7.2,7.21,6.995,7.08,668600
Thu Feb 08 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),7.09,7.12,6.98,7.05,433800
Fri Feb 09 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),7.08,7.17,6.99,7.02,470100
Mon Feb 12 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),7.01,7.29,6.35,7.1,1725900
Tue Feb 13 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),7,7.07,6.72,6.85,784400
Wed Feb 14 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),6.9,7,6.78,6.92,643000
Thu Feb 15 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),7.09,7.23,7.02,7.1,848700
Fri Feb 16 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),7.45,7.975,7.43,7.82,1593200
Tue Feb 20 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),7.86,7.96,7.67,7.93,1461600
Wed Feb 21 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),8.16,8.24,7.73,7.9,2092500
