date,open,high,low,close,volume
Tue Jan 02 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),128,129.505997,126.209999,128.240005,250900
Wed Jan 03 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),126.879997,127.07,124.529999,125.059998,203100
Thu Jan 04 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),125.889999,126.494003,124.190002,124.269997,269700
Fri Jan 05 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),122.93,128.970001,122.449997,128.220001,310900
Mon Jan 08 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),128.850006,132.339996,128.345993,132.309998,260200
Tue Jan 09 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),130.360001,130.360001,127.019997,128.490005,311100
Wed Jan 10 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),129.320007,131.835007,129.160004,130.820007,324100
Thu Jan 11 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),130,132.529999,128.389999,131.720001,208600
Fri Jan 12 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),133.410004,133.520004,128.850006,132.309998,163200
Tue Jan 16 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),131.270004,132.539993,130.410004,131.600006,173600
Wed Jan 17 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),130.380005,131.934998,129,131.660004,176700
Thu Jan 18 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),133.320007,135.119995,130.955002,132.509995,206700
Fri Jan 19 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),132.990005,133.539993,129.830002,133.440002,205900
Mon Jan 22 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),134.660004,138.324997,134.149994,137.580002,311500
Tue Jan 23 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),138.940002,138.940002,132.800003,132.869995,252500
Wed Jan 24 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),134.679993,134.679993,130.309998,131.449997,201900
Thu Jan 25 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),133.990005,134.580002,132.410004,134.490005,223600
Fri Jan 26 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),134.669998,135.550003,133.899994,134.990005,133000
Mon Jan 29 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),135.550003,137.470001,135.059998,136.869995,172500
Tue Jan 30 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),136.679993,138.447998,136.524994,137.570007,156600
Wed Jan 31 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),137.550003,139.130005,135.320007,135.460007,191400
Thu Feb 01 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),136.630005,139.309998,135.274994,138.910004,165300
Fri Feb 02 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),136.679993,139.630005,135.270004,138.630005,173800
Mon Feb 05 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),136.429993,137.580002,133.779999,134.880005,219500
Tue Feb 06 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),134.720001,136.199997,132.190002,133.880005,159300
Wed Feb 07 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),134.479996,136.460007,133.964996,135.009995,229100
Thu Feb 08 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),135.360001,138.190002,135.320007,137.529999,204700
Fri Feb 09 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),137.690002,140.720001,136.380005,140.570007,162500
Mon Feb 12 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),140.720001,143.559998,140.119995,141.860001,207700
Tue Feb 13 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),136,138.604996,134.119995,135.529999,331700
Wed Feb 14 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),138.300003,140.065002,136.003998,139.929993,224600
Thu Feb 15 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),140.630005,143.100006,138.850006,142.660004,220300
Fri Feb 16 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),141.75,142.240005,139.979996,139.979996,238200
Tue Feb 20 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),137.440002,138.869995,135.029999,135.869995,411000
Wed Feb 21 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),132.009995,132.009995,123.675003,125.110001,703300
Thu Feb 22 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),126.209999,128.619995,122.589996,126.540001,554500
Fri Feb 23 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),127.040001,131.229996,126.985001,129.419998,282000
Mon Feb 26 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),128.789993,131.389999,128.764008,130.610001,282200
Tue Feb 27 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),132.320007,134.324997,131.625,132.979996,288500
Wed Feb 28 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),132,135.630005,131.485001,133.660004,347900
Thu Feb 29 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),134.669998,136.649994,134.589996,135.910004,324900
Fri Mar 01 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),136.119995,138.190002,134.910004,137.789993,213200
Mon Mar 04 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),137.619995,141.335007,135.031006,135.550003,415300
Tue Mar 05 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),134.860001,135.889999,129.664993,129.889999,346400
Wed Mar 06 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),131.169998,131.839996,128.270004,128.649994,338300
Thu Mar 07 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),127.839996,130.5,127.32,129.330002,394800
Fri Mar 08 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),130.389999,132.794998,128.214996,129.199997,257700
Mon Mar 11 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),128.25,128.455002,125.464996,128.100006,269900
Tue Mar 12 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),128.259995,129.830002,127.599998,128.619995,212600
Wed Mar 13 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),128.360001,130.729996,128.25,129.309998,206800
Thu Mar 14 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),128.990005,129.960007,126.919998,127.870003,251900
Fri Mar 15 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),127.330002,132.164993,127.330002,131.550003,1275000
Mon Mar 18 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),132.710007,134.550003,130.220001,132.820007,350400
Tue Mar 19 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),133.029999,136.020004,130.914993,135.889999,283100
Wed Mar 20 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),136.070007,145.380005,135.919998,144.039993,392600
Thu Mar 21 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),147.949997,152.285004,146.949997,152.149994,512000
Fri Mar 22 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),152.149994,152.699997,150.270004,151.380005,361500
Mon Mar 25 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),151.039993,152.699997,149.699997,150.800003,309000
Tue Mar 26 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),151.210007,154.009995,149.350006,150.119995,391600
Wed Mar 27 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),151.850006,152.554993,150.089996,151.830002,243800
Thu Mar 28 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),152.330002,154.610001,151.764999,153.369995,382800
Mon Apr 01 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),154.050003,154.673004,151.955002,152.949997,262800
Tue Apr 02 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),149.600006,149.960007,146.759995,148.949997,378200
Wed Apr 03 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),148.690002,152.479996,148.240005,150.910004,227600
Thu Apr 04 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),152.860001,153.600006,148.104996,149.149994,238000
Fri Apr 05 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),149.699997,152.100006,148.615005,151.990005,229700
Mon Apr 08 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),153.389999,154.554993,150.770004,152.429993,188300
Tue Apr 09 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),152.789993,153.214996,150.130005,152.979996,304100
Wed Apr 10 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),149.570007,151.800003,147.455002,148.919998,408300
Thu Apr 11 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),149.660004,151.975006,148.113007,151.880005,326400
Fri Apr 12 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),150.509995,151.255005,148.259995,149.990005,273700
Mon Apr 15 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),150.440002,151.449997,147.509995,149,380600
Tue Apr 16 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),147.050003,147.509995,138,138.910004,532100
Wed Apr 17 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),138.75,140.779999,137.210007,137.800003,286200
