date,open,high,low,close,volume
Tue Jan 02 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),2.56,2.58,2.49,2.49,151200
Wed Jan 03 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),2.52,2.56,2.36,2.38,263400
Thu Jan 04 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),2.41,2.42,2.33,2.4,124300
Fri Jan 05 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),2.38,2.41,2.26,2.32,400600
Mon Jan 08 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),2.36,2.43,2.34,2.42,130800
Tue Jan 09 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),2.39,2.43,2.38,2.38,215500
Wed Jan 10 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),2.37,2.39,2.26,2.38,124000
Thu Jan 11 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),2.38,2.38,2.29,2.35,153800
Fri Jan 12 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),2.39,2.41,2.37,2.38,120000
Tue Jan 16 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),2.4,2.46,2.35,2.45,222900
Wed Jan 17 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),2.41,2.45,2.4,2.43,137500
Thu Jan 18 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),2.44,2.54,2.39,2.51,236900
Fri Jan 19 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),2.53,2.57,2.49,2.56,149800
Mon Jan 22 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),2.55,2.62,2.29,2.45,254200
Tue Jan 23 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),2.49,2.5,2.45,2.48,140000
Wed Jan 24 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),2.52,2.54,2.38,2.44,145800
Thu Jan 25 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),2.48,2.5,2.41,2.43,72800
Fri Jan 26 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),2.44,2.46,2.38,2.4,79600
Mon Jan 29 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),2.39,2.43,2.38,2.41,81400
Tue Jan 30 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),2.37,2.45,2.31,2.35,125700
Wed Jan 31 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),2.33,2.35,2.25,2.29,146300
Thu Feb 01 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),2.32,2.33,2.25,2.26,83000
Fri Feb 02 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),2.26,2.27,2.17,2.26,149500
Mon Feb 05 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),2.24,2.24,2.17,2.18,139100
Tue Feb 06 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),2.18,2.23,2.16,2.22,123200
Wed Feb 07 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),2.26,2.37,2.18,2.27,244500
Thu Feb 08 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),2.28,2.35,2.28,2.32,91900
Fri Feb 09 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),2.32,2.35,2.19,2.26,366400
Mon Feb 12 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),2.34,2.34,2.25,2.28,138800
Tue Feb 13 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),2.31,2.31,2.09,2.12,302300
Wed Feb 14 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),2.14,2.3,2.12,2.27,195600
Thu Feb 15 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),2.3,2.4,2.27,2.38,168800
Fri Feb 16 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),2.39,2.46,2.2,2.21,170700
Tue Feb 20 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),2.22,2.26,2.18,2.18,211500
Wed Feb 21 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),2.23,2.33,2.17,2.21,202200
Thu Feb 22 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),2.19,2.26,2.17,2.2,189000
Fri Feb 23 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),1.91,1.95,1.81,1.86,1163200
Mon Feb 26 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),1.81,1.94,1.81,1.94,393600
Tue Feb 27 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),1.91,2.08,1.91,2.02,392200
Wed Feb 28 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),2.22,2.25,2.12,2.22,474800
Thu Feb 29 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),2.22,2.26,2.16,2.22,172300
Fri Mar 01 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),2.19,2.25,2.15,2.22,289800
Mon Mar 04 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),2.23,2.27,2.09,2.13,173600
Tue Mar 05 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),2.13,2.19,2,2.01,185700
Wed Mar 06 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),2.03,2.1,2.01,2.04,189400
Thu Mar 07 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),2.07,2.09,2,2.01,110000
Fri Mar 08 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),2.01,2.06,1.92,1.95,446800
