date,open,high,low,close,volume
Tue Jan 02 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),18.040001,19.040001,18.030001,18.440001,187100
Wed Jan 03 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),18.4,18.4,17.110001,17.34,342300
Thu Jan 04 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),17.42,17.83,16.799999,17.459999,129400
Fri Jan 05 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),16.959999,17.26,16.129999,17.08,572300
Mon Jan 08 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),17.09,19.030001,17.030001,18.9,212700
Tue Jan 09 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),18.74,19.559999,17.809999,19.26,531700
Wed Jan 10 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),19.35,19.719999,18.030001,18.76,246000
Thu Jan 11 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),18.719999,18.73,17.805,18.209999,157800
Fri Jan 12 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),18.200001,19.219999,18.200001,18.450001,170300
Tue Jan 16 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),18.32,18.32,17.780001,18.16,127900
Wed Jan 17 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),17.809999,18.24,17.450001,18.219999,533100
Thu Jan 18 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),18.309999,18.309999,17.58,17.74,363100
Fri Jan 19 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),17.67,17.940001,17.24,17.75,97200
Mon Jan 22 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),17.77,18.34,17.315001,17.780001,525600
Tue Jan 23 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),18.129999,18.209999,17.280001,17.719999,388900
Wed Jan 24 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),17.889999,17.950001,17.469999,17.5,89400
Thu Jan 25 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),17.559999,17.99,17.33,17.84,392500
Fri Jan 26 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),17.940001,18.1,17.33,17.77,436100
Mon Jan 29 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),17.959999,18.41,17.59,18.280001,356400
Tue Jan 30 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),18.16,18.16,17.68,17.73,291900
Wed Jan 31 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),17.73,18.549999,17.030001,17.450001,382000
Thu Feb 01 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),17.559999,17.73,17.07,17.35,281900
Fri Feb 02 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),17.030001,17.584999,16.59,16.91,217000
Mon Feb 05 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),16.780001,17.57,16.48,17,243200
Tue Feb 06 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),17.09,17.440001,17.01,17.129999,268900
Wed Feb 07 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),17.34,17.34,16.719999,16.75,238700
Thu Feb 08 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),16.74,16.9,16.549999,16.799999,221200
Fri Feb 09 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),16.98,17.535,16.610001,17.23,139600
Mon Feb 12 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),17.25,17.66,17.09,17.42,193700
Tue Feb 13 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),17.82,21.74,17.82,21.4,1228600
Wed Feb 14 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),22,22.33,21.110001,21.870001,581800
Thu Feb 15 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),22,22.629999,21.478001,22.09,581100
Fri Feb 16 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),22,22.6,21.32,22.5,192400
Tue Feb 20 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),22.1,23.15,21.65,22.690001,615100
Wed Feb 21 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),23.34,24.360001,22.99,23.200001,630300
Thu Feb 22 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),23.57,24.629999,23.389999,23.98,402400
Fri Feb 23 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),24.16,24.85,23.5,24.639999,248000
Mon Feb 26 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),24.6,25.690001,23.77,25.559999,533300
Tue Feb 27 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),25.9,26.25,24.799999,26.1,596200
Wed Feb 28 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),26.34,27.24,25.67,25.98,324700
Thu Feb 29 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),26.200001,26.280001,24.610001,25.09,179100
Fri Mar 01 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),25.43,26.33,25.014999,25.719999,311600
Mon Mar 04 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),25.790001,25.799999,23.870001,24.440001,355900
Tue Mar 05 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),24.219999,25,23.889999,24.66,648400
Wed Mar 06 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),25.049999,25.52,23.969999,24.639999,376300
Thu Mar 07 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),25,25.35,24.58,25.34,374700
Fri Mar 08 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),25.360001,26.041,24.674999,25.35,279700
Mon Mar 11 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),25.18,25.530001,23.6,23.67,165500
Tue Mar 12 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),23.57,25.08,22.76,25.040001,537600
Wed Mar 13 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),24.969999,25.700001,24.969999,25.549999,391900
Thu Mar 14 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),25.52,25.52,22.485001,22.940001,244800
Fri Mar 15 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),22.790001,24.07,22.790001,23.76,397400
Mon Mar 18 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),23.76,24.4,23.01,24.120001,373800
Tue Mar 19 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),24.370001,25,24.139999,24.549999,310100
Wed Mar 20 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),24.799999,25.780001,24.1,25.610001,436300
Thu Mar 21 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),25.58,26,25.112,25.85,400700
Fri Mar 22 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),25.860001,25.969999,25.216,25.49,335000
