date,open,high,low,close,volume
Tue Jan 02 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),25.6,26,25.549999,25.6,5600
Wed Jan 03 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),26,26.030001,25.6,26.030001,3700
Thu Jan 04 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),25.99,26.09,25.99,26.049999,1200
Fri Jan 05 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),26.200001,26.450001,26.15,26.15,2300
Mon Jan 08 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),26.440001,26.440001,26.200001,26.200001,700
Tue Jan 09 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),26.16,26.709999,26.16,26.709999,800
Wed Jan 10 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),26.709999,26.709999,26.709999,26.709999,0
Thu Jan 11 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),26.709999,26.709999,26.709999,26.709999,0
Fri Jan 12 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),28,29,27.799999,28,4900
Tue Jan 16 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),27.129999,27.200001,27.129999,27.200001,900
Wed Jan 17 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),27.01,27.01,26.51,27,1600
Thu Jan 18 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),26.6,26.6,26.6,26.6,400
Fri Jan 19 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),27.040001,27.379999,26.709999,27.299999,3000
Mon Jan 22 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),26.6,27.139999,26.6,27.139999,600
Tue Jan 23 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),26.5,27.030001,26.4,26.4,2600
Wed Jan 24 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),26.4,26.4,26.4,26.4,0
Thu Jan 25 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),26.629999,26.82,26.629999,26.82,1400
Fri Jan 26 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),26.9,26.9,26.5,26.709999,1400
Mon Jan 29 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),29.379999,29.379999,26.549999,26.549999,700
Tue Jan 30 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),26.5,26.5,25.82,25.940001,800
Wed Jan 31 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),26.5,26.5,26.360001,26.360001,500
Thu Feb 01 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),26.719999,27.139999,26.01,26.41,4100
Fri Feb 02 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),26.43,26.639999,25.799999,26.49,6300
Mon Feb 05 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),26.1,26.1,25.84,25.870001,1400
Tue Feb 06 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),25.83,25.83,25.32,25.32,500
Wed Feb 07 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),25.6,25.6,25.32,25.32,800
Thu Feb 08 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),25.51,25.51,25.51,25.51,200
Fri Feb 09 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),25.799999,25.799999,25.4,25.4,600
Mon Feb 12 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),26.25,26.370001,25.940001,26.370001,2600
Tue Feb 13 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),26.370001,26.370001,26.370001,26.370001,0
Wed Feb 14 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),25.540001,26.690001,25.33,25.77,6000
Thu Feb 15 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),25.99,25.99,24.700001,24.9,3100
Fri Feb 16 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),24.9,24.9,24.9,24.9,400
Tue Feb 20 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),25.23,25.23,25,25,400
Wed Feb 21 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),25,25,25,25,300
Thu Feb 22 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),25,25.76,25,25.76,700
Fri Feb 23 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),25.639999,25.639999,24.9,24.9,1000
Mon Feb 26 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),25.34,25.34,25.34,25.34,300
Tue Feb 27 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),25.34,25.34,25.34,25.34,0
Wed Feb 28 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),25.33,25.33,25.33,25.33,300
Thu Feb 29 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),25.33,25.33,25.33,25.33,0
Fri Mar 01 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),25.33,26,25.33,26,400
Mon Mar 04 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),25.33,25.33,25.33,25.33,900
Tue Mar 05 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),24.9,25.4,24.43,24.48,4100
Wed Mar 06 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),24.49,25.059999,24.49,25,1500
Thu Mar 07 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),24.73,25.610001,24.73,25.610001,8700
Fri Mar 08 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),25.4,25.75,24.780001,25.450001,12100
Mon Mar 11 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),25.530001,25.57,24.969999,25.15,4200
Tue Mar 12 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),25.15,25.15,25.15,25.15,0
Wed Mar 13 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),24.700001,25.280001,24.700001,25.040001,2300
Thu Mar 14 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),25.59,25.59,24.799999,25.040001,4300
Fri Mar 15 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),25.4,25.57,24.610001,24.610001,4300
Mon Mar 18 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),25.32,25.559999,24.48,24.48,4700
Tue Mar 19 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),24.48,24.48,24.48,24.48,500
Wed Mar 20 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),24.48,24.48,24.48,24.48,400
Thu Mar 21 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),25.48,26.01,25,25.02,6300
Fri Mar 22 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),25.370001,25.389999,25,25,1700
Mon Mar 25 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),25,25,25,25,1300
Tue Mar 26 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),25.75,26.299999,25.280001,26.17,6400
Wed Mar 27 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),26,27.870001,26,27.200001,18800
Thu Mar 28 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),27.1,27.709999,25.57,25.57,1300
Mon Apr 01 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),27.200001,28.299999,27.200001,28.08,7800
