date,open,high,low,close,volume
Tue Jan 02 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),2.82,3.06,2.8,2.91,374000
Wed Jan 03 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),2.89,2.91,2.635,2.74,292100
Thu Jan 04 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),2.78,2.81,2.68,2.72,224700
Fri Jan 05 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),2.68,2.75,2.53,2.73,128400
Mon Jan 08 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),2.74,2.85,2.605,2.82,364000
Tue Jan 09 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),2.83,3.125,2.771,3.04,842800
Wed Jan 10 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),3.05,3.09,2.96,3.01,326700
Thu Jan 11 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),2.94,3.022,2.89,2.99,293600
Fri Jan 12 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),2.99,3.065,2.95,2.98,443400
Tue Jan 16 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),2.97,2.97,2.74,2.82,400600
Wed Jan 17 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),2.75,2.76,2.6,2.73,533100
Thu Jan 18 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),2.75,2.8,2.65,2.73,333700
Fri Jan 19 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),2.73,2.77,2.605,2.76,222600
Mon Jan 22 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),2.75,2.89,2.655,2.67,241300
Tue Jan 23 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),2.71,2.85,2.69,2.84,279600
Wed Jan 24 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),2.88,2.92,2.77,2.8,150700
Thu Jan 25 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),2.81,2.87,2.72,2.85,113300
Fri Jan 26 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),2.85,2.932,2.76,2.9,238600
Mon Jan 29 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),2.88,3.15,2.845,3.02,1865400
Tue Jan 30 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),3.05,3.559,2.94,3.53,922400
Wed Jan 31 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),3.56,4.09,3.385,3.84,1191100
Thu Feb 01 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),3.91,4.285,3.9,4.26,1029200
Fri Feb 02 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),4.18,4.4,4.09,4.39,743800
Mon Feb 05 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),4.17,4.36,3.83,3.98,458400
Tue Feb 06 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),4.04,4.175,3.865,3.93,336400
Wed Feb 07 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),3.94,4.02,3.57,3.87,1561700
Thu Feb 08 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),3.91,4.495,3.9,4.47,1737700
Fri Feb 09 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),4.44,4.64,4.186,4.23,387900
Mon Feb 12 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),4.2,4.49,4.1,4.34,774300
Tue Feb 13 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),4.2,4.23,4.07,4.14,448500
Wed Feb 14 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),4.2,4.945,4.2,4.86,1453200
Thu Feb 15 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),4.81,5.09,4.61,5.06,900700
Fri Feb 16 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),5,5.58,4.8,5.35,1759900
Tue Feb 20 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),5.3,5.65,4.65,4.87,1746300
Wed Feb 21 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),4.84,4.94,4.55,4.67,432200
Thu Feb 22 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),4.67,4.77,4.455,4.49,324600
Fri Feb 23 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),4.53,4.77,4.45,4.7,341400
Mon Feb 26 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),4.75,5.005,4.75,4.88,302600
Tue Feb 27 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),4.92,5.12,4.805,4.89,280700
Wed Feb 28 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),4.86,5.6,4.792,4.95,1275500
Thu Feb 29 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),5.22,5.28,4.96,5.145,452000
Fri Mar 01 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),5.19,5.34,4.669,4.78,795200
Mon Mar 04 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),4.81,4.88,4.47,4.5,472600
Tue Mar 05 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),4.46,4.52,4.315,4.4,277700
Wed Mar 06 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),4.45,4.53,4.33,4.42,229800
Thu Mar 07 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),4.43,4.57,4.16,4.2,525600
Fri Mar 08 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),4.23,4.43,4.05,4.06,435000
Mon Mar 11 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),4.05,4.18,3.96,4,214400
Tue Mar 12 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),3.97,4,3.72,3.78,328800
Wed Mar 13 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),3.83,4.27,3.74,4.19,448000
Thu Mar 14 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),4.24,4.65,4.2,4.54,466300
Fri Mar 15 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),4.61,5.02,4.52,4.79,1687500
Mon Mar 18 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),4.92,4.99,4.68,4.7,291600
Tue Mar 19 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),4.68,4.765,4.58,4.63,281100
Wed Mar 20 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),4.68,4.79,4.56,4.65,354300
Thu Mar 21 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),4.63,5.465,4.625,5.41,1108000
Fri Mar 22 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),5.33,5.88,5.24,5.74,816500
Mon Mar 25 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),5.51,5.62,5.1,5.19,492900
Tue Mar 26 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),5.26,5.385,5.07,5.09,250100
Wed Mar 27 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),5.11,5.17,4.74,4.9,404300
Thu Mar 28 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),5.01,5.265,4.989,5.07,354700
Mon Apr 01 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),5.12,5.12,4.86,4.93,201100
Tue Apr 02 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),4.85,4.85,4.56,4.73,250500
Wed Apr 03 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),4.75,5.01,4.715,5,421900
Thu Apr 04 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),5.02,5.56,5.02,5.11,549100
Fri Apr 05 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),5.1,5.22,4.98,5.06,310900
Mon Apr 08 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),5.24,5.445,4.89,5.35,450500
Tue Apr 09 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),5.41,5.62,5.28,5.36,448700
Wed Apr 10 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),5.16,5.21,4.812,4.98,415000
Thu Apr 11 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),5,5.595,5,5.57,572100
Fri Apr 12 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),5.57,5.6,5.2,5.24,475600
Mon Apr 15 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),5.24,5.405,5.2,5.22,378000
Tue Apr 16 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),5.25,5.4,5.13,5.38,318800
Wed Apr 17 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),5.32,6.21,5.32,5.7,920900
Thu Apr 18 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),5.72,5.72,5.13,5.3,1862400
Fri Apr 19 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),5.17,5.57,5.17,5.26,386500
Mon Apr 22 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),5.28,5.47,4.96,5.02,512700
Tue Apr 23 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),5.05,5.27,4.97,5.01,356300
Wed Apr 24 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),5.04,5.175,4.87,5.06,362000
Thu Apr 25 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),4.97,5.13,4.93,5.11,233100
Fri Apr 26 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),5.16,5.95,5.16,5.89,567000
Mon Apr 29 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),5.85,6.16,5.47,5.865,3049600
Tue Apr 30 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),5.8,5.8,5.34,5.57,483600
Wed May 01 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),5.54,6.19,5.54,5.9,492300
Thu May 02 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),5.95,6.75,5.89,6.59,1294700
Fri May 03 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),6.67,7.14,6.6,6.96,843800
Mon May 06 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),7,7.66,6.92,7.39,896700
Tue May 07 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),7.43,7.5,7.02,7.2,1014700
Wed May 08 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),7.13,7.295,6.89,6.94,459600
Thu May 09 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),7.19,7.375,6.69,6.75,652100
Fri May 10 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),6.6,6.88,6.045,6.11,547200
Mon May 13 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),6.13,6.29,5.88,5.94,424200
Tue May 14 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),5.93,6.15,5.72,5.74,412600
Wed May 15 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),5.81,5.855,5.4,5.44,2527800
Thu May 16 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),5.44,5.54,5.185,5.24,1650500
Fri May 17 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),5.25,5.33,4.85,4.87,1243400
Mon May 20 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),4.88,4.97,4.7,4.9,760900
Tue May 21 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),4.92,5.08,4.811,4.97,930100
Wed May 22 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),4.95,5.29,4.92,5.04,931200
Thu May 23 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),5.03,5.04,4.61,4.74,525400
Fri May 24 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),4.8,4.89,4.68,4.89,477900
Tue May 28 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),4.85,4.935,4.55,4.7,692900
Wed May 29 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),4.59,4.78,4.49,4.75,352400
Thu May 30 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),4.75,4.89,4.73,4.76,320300
Fri May 31 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),4.76,4.91,4.74,4.78,216900
Mon Jun 03 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),4.91,5.072,4.53,4.73,465500
Tue Jun 04 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),4.72,4.87,4.645,4.82,351600
Wed Jun 05 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),4.82,4.84,4.59,4.65,350100
Thu Jun 06 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),4.62,4.68,4.41,4.65,390300
Fri Jun 07 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),4.61,5.23,4.61,5.19,827500
Mon Jun 10 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),5.17,5.329,5.05,5.11,444000
Tue Jun 11 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),5.51,6.29,5.29,6.1,2089500
Wed Jun 12 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),6.2,6.38,5.99,6.24,861400
Thu Jun 13 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),6.2,6.41,5.95,6.17,749000
Fri Jun 14 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),6.06,6.15,5.86,5.97,398700
Mon Jun 17 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),6,6.01,5.3,5.47,418000
Tue Jun 18 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),5.44,5.47,5.3,5.32,337900
Thu Jun 20 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),5.37,5.37,4.94,4.98,629900
Fri Jun 21 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),5,5.04,4.81,4.84,382900
Mon Jun 24 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),4.86,5.084,4.77,4.88,435500
Tue Jun 25 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),4.88,4.95,4.57,4.69,724900
Wed Jun 26 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),4.66,4.78,4.58,4.69,576600
Thu Jun 27 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),4.64,4.88,4.52,4.7,762600
Fri Jun 28 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),4.73,4.97,4.56,4.66,6579800
Mon Jul 01 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),4.66,4.74,4.47,4.7,662700
Tue Jul 02 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),4.71,4.75,4.19,4.21,523800
Wed Jul 03 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),4.23,4.445,4.15,4.44,328500
Fri Jul 05 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),4.45,4.49,4.25,4.47,500000
Mon Jul 08 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),4.47,4.65,4.36,4.37,467600
Tue Jul 09 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),4.35,5.06,4.278,5.01,849200
Wed Jul 10 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),5.03,5.205,4.87,5.13,810200
Thu Jul 11 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),5.23,5.44,4.94,5.39,667500
Fri Jul 12 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),5.43,5.76,5.35,5.65,474500
