date,open,high,low,close,volume
Tue Jan 02 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),5.25,5.27,5.23,5.25,197700
Wed Jan 03 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),5.21,5.23,5.18,5.18,210200
Thu Jan 04 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),5.17,5.26,5.17,5.26,215700
Fri Jan 05 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),5.24,5.3,5.22,5.26,242800
Mon Jan 08 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),5.29,5.36,5.27,5.35,322100
Tue Jan 09 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),5.33,5.33,5.3,5.33,175500
Wed Jan 10 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),5.34,5.38,5.33,5.36,210400
Thu Jan 11 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),5.34,5.36,5.3,5.34,181300
Fri Jan 12 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),5.38,5.39,5.35,5.38,178800
Tue Jan 16 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),5.33,5.33,5.23,5.24,327500
Wed Jan 17 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),5.21,5.25,5.21,5.24,233300
Thu Jan 18 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),5.25,5.25,5.23,5.24,327600
Fri Jan 19 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),5.26,5.26,5.21,5.23,305300
Mon Jan 22 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),5.25,5.28,5.24,5.26,167100
Tue Jan 23 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),5.24,5.24,5.2,5.23,132000
Wed Jan 24 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),5.27,5.3,5.23,5.25,220400
Thu Jan 25 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),5.25,5.28,5.24,5.25,196900
Fri Jan 26 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),5.28,5.31,5.27,5.29,184300
Mon Jan 29 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),5.3,5.33,5.28,5.33,247800
Tue Jan 30 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),5.33,5.33,5.29,5.31,134600
Wed Jan 31 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),5.3,5.33,5.27,5.28,125700
Thu Feb 01 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),5.29,5.35,5.27,5.32,209200
Fri Feb 02 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),5.32,5.32,5.26,5.28,152000
Mon Feb 05 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),5.26,5.27,5.23,5.25,163700
Tue Feb 06 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),5.25,5.31,5.25,5.31,173500
Wed Feb 07 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),5.32,5.35,5.29,5.32,240500
Thu Feb 08 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),5.3,5.32,5.29,5.32,93700
Fri Feb 09 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),5.33,5.33,5.29,5.33,200500
Mon Feb 12 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),5.36,5.37,5.32,5.35,177800
Tue Feb 13 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),5.28,5.3,5.25,5.25,110700
Wed Feb 14 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),5.25,5.29,5.25,5.27,306800
Thu Feb 15 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),5.26,5.31,5.26,5.28,372600
Fri Feb 16 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),5.28,5.31,5.27,5.28,254000
Tue Feb 20 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),5.28,5.32,5.28,5.29,162700
Wed Feb 21 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),5.28,5.32,5.28,5.3,195100
Thu Feb 22 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),5.34,5.38,5.34,5.36,120100
Fri Feb 23 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),5.36,5.39,5.36,5.38,140000
Mon Feb 26 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),5.38,5.39,5.34,5.36,118800
Tue Feb 27 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),5.35,5.36,5.34,5.34,141800
Wed Feb 28 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),5.3,5.35,5.26,5.32,221100
Thu Feb 29 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),5.36,5.38,5.31,5.34,159600
Fri Mar 01 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),5.33,5.39,5.32,5.36,167300
