date,open,high,low,close,volume
Tue Jan 02 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),15.65,15.98,15.65,15.77,29000
Wed Jan 03 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),15.61,15.75,15.46,15.66,36000
Thu Jan 04 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),15.56,15.68,15.5,15.595,25000
Fri Jan 05 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),15.57,15.69,15.25,15.45,38300
Mon Jan 08 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),15.49,15.85,15.4,15.85,31800
Tue Jan 09 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),15.66,15.99,15.632,15.92,23800
Wed Jan 10 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),15.86,16.110001,15.74,15.95,62200
Thu Jan 11 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),15.99,16.082001,15.825,15.94,26100
Fri Jan 12 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),16.049999,16.139999,15.95,16.08,13300
Tue Jan 16 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),15.93,16.120001,15.789,15.887,35400
Wed Jan 17 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),15.85,16,15.71,15.85,18900
Thu Jan 18 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),15.85,15.85,15.62,15.76,28000
Fri Jan 19 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),15.92,16.24,15.646,16.200001,41600
Mon Jan 22 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),16.290001,16.665001,16.205999,16.450001,21000
Tue Jan 23 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),16.52,16.74,16.23,16.33,53700
Wed Jan 24 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),16.4,16.49,16.231001,16.25,30700
Thu Jan 25 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),16.379999,16.559999,16.23,16.530001,123400
Fri Jan 26 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),16.530001,16.879999,16.455,16.629999,44800
Mon Jan 29 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),16.57,17.040001,16.57,16.85,48400
Tue Jan 30 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),16.65,16.972,16.65,16.969999,47000
Wed Jan 31 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),16.85,16.9,16.620001,16.75,48900
Thu Feb 01 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),16.75,16.958,16.33,16.76,44600
Fri Feb 02 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),16.59,16.709999,16.530001,16.68,9400
Mon Feb 05 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),16.450001,16.57,16.129999,16.49,42100
Tue Feb 06 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),16.360001,16.620001,16.122999,16.620001,26700
Wed Feb 07 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),16.59,16.59,16.15,16.360001,106500
Thu Feb 08 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),16.299999,16.549999,16.190001,16.530001,29500
Fri Feb 09 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),16.360001,16.799999,16.299999,16.75,27600
Mon Feb 12 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),16.790001,16.85,16.530001,16.75,30600
Tue Feb 13 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),16.469999,16.469999,15.8,16.02,54100
Wed Feb 14 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),16.17,16.298,15.9,16.030001,58500
Thu Feb 15 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),16.18,16.360001,16.049999,16.290001,27800
Fri Feb 16 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),16.209999,16.26,16.049999,16.17,28400
Tue Feb 20 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),16.07,16.370001,16,16.23,44800
Wed Feb 21 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),16.25,16.399,16.049999,16.16,27600
Thu Feb 22 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),16.25,16.42,16.200001,16.34,32800
Fri Feb 23 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),16.48,16.66,16.25,16.66,33400
Mon Feb 26 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),16.719999,16.780001,16.35,16.719999,56100
Tue Feb 27 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),16.5,16.690001,16.4,16.459999,44100
Wed Feb 28 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),16.34,16.655001,16.209999,16.209999,74500
Thu Feb 29 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),16.27,16.65,16.200001,16.299999,79300
Fri Mar 01 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),16.469999,16.6,16.200001,16.59,48400
Mon Mar 04 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),16.6,16.82,16.455,16.809999,91800
Tue Mar 05 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),16.790001,16.965,16.669001,16.965,40900
Wed Mar 06 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),16.85,17,16.690001,16.950001,38100
Thu Mar 07 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),16.690001,16.9,16.690001,16.84,39600
Fri Mar 08 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),16.959999,16.98,16.754,16.969999,26500
Mon Mar 11 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),16.98,17,16.799999,16.879999,50500
Tue Mar 12 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),16.719999,16.799999,16.549999,16.709999,54300
Wed Mar 13 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),16.6,17,16.450001,16.82,56200
Thu Mar 14 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),16.75,16.75,16.5,16.610001,22900
Fri Mar 15 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),16.67,16.67,16.302,16.549999,27500
Mon Mar 18 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),16.709999,16.709999,16.27,16.49,44900
Tue Mar 19 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),16.549999,16.75,16.32,16.74,31900
Wed Mar 20 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),16.74,16.74,16.41,16.51,74500
Thu Mar 21 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),16.639999,16.870001,16.59,16.690001,43400
Fri Mar 22 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),16.790001,16.999001,16.66,16.870001,69800
Mon Mar 25 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),17,17,16.59,16.73,27400
Tue Mar 26 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),16.65,16.84,16.49,16.65,15700
Wed Mar 27 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),16.73,17.190001,16.594,17.15,65900
Thu Mar 28 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),17.15,17.16,16.82,16.98,31500
Mon Apr 01 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),17.120001,17.139999,16.76,17.09,33500
Tue Apr 02 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),16.940001,17.02,16.68,16.799999,31400
Wed Apr 03 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),16.84,16.879999,16.59,16.879999,70500
Thu Apr 04 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),16.950001,16.98,16.610001,16.92,14800
Fri Apr 05 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),16.950001,17.07,16.844,16.940001,20600
Mon Apr 08 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),16.940001,17.014999,16.6,16.629999,21100
Tue Apr 09 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),16.76,16.99,16.6,16.6,23000
Wed Apr 10 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),16.5,16.5,15.81,16.209999,37500
Thu Apr 11 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),16.15,16.15,15.63,15.66,63000
Fri Apr 12 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),15.89,16.01,15.66,15.71,43800
Mon Apr 15 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),15.81,15.85,15.16,15.18,50400
Tue Apr 16 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),15.13,15.5,15.05,15.13,51100
Wed Apr 17 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),15.25,15.61,15.16,15.27,60700
Thu Apr 18 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),15.34,15.49,15.1,15.28,36500
Fri Apr 19 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),15.37,15.594,15.29,15.53,26900
Mon Apr 22 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),15.62,15.78,15.503,15.72,23800
Tue Apr 23 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),15.82,16.148001,15.64,15.92,50600
Wed Apr 24 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),15.85,15.85,15.54,15.76,18800
Thu Apr 25 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),15.6,15.75,15.35,15.6,30100
Fri Apr 26 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),15.73,15.85,15.535,15.725,9400
Mon Apr 29 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),15.775,15.9,15.5,15.78,18400
Tue Apr 30 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),15.59,15.65,15.372,15.42,31000
Wed May 01 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),15.52,15.85,15.37,15.73,58100
Thu May 02 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),15.65,15.91,15.65,15.75,11300
Fri May 03 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),15.97,16.24,15.85,16.24,17600
Mon May 06 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),16.33,16.445,16.110001,16.445,22700
Tue May 07 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),16.32,16.629999,16.27,16.33,37100
Wed May 08 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),16.200001,16.200001,15.9,16.02,26800
Thu May 09 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),15.96,16.26,15.96,15.96,26800
Fri May 10 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),16.09,16.120001,15.91,16.07,8100
Mon May 13 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),16.17,16.32,15.943,15.99,59800
Tue May 14 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),16.24,16.32,15.93,15.95,40900
Wed May 15 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),16.08,16.389999,16.08,16.389999,31700
Thu May 16 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),16.219999,16.49,16.18,16.49,46100
Fri May 17 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),16.469999,16.469999,16.01,16.26,19000
Mon May 20 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),16.41,16.68,16.375,16.57,43400
Tue May 21 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),16.6,16.700001,16.450001,16.49,36000
Wed May 22 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),16.559999,16.559999,16.27,16.41,13700
Thu May 23 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),16.35,16.35,15.9,16.16,51400
Fri May 24 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),16.219999,16.299999,16.065001,16.280001,10100
Tue May 28 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),16.42,16.48,16.059999,16.17,15400
Wed May 29 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),16.110001,16.110001,15.76,15.93,34500
Thu May 30 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),15.88,16,15.85,15.85,16000
Fri May 31 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),15.98,16.73,15.912,16.610001,94300
Mon Jun 03 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),16.6,16.959999,16.49,16.719999,77700
Tue Jun 04 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),16.629999,16.837999,16.52,16.639999,51300
Wed Jun 05 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),16.690001,16.690001,16.48,16.549999,15200
Thu Jun 06 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),16.459999,16.84,16.459999,16.73,40900
Fri Jun 07 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),16.65,16.83,16.545,16.82,23700
Mon Jun 10 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),16.530001,16.620001,16.33,16.334999,23600
Tue Jun 11 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),16.26,16.385,15.971,16.1,27800
Wed Jun 12 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),16.33,16.427999,16.059999,16.07,23400
Thu Jun 13 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),16.110001,16.26,16.035,16.174999,20800
Fri Jun 14 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),16.18,16.24,16.01,16.139999,14800
Mon Jun 17 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),16.07,16.209999,15.95,15.99,21200
Tue Jun 18 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),15.9,16.370001,15.785,16.16,24000
Thu Jun 20 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),15.9,16.049999,15.77,15.8,74500
Fri Jun 21 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),15.84,15.85,15.7,15.83,27400
