date,open,high,low,close,volume
Tue Jan 02 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),80.050003,80.779999,76.199997,77.230003,2333400
Wed Jan 03 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),75.199997,75.792999,73.68,74.470001,1662800
Thu Jan 04 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),73.93,75.089996,71.879997,74.080002,1456000
Fri Jan 05 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),74.660004,76.224998,73.309998,75,1471900
Mon Jan 08 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),75.510002,78.690002,75.510002,78.050003,1618300
Tue Jan 09 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),77.410004,79.349998,76.550003,76.790001,1486100
Wed Jan 10 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),76.830002,77.589996,74.150002,76.389999,1641100
Thu Jan 11 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),76.790001,76.790001,73.771004,75.419998,1624300
Fri Jan 12 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),75.75,76.688004,74.589996,75,1338300
Tue Jan 16 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),74.099998,75.470001,73.285004,73.879997,1826500
Wed Jan 17 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),72.550003,73.940002,70.739998,73.849998,1742200
Thu Jan 18 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),74.889999,75.050003,72.099998,72.610001,1705600
Fri Jan 19 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),73.25,73.254997,70.360001,72.5,1573700
Mon Jan 22 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),73.449997,76.580002,73.300003,75.120003,2005100
Tue Jan 23 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),74.800003,77.099998,73.309998,74.93,1642400
Wed Jan 24 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),76.459999,76.529999,73.150002,73.169998,1242700
Thu Jan 25 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),74.120003,74.790001,73.559998,73.970001,816500
