date,open,high,low,close,volume
Tue Jan 02 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),1.41,1.452,1.3,1.33,456200
Wed Jan 03 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),1.35,1.36,1.279,1.31,650100
Thu Jan 04 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),1.34,1.36,1.31,1.35,290000
Fri Jan 05 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),1.37,1.39,1.34,1.35,561900
Mon Jan 08 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),1.38,1.38,1.26,1.28,535500
Tue Jan 09 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),1.32,1.33,1.25,1.28,331100
Wed Jan 10 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),1.29,1.3,1.24,1.26,124200
Thu Jan 11 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),1.26,1.28,1.21,1.25,210300
Fri Jan 12 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),1.27,1.27,1.23,1.26,83000
Tue Jan 16 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),1.27,1.27,1.22,1.25,806600
Wed Jan 17 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),1.23,1.24,1.06,1.09,438500
Thu Jan 18 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),1.11,1.119,0.879,0.974,792500
Fri Jan 19 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),1.02,1.02,0.87,0.912,587200
Mon Jan 22 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),0.898,0.904,0.756,0.895,516600
Tue Jan 23 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),0.93,1.1,0.93,0.971,449300
Wed Jan 24 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),1.01,1.02,0.905,0.905,137400
Thu Jan 25 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),0.921,0.987,0.89,0.917,255400
Fri Jan 26 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),0.9,0.989,0.9,0.94,111600
Mon Jan 29 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),0.985,1.01,0.95,0.996,158800
Tue Jan 30 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),0.973,1.01,0.96,0.96,53300
Wed Jan 31 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),0.963,1,0.92,0.94,149000
Thu Feb 01 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),0.94,0.997,0.92,0.939,131500
Fri Feb 02 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),0.95,0.955,0.87,0.94,154400
Mon Feb 05 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),0.909,0.95,0.857,0.9,135700
Tue Feb 06 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),0.89,0.943,0.88,0.92,188900
Wed Feb 07 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),0.92,0.938,0.828,0.857,214400
Thu Feb 08 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),0.84,0.862,0.8,0.835,375900
Fri Feb 09 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),0.862,0.89,0.83,0.855,152500
Mon Feb 12 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),0.85,0.878,0.84,0.841,176100
Tue Feb 13 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),0.83,0.85,0.768,0.806,220100
Wed Feb 14 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),0.8,0.838,0.78,0.822,172900
Thu Feb 15 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),0.81,0.833,0.8,0.809,201800
Fri Feb 16 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),0.8,0.849,0.773,0.83,243800
Tue Feb 20 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),0.878,0.888,0.85,0.888,230600
Wed Feb 21 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),0.9,0.9,0.815,0.84,121300
Thu Feb 22 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),0.83,0.888,0.79,0.819,160100
Fri Feb 23 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),0.83,0.85,0.78,0.849,126400
Mon Feb 26 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),0.882,1.09,0.87,1.05,657700
Tue Feb 27 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),1.09,1.54,1.09,1.54,2387600
Wed Feb 28 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),1.65,1.99,1.35,1.42,1948600
Thu Feb 29 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),1.5,1.54,1.25,1.31,517400
Fri Mar 01 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),1.37,1.37,1.06,1.15,604400
Mon Mar 04 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),1.17,1.307,1.15,1.24,872800
Tue Mar 05 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),1.26,1.27,1.09,1.1,499500
Wed Mar 06 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),1.08,1.2,1.07,1.175,327700
Thu Mar 07 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),1.17,1.21,1.13,1.16,372600
Fri Mar 08 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),1.17,1.2,1.14,1.19,211100
Mon Mar 11 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),1.29,1.31,1.25,1.27,557400
Tue Mar 12 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),1.24,1.26,1.12,1.13,367200
Wed Mar 13 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),1.18,1.2,1.12,1.15,243800
Thu Mar 14 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),1.12,1.14,1.01,1.08,282500
Fri Mar 15 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),1.08,1.19,1.08,1.12,342700
Mon Mar 18 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),1.13,1.18,1.09,1.15,163900
Tue Mar 19 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),1.13,1.23,1.12,1.19,176700
Wed Mar 20 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),1.19,1.22,1.15,1.21,286000
Thu Mar 21 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),1.21,1.21,1.155,1.19,159000
Fri Mar 22 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),1.18,1.23,1.16,1.2,189700
Mon Mar 25 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),1.22,1.23,1.16,1.22,197000
Tue Mar 26 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),1.26,1.33,1.22,1.33,395100
Wed Mar 27 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),1.23,1.24,1.16,1.17,705400
Thu Mar 28 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),1.16,1.17,1.08,1.1,357300
Mon Apr 01 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),0.808,0.819,0.67,0.735,4318800
Tue Apr 02 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),0.741,0.75,0.707,0.74,610200
Wed Apr 03 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),0.74,0.774,0.73,0.745,806400
Thu Apr 04 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),0.75,0.75,0.671,0.718,1159400
Fri Apr 05 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),0.73,0.74,0.71,0.721,341600
Mon Apr 08 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),0.71,0.74,0.701,0.726,297500
Tue Apr 09 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),0.725,0.725,0.683,0.7,509500
Wed Apr 10 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),0.7,0.706,0.671,0.699,302300
Thu Apr 11 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),0.69,0.715,0.681,0.705,162800
Fri Apr 12 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),0.69,0.7,0.661,0.671,297300
Mon Apr 15 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),0.673,0.673,0.61,0.62,452800
Tue Apr 16 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),0.61,0.65,0.61,0.621,244200
Wed Apr 17 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),0.64,0.67,0.62,0.642,317800
Thu Apr 18 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),0.65,0.679,0.585,0.6,519500
Fri Apr 19 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),0.6,0.62,0.6,0.615,104500
Mon Apr 22 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),0.601,0.613,0.593,0.606,160200
Tue Apr 23 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),0.63,0.661,0.615,0.639,383300
Wed Apr 24 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),0.639,0.65,0.6,0.62,184300
Thu Apr 25 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),0.611,0.632,0.6,0.607,151500
Fri Apr 26 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),0.633,0.633,0.602,0.628,133700
Mon Apr 29 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),0.625,0.64,0.612,0.623,128000
Tue Apr 30 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),0.639,0.66,0.62,0.655,254900
Wed May 01 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),0.649,0.655,0.623,0.642,290300
Thu May 02 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),0.642,0.72,0.631,0.713,427800
Fri May 03 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),0.7,0.748,0.67,0.731,269200
Mon May 06 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),0.749,0.77,0.718,0.751,272500
Tue May 07 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),0.76,0.76,0.73,0.74,114600
Wed May 08 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),0.748,0.75,0.715,0.716,133700
Thu May 09 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),0.72,0.758,0.72,0.748,126400
Fri May 10 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),0.747,0.76,0.729,0.733,107600
Mon May 13 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),0.75,0.75,0.733,0.74,105600
Tue May 14 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),0.71,0.75,0.681,0.738,233300
Wed May 15 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),0.74,0.75,0.713,0.715,328300
Thu May 16 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),0.73,0.747,0.683,0.737,315400
Fri May 17 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),0.74,0.75,0.7,0.73,220500
Mon May 20 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),0.73,0.75,0.711,0.73,235400
Tue May 21 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),0.734,0.734,0.701,0.712,263600
Wed May 22 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),0.7,0.72,0.67,0.69,174500
Thu May 23 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),0.7,0.72,0.475,0.497,1670900
Fri May 24 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),0.543,0.61,0.543,0.594,850800
Tue May 28 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),0.61,0.62,0.593,0.606,215500
Wed May 29 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),0.6,0.61,0.58,0.592,196000
Thu May 30 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),0.6,0.63,0.586,0.608,127000
Fri May 31 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),0.61,0.655,0.583,0.64,257400
Mon Jun 03 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),0.64,0.653,0.624,0.643,119400
Tue Jun 04 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),0.646,0.654,0.63,0.644,153000
Wed Jun 05 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),0.626,0.716,0.621,0.699,346000
Thu Jun 06 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),0.73,0.79,0.69,0.76,643000
Fri Jun 07 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),0.757,0.76,0.7,0.712,300400
Mon Jun 10 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),0.727,0.775,0.72,0.736,171300
Tue Jun 11 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),0.73,0.74,0.7,0.707,135500
Wed Jun 12 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),0.75,0.75,0.7,0.71,172800
Thu Jun 13 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),0.713,0.75,0.7,0.72,80500
Fri Jun 14 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),0.72,0.752,0.705,0.747,150800
Mon Jun 17 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),0.73,0.76,0.671,0.672,390100
Tue Jun 18 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),0.672,0.704,0.672,0.685,93100
Thu Jun 20 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),0.695,0.727,0.685,0.692,128000
Fri Jun 21 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),0.7,0.725,0.67,0.68,138100
Mon Jun 24 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),0.696,0.709,0.68,0.69,131900
