date,open,high,low,close,volume
Tue Jan 02 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),48.43,48.549999,46.75,47.380001,1159900
Wed Jan 03 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),46.740002,47.689999,45.919998,46.290001,690600
Thu Jan 04 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),46,46.525002,45.549999,46.189999,319000
Fri Jan 05 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),45.599998,46.41,45.580002,45.700001,302800
Mon Jan 08 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),45.700001,47.895,45.700001,47.43,782000
Tue Jan 09 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),47.23,47.650002,46.59,46.639999,552600
Wed Jan 10 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),46.509998,48,46.455002,47.650002,945500
Thu Jan 11 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),47.830002,47.880001,46.889999,47.540001,1124200
Fri Jan 12 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),48.389999,48.689999,46.990002,47.880001,1668900
Tue Jan 16 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),47.119999,49.779999,47.110001,49.43,1247300
Wed Jan 17 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),48.610001,50.189999,47.880001,49.98,2443200
Thu Jan 18 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),43.950001,47.720001,43,46.119999,4588000
Fri Jan 19 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),47.169998,47.169998,44.310001,46.32,1368800
Mon Jan 22 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),46.459999,49.240002,46.459999,47.599998,1008100
Tue Jan 23 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),47.59,48.029999,45.099998,45.610001,827600
Wed Jan 24 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),46.66,46.66,44.77,44.799999,523100
Thu Jan 25 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),44.709999,46.435001,44.709999,46.400002,616500
Fri Jan 26 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),46.720001,47.369999,46.25,46.529999,332600
Mon Jan 29 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),46.599998,48.759998,46.459999,48.419998,662700
Tue Jan 30 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),48.5,48.540001,47.43,47.5,311000
Wed Jan 31 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),47.59,48.439999,46.290001,46.389999,475100
Thu Feb 01 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),46.470001,46.915001,45.419998,46.669998,701200
Fri Feb 02 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),46.57,46.759998,45.599998,46.09,448200
Mon Feb 05 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),45.580002,45.98,44.005001,45.150002,715200
Tue Feb 06 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),45.34,47,45.080002,46.41,404000
Wed Feb 07 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),46.880001,46.889999,45.650002,45.91,296200
Thu Feb 08 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),46.040001,48.75,45.700001,48,489500
Fri Feb 09 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),47.790001,48.380001,47.360001,47.860001,322100
Mon Feb 12 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),48,51.09,48,50.700001,606200
Tue Feb 13 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),49.040001,49.349998,47.849998,48.130001,297900
Wed Feb 14 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),49.400002,50.279999,48.470001,49.849998,475700
Thu Feb 15 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),50.5,50.817001,48.779999,49.779999,434100
Fri Feb 16 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),49.720001,50.5,49.099998,49.25,443500
Tue Feb 20 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),49,50.049999,48.630001,49.240002,488000
Wed Feb 21 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),49.02,52.945,49.02,51.98,1509400
Thu Feb 22 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),53.259998,55,50.889999,51.299999,1137400
Fri Feb 23 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),51.169998,52.099998,50.439999,52,413600
Mon Feb 26 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),52,53.18,50.82,51,527700
Tue Feb 27 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),50.970001,51.860001,50.759998,51.450001,719000
Wed Feb 28 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),50.880001,52.130001,49.450001,51.23,939800
Thu Feb 29 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),47.779999,50.040001,44.75,50.009998,2512300
Fri Mar 01 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),50.5,50.880001,47.580002,47.830002,613900
Mon Mar 04 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),48.470001,51.404999,48.200001,50.240002,971800
Tue Mar 05 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),50.389999,50.459999,48.005001,48.360001,618700
Wed Mar 06 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),48.549999,49.040001,47.77,48.189999,185100
Thu Mar 07 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),48.299999,49.16,48.299999,48.400002,182600
Fri Mar 08 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),48.689999,48.91,46.709999,47.18,433800
Mon Mar 11 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),47.18,47.650002,46.200001,47.43,538900
Tue Mar 12 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),47.43,47.43,46.25,47.029999,287200
Wed Mar 13 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),46.970001,48.07,46.645,46.849998,530900
Thu Mar 14 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),46.93,46.943001,45.91,46.43,406600
Fri Mar 15 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),46.080002,47.34,46.080002,47.09,598100
Mon Mar 18 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),46.790001,47.275002,45.900002,46.400002,710400
Tue Mar 19 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),45.98,46.41,44.810001,45.869999,973900
Wed Mar 20 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),46.060001,46.169998,45.189999,45.950001,615400
Thu Mar 21 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),46.34,47.439999,45.669998,46.75,659200
Fri Mar 22 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),46.450001,47.189999,46.049999,46.75,549300
Mon Mar 25 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),46.779999,47.060001,45.43,45.669998,375000
Tue Mar 26 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),46.110001,46.634998,45.775002,46.259998,202800
Wed Mar 27 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),46.459999,47.189999,45.720001,47.029999,589300
Thu Mar 28 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),47.23,48.439999,46.84,47.25,391500
Mon Apr 01 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),47.380001,47.584999,46.580002,46.59,244000
Tue Apr 02 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),46.66,46.849998,44.740002,45.189999,670400
Wed Apr 03 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),44.98,45.360001,43.279999,43.360001,684400
Thu Apr 04 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),43.5,43.960999,41.779999,41.990002,1319800
Fri Apr 05 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),42,44.650002,42,44.040001,1330100
