date,open,high,low,close,volume
Tue Jan 02 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),53.669998,55.380001,53.669998,55.200001,343100
Wed Jan 03 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),54.900002,55.490002,54.43,55.139999,446700
Thu Jan 04 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),55.259998,55.459999,54.779999,54.970001,359900
Fri Jan 05 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),54.68,55.529999,54.549999,55.209999,258900
Mon Jan 08 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),55,56.060001,54.98,56.040001,355300
Tue Jan 09 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),55.599998,55.889999,55.220001,55.459999,415900
Wed Jan 10 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),55.380001,55.580002,55.139999,55.310001,272800
Thu Jan 11 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),55,55,53.549999,53.939999,330400
Fri Jan 12 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),54.59,54.720001,53.450001,53.490002,391300
Tue Jan 16 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),53.169998,53.25,51.470001,51.580002,777100
Wed Jan 17 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),51.139999,52,50.799999,51.34,472400
Thu Jan 18 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),51.029999,51.130001,50.290001,50.380001,447500
Fri Jan 19 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),50.450001,50.73,49.810001,50.23,357700
Mon Jan 22 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),50.630001,51.009998,50.23,50.599998,595800
Tue Jan 23 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),50.939999,51.209999,50.23,51.189999,637200
Wed Jan 24 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),51.869999,51.869999,49.869999,50.060001,2102900
Thu Jan 25 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),51.040001,51.119999,50.349998,51,637000
Fri Jan 26 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),51.16,51.43,50.799999,50.799999,366100
Mon Jan 29 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),51.029999,52.139999,50.639999,51.950001,442600
Tue Jan 30 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),51.68,52.43,51.360001,52.150002,445800
Wed Jan 31 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),52.450001,52.759998,51.5,51.759998,884800
Thu Feb 01 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),51.639999,52.560001,51.400002,52.549999,440600
Fri Feb 02 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),51.77,51.84,50.77,51.18,589100
Mon Feb 05 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),50.5,50.5,49.650002,49.669998,639700
Tue Feb 06 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),49.75,50.220001,49.470001,49.91,514400
Wed Feb 07 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),50.029999,50.130001,49.34,49.619999,579900
Thu Feb 08 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),50.150002,51.25,49.5,51.25,1699400
Fri Feb 09 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),51.009998,51.799999,50.919998,51.619999,781400
Mon Feb 12 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),51.790001,52.830002,51.599998,52.82,729800
Tue Feb 13 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),51.919998,52.169998,50.509998,50.98,720500
Wed Feb 14 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),51.299999,51.689999,50.779999,51.419998,461200
Thu Feb 15 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),51.110001,52.490002,51.02,52.360001,495800
Fri Feb 16 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),51.970001,52.580002,51.669998,52.080002,554800
Tue Feb 20 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),51.91,53,51.860001,52.259998,575100
Wed Feb 21 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),52.5,53,52.279999,52.919998,490000
