date,open,high,low,close,volume
Tue Jan 02 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),3.5,3.5,3.285,3.41,1268000
Wed Jan 03 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),3.36,3.36,3.123,3.14,916300
Thu Jan 04 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),3.17,3.28,3.11,3.24,457200
Fri Jan 05 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),3.18,3.27,3.09,3.13,523900
Mon Jan 08 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),3.12,3.27,3.09,3.2,546600
Tue Jan 09 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),3.17,3.18,3.095,3.1,355200
Wed Jan 10 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),3.09,3.1,2.975,3.03,464700
Thu Jan 11 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),2.99,3,2.875,2.97,483100
Fri Jan 12 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),2.97,3.03,2.87,2.88,483800
Tue Jan 16 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),2.85,2.87,2.755,2.81,747100
Wed Jan 17 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),2.76,2.86,2.71,2.86,351100
Thu Jan 18 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),2.86,2.92,2.79,2.87,385400
Fri Jan 19 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),2.87,2.87,2.69,2.83,434300
Mon Jan 22 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),2.9,3.06,2.89,3,643900
Tue Jan 23 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),3.05,3.24,3.05,3.18,635800
Wed Jan 24 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),3.2,3.28,3.12,3.16,586400
Thu Jan 25 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),3.22,3.27,3.14,3.16,394100
Fri Jan 26 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),3.15,3.19,2.96,3.01,691600
Mon Jan 29 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),2.99,3.17,2.92,3.17,480600
Tue Jan 30 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),3.14,3.14,2.99,3.02,286600
Wed Jan 31 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),2.99,3.12,2.96,2.98,545600
Thu Feb 01 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),3.03,3.112,2.89,3.02,316800
Fri Feb 02 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),3,3.05,2.9,3.01,498700
Mon Feb 05 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),2.97,2.97,2.845,2.85,450400
Tue Feb 06 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),2.85,3.04,2.84,3.04,552400
Wed Feb 07 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),3.05,3.05,2.905,2.93,412400
Thu Feb 08 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),2.92,3.05,2.87,3.03,409300
Fri Feb 09 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),3.05,3.12,3.02,3.08,285900
Mon Feb 12 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),3.1,3.3,3.1,3.21,864600
Tue Feb 13 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),3.05,3.09,2.895,2.96,660300
Wed Feb 14 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),3.01,3.11,2.99,3.1,369900
Thu Feb 15 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),3.13,3.37,3.13,3.36,693100
Fri Feb 16 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),3.32,3.419,3.24,3.37,771000
Tue Feb 20 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),3.38,3.39,3.29,3.33,352600
Wed Feb 21 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),3.35,3.35,3.2,3.24,401200
Thu Feb 22 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),3.26,3.29,3.18,3.23,511600
Fri Feb 23 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),3.2,3.325,3.15,3.27,570000
Mon Feb 26 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),3.29,3.54,3.29,3.37,586500
Tue Feb 27 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),3.39,3.44,3.3,3.4,699200
Wed Feb 28 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),3.36,3.36,3.175,3.18,496600
Thu Feb 29 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),3.26,3.35,3.161,3.18,550100
Fri Mar 01 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),3.2,3.375,3.15,3.35,533000
Mon Mar 04 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),3.36,3.63,3.36,3.57,833800
Tue Mar 05 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),3.5,3.58,3.38,3.4,682000
Wed Mar 06 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),3.45,3.735,3.44,3.57,953900
Thu Mar 07 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),3.59,3.875,3.57,3.84,967700
Fri Mar 08 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),3.87,4.08,3.86,3.94,782400
Mon Mar 11 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),3.94,4.245,3.94,3.99,1247600
Tue Mar 12 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),3.431,3.53,2.55,2.78,5657800
Wed Mar 13 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),2.86,2.94,2.655,2.71,1854000
Thu Mar 14 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),2.66,2.72,2.54,2.62,2409800
