date,open,high,low,close,volume
Tue Jan 02 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),14.61,14.76,14.61,14.7,419600
Wed Jan 03 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),14.66,14.69,14.59,14.65,526700
Thu Jan 04 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),14.64,14.79,14.62,14.77,401500
Fri Jan 05 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),14.74,14.84,14.68,14.76,361500
Mon Jan 08 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),14.82,15.02,14.76,15.01,325100
Tue Jan 09 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),14.94,15.1,14.94,15.05,343900
Wed Jan 10 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),15.05,15.3,15.03,15.24,480700
Thu Jan 11 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),15.2,15.2,15.06,15.16,463300
Fri Jan 12 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),15.18,15.29,15.12,15.13,469300
Tue Jan 16 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),15.06,15.18,14.99,15,339600
Wed Jan 17 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),14.93,15.02,14.85,14.92,311600
Thu Jan 18 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),14.92,14.97,14.85,14.91,413100
Fri Jan 19 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),14.91,14.97,14.89,14.94,485600
Mon Jan 22 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),14.98,15.12,14.98,15.05,330000
Tue Jan 23 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),15.08,15.12,15.01,15.1,274400
Wed Jan 24 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),15.15,15.17,15.07,15.07,451800
Thu Jan 25 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),15.14,15.19,15.13,15.17,469000
Fri Jan 26 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),15.18,15.38,15.18,15.31,799100
Mon Jan 29 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),15.31,15.52,15.31,15.49,577000
Tue Jan 30 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),15.48,15.56,15.42,15.43,224900
Wed Jan 31 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),15.43,15.57,15.38,15.41,483700
Thu Feb 01 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),15.51,15.68,15.42,15.65,382300
Fri Feb 02 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),15.58,15.64,15.52,15.53,304800
Mon Feb 05 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),15.49,15.63,15.49,15.63,267700
Tue Feb 06 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),15.64,15.74,15.63,15.73,344000
Wed Feb 07 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),15.8,15.85,15.75,15.84,353200
Thu Feb 08 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),15.81,15.88,15.78,15.86,323800
Fri Feb 09 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),15.91,15.99,15.88,15.98,361800
Mon Feb 12 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),15.99,16.120001,15.99,16.110001,351500
Tue Feb 13 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),15.88,16.02,15.67,15.73,449800
Wed Feb 14 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),15.66,15.77,15.66,15.71,288400
Thu Feb 15 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),15.76,15.85,15.76,15.82,300000
Fri Feb 16 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),15.8,15.91,15.8,15.87,255100
Tue Feb 20 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),15.84,15.97,15.84,15.96,499000
Wed Feb 21 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),15.95,16.110001,15.95,16,341600
Thu Feb 22 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),16.09,16.219999,16.07,16.200001,396900
Fri Feb 23 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),16.26,16.34,16.25,16.290001,279800
Mon Feb 26 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),16.35,16.389999,16.299999,16.32,326800
Tue Feb 27 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),16.32,16.51,16.309999,16.5,261400
Wed Feb 28 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),16.41,16.49,16.41,16.48,262200
Thu Feb 29 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),16.51,16.540001,16.27,16.309999,487200
Fri Mar 01 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),16.309999,16.549999,16.299999,16.51,390600
Mon Mar 04 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),16.59,16.59,16.43,16.5,442400
Tue Mar 05 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),16.469999,16.5,16.09,16.23,553900
Wed Mar 06 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),16.290001,16.34,16.24,16.32,254300
Thu Mar 07 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),16.35,16.48,16.35,16.43,197300
Fri Mar 08 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),16.43,16.540001,16.42,16.540001,170300
Mon Mar 11 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),16.450001,16.52,16.43,16.459999,220000
