date,open,high,low,close,volume
Tue Jan 02 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),9.2,10.2,9.2,9.8,3235
Wed Jan 03 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),9.6,10,9.4,9.8,1675
Thu Jan 04 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),9.8,10,9.6,10,680
Fri Jan 05 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),10.2,11,9.4,11,6910
Mon Jan 08 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),11,11,10.2,10.6,3220
Tue Jan 09 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),10.6,10.8,10.2,10.6,5625
Wed Jan 10 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),10.8,12,10.8,11.2,12455
Thu Jan 11 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),11.4,11.6,10.2,10.2,6035
Fri Jan 12 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),10.2,10.6,10,10,6380
Tue Jan 16 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),10.6,10.8,9.2,9.2,1975
Wed Jan 17 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),9.8,9.8,8.6,8.6,1015
Thu Jan 18 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),8.6,8.6,7.8,8.4,4620
Fri Jan 19 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),8.2,8.6,8,8.2,8615
Mon Jan 22 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),8.4,8.8,7.6,8.2,3235
Tue Jan 23 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),8.8,8.8,8,8.2,2260
Wed Jan 24 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),8.2,9.2,8,9,7440
Thu Jan 25 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),9.2,9.4,9,9.2,3140
Fri Jan 26 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),9.2,9.4,8.4,9.4,5035
Mon Jan 29 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),9.6,9.6,8.4,8.8,4040
Tue Jan 30 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),8.6,9.4,8.4,8.6,2760
Wed Jan 31 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),8.2,8.8,8.2,8.2,4375
Thu Feb 01 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),8.6,9.2,8.6,8.6,3010
Fri Feb 02 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),8.6,9,8.2,8.4,2140
Mon Feb 05 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),8.4,8.8,8.4,8.6,1540
Tue Feb 06 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),8.6,9.8,8.2,9.4,11315
Wed Feb 07 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),9.4,9.8,8.8,9.2,6690
Thu Feb 08 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),9.2,10,8.8,9,4920
Fri Feb 09 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),8.8,9.4,8.2,9,5125
Mon Feb 12 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),9.6,9.6,9,9.2,1975
Tue Feb 13 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),8.6,9.8,8.6,9,795
Wed Feb 14 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),9,9.8,9,9,1620
Thu Feb 15 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),9,9.8,8.6,8.8,1945
Fri Feb 16 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),9,9.6,8.6,8.6,1305
Tue Feb 20 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),8.8,9.6,8.4,8.8,3800
Wed Feb 21 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),8.2,9.8,8.2,8.8,50900
Thu Feb 22 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),8.8,9.8,7,7.2,30750
Fri Feb 23 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),6.4,7,5.67,5.85,41800
Mon Feb 26 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),5.56,6.12,5.55,5.8,10500
Tue Feb 27 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),5.73,6,5.06,5.11,19400
Wed Feb 28 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),5.07,6.59,4.6,6.03,61200
Thu Feb 29 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),5.97,6.16,5.68,6.08,33600
Fri Mar 01 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),6.09,6.24,5.95,6.05,8400
Mon Mar 04 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),6,6.58,5.9,6.23,15200
Tue Mar 05 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),6.32,6.83,6.11,6.31,23800
Wed Mar 06 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),6.94,6.94,6.32,6.44,27600
Thu Mar 07 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),6.34,6.34,5.92,6.23,25600
Fri Mar 08 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),6.04,6.06,5.5,5.83,27600
Mon Mar 11 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),5.51,6.03,5.2,5.25,21800
Tue Mar 12 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),5.11,7.5,5.11,5.61,405900
Wed Mar 13 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),5.17,5.66,5,5.41,84400
Thu Mar 14 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),5.14,5.49,5.03,5.34,22400
Fri Mar 15 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),5.05,5.41,4.6,4.6,24800
Mon Mar 18 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),4.78,5.5,4.41,4.86,34200
Tue Mar 19 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),4.76,4.96,4.51,4.56,16600
Wed Mar 20 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),4.79,4.79,4.01,4.35,24800
Thu Mar 21 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),4.35,4.62,4.27,4.28,9900
Fri Mar 22 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),4.55,4.55,4.25,4.36,6400
Mon Mar 25 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),4.59,5.33,3.73,3.78,132700
Tue Mar 26 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),3.73,4.32,3.51,4.02,39500
Wed Mar 27 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),4.14,4.14,4,4.04,11400
Thu Mar 28 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),4.14,4.24,4.01,4.12,46100
Mon Apr 01 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),4.1,5.34,4.1,4.6,101200
Tue Apr 02 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),4.55,4.69,4.23,4.24,18000
Wed Apr 03 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),4.22,4.4,4.22,4.3,19000
Thu Apr 04 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),4.35,4.69,4.23,4.3,10900
Fri Apr 05 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),4.34,4.4,4.2,4.21,11700
Mon Apr 08 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),4.21,4.35,3.85,3.89,26500
Tue Apr 09 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),3.9,4.1,3.79,3.82,37200
Wed Apr 10 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),3.72,3.79,3.4,3.46,52600
Thu Apr 11 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),3.47,3.48,3.02,3.15,57200
Fri Apr 12 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),3.1,3.24,3,3.05,22800
Mon Apr 15 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),3.11,3.42,2.94,2.94,16300
Tue Apr 16 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),2.88,3.15,2.71,3.05,15900
Wed Apr 17 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),3.19,3.47,2.87,3.24,745200
Thu Apr 18 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),5.41,7.67,3.56,4.2,83537400
Fri Apr 19 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),4.25,4.57,3.8,4.29,2128700
Mon Apr 22 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),3.85,3.95,2.85,2.92,869600
Tue Apr 23 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),2.81,2.85,2.6,2.69,321100
Wed Apr 24 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),2.65,2.79,2.46,2.49,165000
Thu Apr 25 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),2.49,2.75,2.35,2.64,160300
Fri Apr 26 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),2.64,2.8,2.45,2.68,117100
Mon Apr 29 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),2.63,2.88,2.63,2.85,86600
Tue Apr 30 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),2.84,2.85,2.68,2.83,62500
Wed May 01 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),2.77,2.8,2.61,2.76,41800
Thu May 02 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),2.76,2.8,2.57,2.66,52200
Fri May 03 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),2.55,2.82,2.5,2.61,276800
Mon May 06 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),2.81,2.89,2.63,2.71,306800
Tue May 07 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),2.72,3.02,2.72,3,303600
Wed May 08 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),2.95,2.97,2.69,2.76,71200
Thu May 09 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),2.76,2.86,2.65,2.81,46100
Fri May 10 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),2.8,2.82,2.65,2.72,32400
Mon May 13 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),2.67,2.76,2.51,2.56,89100
Tue May 14 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),2.6,2.66,2.51,2.58,67600
Wed May 15 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),2.4,2.68,2.08,2.24,136200
Thu May 16 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),2.36,2.37,2.22,2.34,31600
Fri May 17 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),2.31,2.31,2,2.14,62800
Mon May 20 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),2.14,2.22,2.1,2.17,24700
Tue May 21 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),2.18,2.38,2,2,84600
Wed May 22 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),2,2.2,2,2.12,94900
Thu May 23 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),2.05,2.11,2.01,2.01,16000
Fri May 24 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),2.01,2.1,2,2.03,76800
Tue May 28 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),2.05,2.15,1.85,1.91,66700
Wed May 29 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),1.88,2.09,1.85,1.86,85400
Thu May 30 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),1.87,1.95,1.87,1.93,38800
Fri May 31 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),1.94,2.23,1.85,2.06,123500
Mon Jun 03 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),4.09,4.55,2.77,3.23,56969700
Tue Jun 04 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),2.71,3.31,2.44,3.17,1726600
Wed Jun 05 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),3.01,3.27,2.9,3.18,525500
Thu Jun 06 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),3.18,3.18,2.7,2.78,259600
Fri Jun 07 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),2.83,2.84,2.45,2.48,149400
Mon Jun 10 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),2.36,2.36,2.26,2.31,84400
Tue Jun 11 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),2.28,2.42,2.07,2.23,121800
Wed Jun 12 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),2.17,2.28,2.1,2.13,89600
Thu Jun 13 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),2.1,2.15,1.91,2,80500
Fri Jun 14 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),2.26,2.64,2.1,2.16,5048200
Mon Jun 17 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),2.24,2.45,2.15,2.39,967200
Tue Jun 18 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),2.42,2.42,2.25,2.27,91900
Thu Jun 20 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),2.21,2.45,2.21,2.3,128800
Fri Jun 21 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),2.24,2.4,2.06,2.11,119400
Mon Jun 24 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),2.11,2.16,2.02,2.13,70200
Tue Jun 25 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),2.06,2.16,2.02,2.1,71100
Wed Jun 26 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),2.15,2.15,1.93,1.96,88900
Thu Jun 27 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),1.98,1.98,1.93,1.95,59100
Fri Jun 28 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),1.96,2.03,1.93,2,41900
Mon Jul 01 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),2.02,2.13,1.85,1.94,163700
Tue Jul 02 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),1.89,1.95,1.85,1.86,59500
Wed Jul 03 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),1.86,1.88,1.78,1.78,98000
Fri Jul 05 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),1.78,1.84,1.7,1.71,37500
Mon Jul 08 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),1.71,1.97,1.71,1.79,564500
Tue Jul 09 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),1.76,1.8,1.61,1.64,141300
Wed Jul 10 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),1.65,1.83,1.59,1.83,195400
Thu Jul 11 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),1.81,1.9,1.77,1.87,80400
Fri Jul 12 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),1.87,2,1.87,1.96,140800
Mon Jul 15 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),2,2,1.85,1.92,29800
Tue Jul 16 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),1.98,2.03,1.78,1.92,95500
Wed Jul 17 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),1.97,1.98,1.89,1.93,61700
Thu Jul 18 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),1.88,1.94,1.78,1.83,135900
