date,open,high,low,close,volume
Tue Jan 02 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),1.62,1.69,1.56,1.56,4500
Wed Jan 03 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),1.56,1.69,1.3,1.39,40900
Thu Jan 04 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),1.39,1.39,1.39,1.39,500
Fri Jan 05 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),1.39,1.39,1.39,1.39,0
Mon Jan 08 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),1.46,1.48,1.41,1.42,2600
Tue Jan 09 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),1.44,1.45,1.42,1.45,1400
Wed Jan 10 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),1.45,1.45,1.45,1.45,300
Thu Jan 11 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),1.47,1.47,1.47,1.47,100
Fri Jan 12 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),1.35,1.45,1.35,1.45,1600
Tue Jan 16 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),1.34,1.47,1.3,1.3,4700
Wed Jan 17 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),1.35,1.35,1.3,1.3,1300
Thu Jan 18 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),1.32,1.32,1.32,1.32,300
Fri Jan 19 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),1.35,1.35,1.35,1.35,1200
Mon Jan 22 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),1.3,1.3,1.25,1.25,2300
Tue Jan 23 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),1.33,1.33,1.31,1.31,700
Wed Jan 24 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),1.35,1.37,1.34,1.35,1500
Thu Jan 25 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),1.38,1.39,1.38,1.39,300
Fri Jan 26 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),1.38,1.39,1.38,1.39,500
Mon Jan 29 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),1.27,1.28,1.25,1.25,19000
Tue Jan 30 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),1.25,1.25,1.25,1.25,0
Wed Jan 31 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),1.28,1.32,1.27,1.27,1400
