date,open,high,low,close,volume
Tue Jan 02 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),10.77,10.77,10.77,10.77,1100
Wed Jan 03 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),10.73,10.73,10.7,10.73,102300
Thu Jan 04 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),10.73,10.73,10.73,10.73,0
Fri Jan 05 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),10.73,10.73,10.73,10.73,0
Mon Jan 08 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),10.73,10.73,10.73,10.73,0
Tue Jan 09 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),10.73,10.73,10.71,10.725,4400
Wed Jan 10 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),10.71,10.71,10.71,10.71,900
Thu Jan 11 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),10.72,10.73,10.71,10.71,1500
Fri Jan 12 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),10.71,10.71,10.71,10.71,0
Tue Jan 16 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),10.71,10.78,10.71,10.78,9800
Wed Jan 17 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),10.8,10.807,10.8,10.8,2300
Thu Jan 18 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),10.8,10.8,10.8,10.8,0
Fri Jan 19 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),10.8,10.8,10.8,10.8,0
Mon Jan 22 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),10.81,10.81,10.81,10.81,4300
Tue Jan 23 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),10.81,10.81,10.81,10.81,0
Wed Jan 24 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),10.81,10.81,10.81,10.81,0
Thu Jan 25 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),10.78,10.78,10.78,10.78,1000
Fri Jan 26 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),10.78,10.78,10.78,10.78,0
Mon Jan 29 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),10.82,10.82,10.78,10.82,1900
Tue Jan 30 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),10.82,10.825,10.82,10.825,5800
