date,open,high,low,close,volume
Tue Jan 02 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),10.15,10.26,10.15,10.26,19300
Wed Jan 03 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),10.24,10.35,10.23,10.32,16300
Thu Jan 04 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),10.35,10.35,10.27,10.3,10200
Fri Jan 05 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),10.25,10.3,10.21,10.3,10800
Mon Jan 08 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),10.25,10.35,10.25,10.31,18600
Tue Jan 09 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),10.33,10.62,10.33,10.58,33500
Wed Jan 10 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),10.52,10.52,10.44,10.46,8300
Thu Jan 11 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),10.41,10.45,10.35,10.43,7900
Fri Jan 12 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),10.4,10.48,10.34,10.48,20100
Tue Jan 16 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),10.4,10.4,10.25,10.25,17400
Wed Jan 17 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),10.22,10.25,10.07,10.1,34300
Thu Jan 18 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),10.11,10.12,10.02,10.06,15500
Fri Jan 19 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),10.07,10.07,9.94,10.03,30400
Mon Jan 22 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),10.04,10.2,10.02,10.14,27800
Tue Jan 23 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),10.12,10.13,10.04,10.08,37100
Wed Jan 24 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),10.11,10.13,10.07,10.12,10900
Thu Jan 25 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),10.17,10.3,10.15,10.27,42800
Fri Jan 26 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),10.27,10.27,10.03,10.13,25200
Mon Jan 29 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),10.22,10.29,10.15,10.28,21800
Tue Jan 30 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),10.28,10.33,10.23,10.29,23500
Wed Jan 31 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),10.35,10.39,10.3,10.34,12300
Thu Feb 01 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),10.4,10.45,10.33,10.42,35200
Fri Feb 02 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),10.38,10.44,10.35,10.37,10600
Mon Feb 05 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),10.35,10.37,10.31,10.35,14900
Tue Feb 06 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),10.29,10.42,10.29,10.4,9800
Wed Feb 07 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),10.35,10.4,10.35,10.35,13200
Thu Feb 08 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),10.36,10.39,10.31,10.35,11800
Fri Feb 09 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),10.35,10.36,10.31,10.34,6800
Mon Feb 12 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),10.33,10.38,10.32,10.35,6200
Tue Feb 13 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),10.25,10.29,10.23,10.27,6700
