date,open,high,low,close,volume
Tue Jan 02 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),4.84,4.91,4.14,4.15,49700
Wed Jan 03 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),4.18,4.21,3.9,4,13000
Thu Jan 04 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),4.18,4.92,4.16,4.83,25600
Fri Jan 05 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),4.86,4.86,4.29,4.61,18900
Mon Jan 08 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),4.69,4.69,4.06,4.68,33800
Tue Jan 09 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),4.59,4.61,4.2,4.5,9700
Wed Jan 10 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),4.49,4.78,4.27,4.68,34000
Thu Jan 11 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),4.99,5.76,4.69,5.6,695200
Fri Jan 12 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),5.95,6.06,5.01,5.76,285000
Tue Jan 16 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),5.69,5.69,4.88,5.19,120600
Wed Jan 17 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),5.27,5.27,4.51,5.04,96500
Thu Jan 18 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),4.9,5.14,4.5,4.5,56000
Fri Jan 19 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),4.5,4.67,4.02,4.11,70800
Mon Jan 22 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),4,4.42,4,4.02,31700
Tue Jan 23 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),4.02,4.36,4.02,4.09,16600
Wed Jan 24 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),4.12,4.39,4.1,4.17,39800
Thu Jan 25 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),4.29,4.29,4.02,4.05,26800
Fri Jan 26 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),4.03,4.53,4.03,4.34,121400
Mon Jan 29 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),4.4,4.5,4.24,4.44,27000
Tue Jan 30 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),4.44,4.44,4.12,4.14,32700
Wed Jan 31 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),4.08,4.14,3.75,3.81,173400
Thu Feb 01 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),3.94,4.03,3.8,3.9,52800
Fri Feb 02 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),3.97,4,3.75,3.83,46400
Mon Feb 05 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),3.86,3.99,3.8,3.84,9000
Tue Feb 06 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),3.8,3.88,3.55,3.61,19900
Wed Feb 07 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),3.56,3.87,3.56,3.73,35400
Thu Feb 08 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),3.75,4.1,3.65,3.74,84100
Fri Feb 09 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),4,4,3.76,3.89,92600
Mon Feb 12 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),4.02,4.05,3.77,3.86,98100
Tue Feb 13 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),3.85,4,3.77,3.78,16700
