date,open,high,low,close,volume
Tue Jan 02 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),10.6,10.687,8.4,8.88,4044300
Wed Jan 03 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),7.652,8.65,7.3,8.02,3959500
Thu Jan 04 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),8.23,8.54,7.66,8.02,2135900
Fri Jan 05 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),7.97,8.2,7.02,8.11,1518500
Mon Jan 08 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),8.25,9.165,7.55,9.08,2846200
Tue Jan 09 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),8.695,8.95,7.84,7.89,1675100
Wed Jan 10 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),7.79,8.05,7.115,7.64,1830200
Thu Jan 11 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),8.59,8.8,6.82,7.19,2708500
Fri Jan 12 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),6.99,7.02,6.03,6.15,1742200
Tue Jan 16 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),6.23,7.04,5.71,6.72,1770800
Wed Jan 17 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),6.26,6.687,6.13,6.53,667600
Thu Jan 18 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),6.51,7.244,6.05,6.19,1114600
Fri Jan 19 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),6.48,6.57,6.02,6.4,614400
Mon Jan 22 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),6.3,6.95,6.23,6.8,560300
Tue Jan 23 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),6.53,6.69,6.14,6.15,1171300
Wed Jan 24 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),6.44,6.74,6.23,6.24,403600
Thu Jan 25 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),6.48,6.794,6.32,6.6,424800
Fri Jan 26 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),7,7.6,6.84,7.6,1713200
Mon Jan 29 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),7.87,9.2,7.2,8.99,3178600
Tue Jan 30 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),8.8,9.8,8.09,8.98,2883600
Wed Jan 31 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),8.59,8.8,7.758,8.19,2385100
Thu Feb 01 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),8.15,8.389,7.61,7.94,1341400
Fri Feb 02 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),7.8,8.08,7.41,7.66,1196000
Mon Feb 05 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),7.39,7.46,6.86,6.93,1461000
Tue Feb 06 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),6.98,7.12,6.62,6.78,1351900
Wed Feb 07 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),6.9,7.2,6.61,7.09,818100
Thu Feb 08 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),7.67,8.7,7.65,8.25,2099900
Fri Feb 09 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),8.92,8.97,7.79,7.89,2768400
Mon Feb 12 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),8,9.7,7.94,9.16,3225500
Tue Feb 13 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),8.4,8.85,7.87,7.96,2296100
Wed Feb 14 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),8.9,9.17,8.42,8.75,2021600
Thu Feb 15 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),8.74,9.08,7.48,7.49,3663400
Fri Feb 16 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),7.73,7.78,6.906,6.93,2874900
Tue Feb 20 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),7.16,7.5,6.9,7.17,1610300
Wed Feb 21 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),6.9,6.945,6.48,6.71,1333100
Thu Feb 22 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),6.75,6.96,6.56,6.78,995100
Fri Feb 23 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),6.75,6.75,6.35,6.48,1149900
Mon Feb 26 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),6.7,8.09,6.6,8.01,3203200
Tue Feb 27 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),8.36,8.55,7.71,7.86,3386400
Wed Feb 28 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),8.18,8.19,6.93,7.18,3149100
Thu Feb 29 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),7.39,7.6,6.58,6.62,2498700
Fri Mar 01 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),6.76,6.87,6.32,6.76,1219600
Mon Mar 04 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),7.5,7.87,6.38,6.83,3670300
Tue Mar 05 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),6.5,6.814,6.41,6.48,1937800
Wed Mar 06 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),6.67,6.92,6.17,6.59,1766000
Thu Mar 07 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),6.53,7.04,6.41,6.87,1150200
Fri Mar 08 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),7,7.5,6.97,7.36,1071000
Mon Mar 11 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),7.53,7.57,6.31,6.33,2856500
Tue Mar 12 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),6.6,6.61,5.69,6.29,1890500
Wed Mar 13 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),6.57,6.95,6.53,6.74,1406800
Thu Mar 14 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),6.62,6.66,6.19,6.46,1169400
Fri Mar 15 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),6.46,8.07,6.4,8,4284700
Mon Mar 18 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),7.75,7.77,6.95,7.4,2365700
Tue Mar 19 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),6.9,7.45,6.5,7.43,2110000
Wed Mar 20 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),7.3,8.34,7.01,8.34,3394800
Thu Mar 21 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),7.94,8.15,7.684,7.95,2216800
Fri Mar 22 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),7.5,7.632,6.98,7.16,1677500
Mon Mar 25 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),7.25,7.38,6.9,7.21,1941100
Tue Mar 26 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),7.21,7.27,6.78,6.93,1521700
Wed Mar 27 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),7,7.131,6.82,6.92,755300
Thu Mar 28 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),6.96,7.34,6.834,7.02,1734000
Mon Apr 01 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),6.95,7.08,6.65,6.96,1058600
Tue Apr 02 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),6.67,7.1,6.5,7,1005900
Wed Apr 03 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),6.97,7.27,6.88,6.94,868400
Thu Apr 04 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),7,7.55,6.95,7.04,972200
Fri Apr 05 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),6.98,7.219,6.9,7.05,421600
Mon Apr 08 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),7.1,7.38,7.01,7.1,1000600
Tue Apr 09 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),7.22,7.25,6.72,6.81,782900
Wed Apr 10 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),6.68,6.846,6.58,6.67,699100
Thu Apr 11 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),6.68,6.73,6.46,6.57,676800
Fri Apr 12 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),6.59,6.6,5.9,6.04,1427900
Mon Apr 15 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),6.27,6.33,5.6,5.65,1174200
Tue Apr 16 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),5.5,5.58,5.23,5.42,897100
Wed Apr 17 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),5.58,5.77,5.33,5.54,699600
Thu Apr 18 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),5.55,5.869,5.28,5.69,818200
Fri Apr 19 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),5.71,6.17,5.71,6.02,636100
Mon Apr 22 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),6.12,6.671,5.94,6.65,1029700
Tue Apr 23 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),6.55,6.99,6.44,6.71,957500
Wed Apr 24 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),6.59,6.83,6.41,6.48,615000
Thu Apr 25 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),6.21,6.505,6.131,6.46,546000
Fri Apr 26 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),6.48,6.59,6.28,6.35,524100
Mon Apr 29 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),6.29,6.29,5.89,6.03,709500
Tue Apr 30 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),5.98,6.04,5.47,5.49,845100
Wed May 01 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),5.47,5.823,5.35,5.5,617900
Thu May 02 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),5.6,5.786,5.44,5.64,611000
Fri May 03 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),5.78,5.878,5.53,5.74,497700
Mon May 06 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),5.89,6.11,5.81,5.84,624700
Tue May 07 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),5.8,5.89,5.68,5.75,521000
Wed May 08 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),5.68,5.71,5.44,5.645,469400
Thu May 09 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),5.57,5.84,5.56,5.79,316700
Fri May 10 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),5.78,5.96,5.45,5.5,477900
Mon May 13 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),5.52,5.7,5.43,5.45,510900
Tue May 14 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),5.44,5.54,5.25,5.38,524400
Wed May 15 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),5.5,5.68,5.28,5.66,680100
Thu May 16 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),5.67,6.13,5.67,5.86,620500
Fri May 17 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),5.88,6.03,5.61,5.71,396900
Mon May 20 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),5.66,6.08,5.59,6.03,487000
Tue May 21 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),5.95,6.17,5.86,5.91,514000
Wed May 22 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),5.9,6.36,5.81,5.9,678500
Thu May 23 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),5.94,5.94,5.62,5.63,254500
Fri May 24 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),5.65,6.06,5.61,6.06,303000
Tue May 28 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),6.05,6.19,5.92,6.11,437800
Wed May 29 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),6.08,6.14,5.89,5.98,212300
Thu May 30 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),5.98,6.084,5.78,5.82,311600
