date,open,high,low,close,volume
Tue Jan 02 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),64.059998,64.589996,64.059998,64.25,935000
Wed Jan 03 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),64.050003,64.129997,63.540001,63.740002,1400900
Thu Jan 04 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),64.139999,64.57,63.950001,64.330002,820900
Fri Jan 05 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),64.040001,64.68,63.939999,64.25,1228500
Mon Jan 08 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),64.989998,65.470001,64.940002,65.470001,1467300
Tue Jan 09 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),64.849998,65.220001,64.800003,65.029999,1930800
Wed Jan 10 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),65.720001,66.239998,65.639999,66.150002,2206300
Thu Jan 11 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),64.989998,65.160004,64.5,65.139999,2690900
Fri Jan 12 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),65.089996,65.43,64.989998,65.07,1231300
Tue Jan 16 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),64.209999,64.339996,63.349998,63.610001,1776400
Wed Jan 17 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),62.57,62.77,62.369999,62.720001,1279900
Thu Jan 18 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),62.200001,62.790001,62.110001,62.700001,1192200
Fri Jan 19 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),62.869999,63.189999,62.450001,63.009998,874300
Mon Jan 22 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),62.919998,63.169998,62.759998,62.959999,1512800
Tue Jan 23 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),62.400002,63.110001,61.880001,62.98,2282800
Wed Jan 24 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),63.34,63.369999,62.360001,62.360001,1051000
Thu Jan 25 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),62.290001,62.470001,61.93,62.139999,2084100
Fri Jan 26 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),61.830002,62.299999,61.82,62.09,979800
Mon Jan 29 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),61.950001,62.389999,61.93,62.389999,1089300
Tue Jan 30 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),62.549999,62.66,62.290001,62.439999,974500
Wed Jan 31 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),62.75,62.82,61.720001,61.740002,1361000
Thu Feb 01 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),61.880001,62.77,61.68,62.650002,1621900
Fri Feb 02 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),62.490002,62.509998,61.669998,62.110001,1185700
Mon Feb 05 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),62.130001,62.150002,61.77,61.91,809300
Tue Feb 06 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),61.77,63.93,61.59,63.73,4255900
Wed Feb 07 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),64.870003,65.970001,64.5,65.529999,6652300
Thu Feb 08 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),65.440002,65.669998,65.269997,65.610001,2315600
Fri Feb 09 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),64.93,65.040001,64.379997,64.510002,2115500
Mon Feb 12 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),64.419998,64.790001,64.099998,64.779999,2046500
Tue Feb 13 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),64.059998,64.099998,63.389999,63.68,2247700
Wed Feb 14 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),62.119999,62.48,61.689999,62.349998,2218700
Thu Feb 15 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),62.599998,63.139999,62.59,62.82,1406700
Fri Feb 16 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),62.32,62.540001,62,62.240002,1425000
Tue Feb 20 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),62.66,63.07,62.599998,62.849998,2820000
Wed Feb 21 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),63.080002,63.669998,63.029999,63.619999,1434800
Thu Feb 22 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),63.700001,63.709999,62.860001,63.400002,2893200
Fri Feb 23 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),63.43,63.509998,63.139999,63.369999,2196100
Mon Feb 26 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),63.299999,63.34,62.91,63.099998,1739600
Tue Feb 27 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),62.799999,63.080002,62.580002,63.060001,1365300
Wed Feb 28 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),62.259998,62.57,61.990002,62.450001,2055400
Thu Feb 29 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),61.290001,61.290001,59.790001,60.369999,3026000
Fri Mar 01 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),60.560001,60.560001,59.959999,60.169998,1579000
Mon Mar 04 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),60,60.43,59.880001,60.099998,1341100
Tue Mar 05 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),60.259998,60.619999,60.029999,60.139999,1440700
Wed Mar 06 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),60.779999,61.200001,60.470001,60.610001,1182300
Thu Mar 07 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),60.869999,61.68,60.869999,61.619999,2152300
