date,open,high,low,close,volume
Tue Jan 02 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),70.550003,72.370003,69.800003,72.099998,1525000
Wed Jan 03 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),70.400002,71.699997,68.099998,69.360001,1398400
Thu Jan 04 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),69.110001,70.029999,68.43,69.239998,1275800
Fri Jan 05 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),68.279999,71.220001,67.790001,70.360001,2257900
Mon Jan 08 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),70,71.769997,69.720001,71.089996,975300
Tue Jan 09 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),70.129997,71.610001,69.57,71.32,1296100
Wed Jan 10 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),71.230003,72.720001,70.989998,72.07,1183300
Thu Jan 11 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),71.209999,71.779999,69.900002,69.93,1432300
Fri Jan 12 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),70.970001,71.349998,68.809998,69.959999,1853900
Tue Jan 16 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),68.949997,69.949997,67.739998,69.480003,1696300
Wed Jan 17 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),67.580002,68.5,65.790001,66.919998,1547700
Thu Jan 18 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),66.93,67.489998,65.709999,66.5,992000
Fri Jan 19 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),66.75,68.400002,65.949997,68.330002,1192400
Mon Jan 22 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),68.879997,69.720001,68.540001,69.699997,1468000
Tue Jan 23 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),70.470001,71.099998,69.300003,70.489998,2077100
Wed Jan 24 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),72.07,72.07,70.050003,70.459999,1753700
Thu Jan 25 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),72.040001,72.440002,70.57,71.5,1132900
Fri Jan 26 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),71.839996,72.110001,70.970001,71.199997,1146300
Mon Jan 29 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),71.43,72.589996,70.769997,72.209999,1701200
Tue Jan 30 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),71.25,71.860001,69.18,70,2474200
Wed Jan 31 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),69.5,69.5,65.760002,66.5,3157600
Thu Feb 01 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),66.559998,67.050003,62.810001,65.290001,3050800
Fri Feb 02 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),63.110001,64.050003,61.860001,63.689999,2344400
Mon Feb 05 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),62.439999,63.389999,61.959999,62.650002,1604800
Tue Feb 06 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),62.32,63.799999,62.040001,63.310001,1568300
Wed Feb 07 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),63.639999,64.230003,62.91,63.77,1455100
Thu Feb 08 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),63.560001,65.43,63.52,65.07,1163700
Fri Feb 09 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),64.849998,65.360001,63.599998,64.18,1334300
