date,open,high,low,close,volume
Tue Jan 02 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),16.02,16.18,15.52,15.64,2069000
Wed Jan 03 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),15.3,15.69,15.231,15.59,1159400
Thu Jan 04 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),15.53,15.62,15.35,15.46,811600
Fri Jan 05 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),15.45,15.6,15.215,15.23,1611200
Mon Jan 08 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),15,15.13,14.91,15.07,3957400
Tue Jan 09 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),14.8,15.15,14.76,14.91,1915100
Wed Jan 10 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),14.98,15.12,14.785,14.89,1694000
Thu Jan 11 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),15.22,15.33,14.865,15.09,3094000
Fri Jan 12 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),15.08,15.185,14.98,15,1718400
Tue Jan 16 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),14.8,14.83,14.245,14.3,3480900
Wed Jan 17 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),13.67,14.025,13.58,13.86,3069200
Thu Jan 18 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),13.92,14.19,13.67,13.82,3051900
Fri Jan 19 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),13.71,13.75,13.1,13.42,5595000
Mon Jan 22 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),12.81,13.24,12.57,13.01,4502800
Tue Jan 23 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),13.71,13.71,13.075,13.42,3712900
Wed Jan 24 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),14.02,14.18,13.75,13.94,4564200
Thu Jan 25 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),14.05,14.585,13.91,14.13,3175200
