date,open,high,low,close,volume
Tue Jan 02 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),2.7,2.705,2.625,2.64,443000
Wed Jan 03 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),2.63,2.657,2.57,2.58,736600
Thu Jan 04 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),2.57,2.585,2.46,2.51,956600
Fri Jan 05 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),2.5,2.54,2.4,2.4,766200
Mon Jan 08 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),2.36,2.45,2.32,2.39,503100
Tue Jan 09 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),2.33,2.365,2.25,2.27,773400
Wed Jan 10 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),2.26,2.3,2.225,2.27,779200
Thu Jan 11 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),2.3,2.304,2.22,2.24,450300
Fri Jan 12 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),2.26,2.29,2.24,2.24,307400
Tue Jan 16 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),2.21,2.22,2.09,2.09,717400
Wed Jan 17 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),2.03,2.03,1.9,1.97,1363000
Thu Jan 18 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),2.01,2.12,1.98,2.03,680000
Fri Jan 19 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),1.98,2.08,1.94,2.07,507400
Mon Jan 22 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),1.97,2.095,1.92,2.07,275100
Tue Jan 23 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),2.21,2.32,2.12,2.25,1412500
Wed Jan 24 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),2.43,2.67,2.32,2.64,3026400
Thu Jan 25 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),2.61,2.67,2.441,2.46,1279200
Fri Jan 26 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),2.45,2.49,2.32,2.36,817100
Mon Jan 29 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),2.42,2.42,2.25,2.34,518300
Tue Jan 30 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),2.27,2.305,2.21,2.21,379300
Wed Jan 31 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),2.21,2.338,2.19,2.21,752400
Thu Feb 01 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),2.3,2.35,2.21,2.22,1152800
Fri Feb 02 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),2.17,2.2,2.11,2.14,476000
Mon Feb 05 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),2.15,2.19,2.08,2.09,384800
Tue Feb 06 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),2.29,2.41,2.23,2.4,1329200
Wed Feb 07 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),2.34,2.385,2.3,2.34,978300
Thu Feb 08 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),2.37,2.37,2.28,2.33,687700
Fri Feb 09 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),2.36,2.37,2.285,2.35,415900
Mon Feb 12 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),2.36,2.555,2.36,2.55,739900
Tue Feb 13 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),2.49,2.515,2.34,2.34,594300
Wed Feb 14 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),2.38,2.5,2.37,2.45,535600
