date,open,high,low,close,volume
Tue Jan 02 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),19.15,19.5,18.200001,18.360001,81400
Wed Jan 03 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),18.200001,18.98,16.99,17.940001,58100
Thu Jan 04 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),18.030001,18.690001,17.309999,17.32,62900
Fri Jan 05 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),17.1,18.26,16.657,18.110001,64800
Mon Jan 08 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),18,19.139999,17.35,18.65,86800
Tue Jan 09 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),18.290001,19.9,18.145,19.82,82000
Wed Jan 10 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),20,20.16,18.52,18.879999,58900
Thu Jan 11 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),18.59,19.23,18.299999,18.5,40000
Fri Jan 12 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),18.473,19.049999,18.024,18.129999,61200
Tue Jan 16 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),18.15,18.27,16.93,17.09,61200
Wed Jan 17 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),17.02,17.979,17.01,17.469999,26300
Thu Jan 18 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),17.216,17.67,16.51,17.379999,39100
Fri Jan 19 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),17.379999,17.555,16.549999,17.17,52700
Mon Jan 22 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),16.790001,17.965,16.790001,17.370001,67300
Tue Jan 23 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),17.559999,17.6,16.549999,17.389999,32600
Wed Jan 24 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),17.35,17.9,16.549999,16.549999,28800
Thu Jan 25 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),16.99,17.030001,16.25,16.49,40000
Fri Jan 26 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),16.360001,16.68,16.01,16.370001,24300
Mon Jan 29 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),16.5,17.504999,16.4,17.049999,35800
