date,open,high,low,close,volume
Tue Jan 02 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),19.780001,19.805,19.469999,19.559999,60300
Wed Jan 03 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),19.360001,19.540001,19.25,19.26,72700
Thu Jan 04 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),19.25,19.319,19.139999,19.15,68900
Fri Jan 05 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),19.18,19.299999,19.129999,19.290001,48800
Mon Jan 08 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),19.32,19.48,19.16,19.469999,98500
Tue Jan 09 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),19.34,19.469999,19.34,19.370001,45300
Wed Jan 10 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),19.379999,19.624001,19.370001,19.610001,86100
Thu Jan 11 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),19.65,19.728001,19.424999,19.68,66700
Fri Jan 12 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),19.49,19.740999,19.49,19.700001,117600
Tue Jan 16 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),19.85,19.98,19.709999,19.91,223700
Wed Jan 17 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),19.959999,19.959999,19.639999,19.639999,159700
Thu Jan 18 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),19.809999,19.868999,19.610001,19.68,113100
Fri Jan 19 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),19.76,19.9,19.58,19.870001,103600
Mon Jan 22 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),19.99,20.370001,19.969999,20.33,118400
Tue Jan 23 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),20.48,20.48,20.24,20.34,70600
Wed Jan 24 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),20.629999,20.629999,20.370001,20.370001,95300
Thu Jan 25 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),20.379999,20.445,20.280001,20.330999,73100
Fri Jan 26 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),20.309999,20.450001,20.309999,20.34,57300
Mon Jan 29 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),20.299999,20.485001,20.299999,20.459999,95500
Tue Jan 30 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),20.59,20.6,20.48,20.58,46300
Wed Jan 31 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),20.52,20.875999,20.52,20.58,90600
Thu Feb 01 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),20.59,20.83,20.58,20.790001,68300
Fri Feb 02 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),20.75,20.799999,20.67,20.73,66800
Mon Feb 05 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),20.780001,20.780001,20.559999,20.68,73500
Tue Feb 06 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),20.76,20.940001,20.75,20.92,52500
Wed Feb 07 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),20.91,21.106001,20.879999,21.07,45600
Thu Feb 08 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),21.32,21.389999,21.200001,21.309999,117700
Fri Feb 09 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),21.41,21.5,21.280001,21.370001,63300
Mon Feb 12 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),21.5,21.5,21.33,21.35,58200
Tue Feb 13 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),21.25,21.25,21.01,21.09,87500
Wed Feb 14 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),21.190001,21.42,21.049999,21.42,71700
Thu Feb 15 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),21.41,21.48,21.311001,21.35,62900
Fri Feb 16 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),21.200001,21.299999,21.040001,21.120001,129500
Tue Feb 20 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),21.26,21.343,21.032,21.09,71200
Wed Feb 21 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),20.950001,21,20.76,20.9,142100
Thu Feb 22 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),21.02,21.02,20.9,20.940001,72300
Fri Feb 23 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),21.049999,21.1,20.959999,21,41800
Mon Feb 26 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),21.049999,21.129999,21.01,21.040001,62600
Tue Feb 27 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),21.190001,21.299999,21.1,21.190001,64300
Wed Feb 28 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),21.190001,21.23,21.110001,21.139999,99500
Thu Feb 29 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),21.209999,21.379999,21.18,21.23,61000
Fri Mar 01 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),21.24,21.395,21.200001,21.32,70400
Mon Mar 04 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),21.32,21.488001,21.32,21.440001,102000
Tue Mar 05 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),21.49,21.73,21.469999,21.49,167400
Wed Mar 06 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),21.540001,21.9,21.540001,21.84,124000
Thu Mar 07 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),21.959999,22.42,21.719999,21.950001,141900
Fri Mar 08 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),22.139999,22.417999,22,22.389999,161900
Mon Mar 11 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),22.549999,22.82,22.450001,22.76,259600
Tue Mar 12 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),22.9,23.031,22.41,22.42,260800
Wed Mar 13 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),22.610001,22.610001,22.23,22.360001,94600
Thu Mar 14 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),22.290001,22.360001,21.870001,21.9,117800
Fri Mar 15 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),21.9,22.34,21.885,22.23,108200
Mon Mar 18 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),22.26,22.26,21.950001,21.975,112200
Tue Mar 19 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),21.98,22.059999,21.82,22.01,102400
Wed Mar 20 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),22.07,22.299999,22.030001,22.299999,95200
Thu Mar 21 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),22.41,22.49,22.219999,22.440001,115500
Fri Mar 22 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),22.440001,22.49,22.305,22.469999,78500
Mon Mar 25 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),22.360001,22.478001,22.299999,22.370001,64900
Tue Mar 26 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),22.34,22.370001,21.9,22.049999,130700
Wed Mar 27 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),21.9,21.99,21.67,21.969999,122200
Thu Mar 28 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),21.83,21.895,21.629999,21.799999,197500
Mon Apr 01 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),21.6,21.780001,21.51,21.530001,203500
Tue Apr 02 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),21.33,21.48,21.030001,21.33,170500
Wed Apr 03 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),21.110001,21.459999,21.049999,21.389999,134000
Thu Apr 04 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),21.309999,21.450001,21.16,21.17,127500
Fri Apr 05 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),21.01,21.41,21.01,21.389999,81700
Mon Apr 08 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),21.41,21.59,21.280001,21.5,103000
Tue Apr 09 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),21.709999,21.73,21.57,21.66,87600
Wed Apr 10 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),21.6,21.629999,21.35,21.6,154200
Thu Apr 11 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),21.610001,21.889999,21.450001,21.889999,162800
Fri Apr 12 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),21.75,21.75,21.26,21.32,118000
Mon Apr 15 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),21.389999,21.49,20.809999,20.82,99300
Tue Apr 16 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),20.809999,20.839001,20.690001,20.73,65700
Wed Apr 17 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),21.059999,21.059999,20.83,20.870001,75300
Thu Apr 18 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),20.870001,21.07,20.801001,20.950001,110300
Fri Apr 19 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),21.139999,21.299999,20.99,21.200001,119000
Mon Apr 22 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),21.200001,21.549999,21.188,21.530001,53700
Tue Apr 23 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),21.65,21.882,21.594999,21.84,52800
Wed Apr 24 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),21.92,21.940001,21.68,21.9,46500
