date,open,high,low,close,volume
Tue Jan 02 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),2.99,3.28,2.97,3.12,563800
Wed Jan 03 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),3.02,3.16,2.91,2.93,525600
Thu Jan 04 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),2.89,2.98,2.8,2.85,522700
Fri Jan 05 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),2.8,2.97,2.65,2.79,726100
Mon Jan 08 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),2.78,2.9,2.7,2.87,413600
Tue Jan 09 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),2.83,2.84,2.7,2.7,443000
Wed Jan 10 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),2.73,2.94,2.7,2.94,557800
Thu Jan 11 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),2.97,3.04,2.81,2.88,571400
Fri Jan 12 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),2.96,3.06,2.83,2.86,450100
Tue Jan 16 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),2.81,2.94,2.7,2.71,415700
Wed Jan 17 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),2.75,2.75,2.59,2.68,387700
Thu Jan 18 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),2.71,2.73,2.6,2.68,338700
Fri Jan 19 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),2.71,2.74,2.6,2.69,487600
Mon Jan 22 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),2.72,2.82,2.62,2.81,661800
Tue Jan 23 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),2.83,3.01,2.83,2.99,468400
Wed Jan 24 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),3.01,3.01,2.69,2.7,470800
Thu Jan 25 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),2.74,2.83,2.63,2.67,462300
Fri Jan 26 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),2.72,2.79,2.63,2.78,426600
Mon Jan 29 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),2.77,2.87,2.68,2.85,367300
Tue Jan 30 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),2.82,2.82,2.72,2.78,281400
Wed Jan 31 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),2.74,2.91,2.63,2.63,604900
Thu Feb 01 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),2.74,2.8,2.6,2.76,648200
Fri Feb 02 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),2.68,2.76,2.57,2.72,525100
Mon Feb 05 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),2.67,2.72,2.58,2.59,572000
Tue Feb 06 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),2.61,2.88,2.53,2.87,563400
Wed Feb 07 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),2.85,2.87,2.75,2.78,324900
Thu Feb 08 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),2.79,2.93,2.79,2.92,310100
Fri Feb 09 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),2.95,3.04,2.91,3,438300
Mon Feb 12 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),3,3.14,2.99,3.12,574200
Tue Feb 13 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),2.89,2.98,2.67,2.72,448600
Wed Feb 14 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),2.82,2.88,2.69,2.82,517500
Thu Feb 15 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),2.87,3.25,2.87,3.24,620900
Fri Feb 16 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),3.2,3.23,3.06,3.18,440300
Tue Feb 20 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),3.14,3.2,2.88,2.89,604300
Wed Feb 21 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),2.83,2.95,2.8,2.85,302400
Thu Feb 22 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),2.82,2.92,2.82,2.87,358900
Fri Feb 23 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),2.9,3.16,2.88,3.03,444600
Mon Feb 26 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),3.01,3.22,3.01,3.2,844700
Tue Feb 27 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),3.41,4.43,3.24,4.15,2891800
Wed Feb 28 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),4.18,4.18,3.57,3.72,1298300
Thu Feb 29 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),3.93,4.91,3.87,4.65,2381900
Fri Mar 01 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),4.7,4.7,4.17,4.61,1627600
Mon Mar 04 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),4.69,4.71,4.2,4.21,707700
Tue Mar 05 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),4.2,4.25,3.72,3.76,824900
Wed Mar 06 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),3.8,3.91,3.54,3.64,766900
Thu Mar 07 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),3.71,3.83,3.61,3.66,484200
Fri Mar 08 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),3.75,3.84,3.38,3.47,958200
Mon Mar 11 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),3.46,3.85,3.46,3.61,582900
Tue Mar 12 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),3.62,3.65,3.43,3.47,423900
Wed Mar 13 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),3.44,3.64,3.34,3.38,563800
Thu Mar 14 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),3.38,3.65,3.17,3.2,553400
Fri Mar 15 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),3.18,3.34,3.17,3.33,511300
Mon Mar 18 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),3.33,3.36,3.04,3.25,935700
Tue Mar 19 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),3.22,3.37,3.12,3.27,621900
Wed Mar 20 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),3.27,3.61,3.17,3.49,628100
Thu Mar 21 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),3.54,3.67,3.48,3.49,424000
Fri Mar 22 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),3.45,3.56,3.4,3.45,331800
Mon Mar 25 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),3.57,3.57,3.41,3.45,350100
Tue Mar 26 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),3.51,3.59,3.45,3.45,337200
Wed Mar 27 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),3.46,3.59,3.45,3.51,497200
Thu Mar 28 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),3.54,3.72,3.45,3.49,447800
Mon Apr 01 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),3.49,3.54,3.44,3.49,336800
Tue Apr 02 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),3.4,3.49,3.31,3.33,380200
Wed Apr 03 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),3.33,3.37,3.21,3.34,336300
Thu Apr 04 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),3.4,3.43,3.17,3.21,396700
Fri Apr 05 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),3.2,3.24,3.11,3.19,339400
Mon Apr 08 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),3.23,3.26,3.15,3.21,168700
Tue Apr 09 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),3.2,3.31,3.17,3.23,291500
Wed Apr 10 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),3.11,3.2,3.06,3.13,324100
Thu Apr 11 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),3.12,3.19,3.06,3.11,389400
Fri Apr 12 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),3.1,3.13,2.83,2.87,375300
Mon Apr 15 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),2.83,2.86,2.62,2.69,491200
Tue Apr 16 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),2.73,2.77,2.57,2.73,317000
Wed Apr 17 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),2.78,2.85,2.73,2.76,417200
Thu Apr 18 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),2.79,2.9,2.71,2.8,616000
Fri Apr 19 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),2.77,2.87,2.71,2.83,465300
Mon Apr 22 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),2.88,2.9,2.78,2.86,204300
Tue Apr 23 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),2.88,3.03,2.88,2.9,192400
Wed Apr 24 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),2.91,2.91,2.75,2.8,213700
Thu Apr 25 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),2.72,2.74,2.64,2.65,281900
Fri Apr 26 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),2.67,2.74,2.62,2.66,513800
Mon Apr 29 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),2.72,3.12,2.72,3.05,533800
Tue Apr 30 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),3.01,3.08,2.87,2.91,272100
Wed May 01 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),3,3.23,2.94,3.11,492800
Thu May 02 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),3.22,3.35,3.07,3.34,763600
Fri May 03 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),3.62,4.01,3.53,3.92,1702600
Mon May 06 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),4,4.03,3.55,3.56,1205200
Tue May 07 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),3.58,3.63,3.37,3.53,439900
Wed May 08 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),3.44,3.51,3.4,3.46,360800
Thu May 09 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),3.47,3.51,3.42,3.47,341700
Fri May 10 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),3.5,3.63,3.36,3.62,404700
Mon May 13 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),3.66,3.73,3.55,3.61,480300
Tue May 14 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),3.61,3.73,3.57,3.65,599300
Wed May 15 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),3.84,3.89,3.64,3.7,401500
Thu May 16 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),3.7,3.8,3.67,3.77,362900
Fri May 17 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),3.77,3.77,3.58,3.61,452400
Mon May 20 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),3.63,3.65,3.38,3.4,368600
Tue May 21 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),3.38,3.55,3.38,3.51,351700
Wed May 22 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),3.47,3.63,3.45,3.47,335700
Thu May 23 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),3.49,3.54,3.15,3.22,455000
Fri May 24 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),3.25,3.25,3.09,3.17,275100
Tue May 28 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),3.14,3.22,3.09,3.15,223000
Wed May 29 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),3.13,3.2,3.03,3.19,438400
Thu May 30 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),3.37,3.43,3.31,3.4,430000
Fri May 31 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),3.44,3.44,3.3,3.38,539300
Mon Jun 03 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),3.45,3.49,3.33,3.48,424500
Tue Jun 04 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),3.42,3.51,3.39,3.5,239700
Wed Jun 05 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),3.55,3.88,3.47,3.85,565400
Thu Jun 06 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),3.81,3.83,3.51,3.52,420300
Fri Jun 07 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),3.45,3.49,3.23,3.26,450700
Mon Jun 10 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),3.2,3.38,3.16,3.28,298500
Tue Jun 11 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),3.25,3.32,3.17,3.32,232200
Wed Jun 12 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),3.54,3.54,3.28,3.3,222600
Thu Jun 13 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),3.29,3.34,3.09,3.14,316300
Fri Jun 14 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),3.09,3.13,3.04,3.05,159500
Mon Jun 17 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),3.05,3.11,2.94,2.98,525900
Tue Jun 18 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),2.97,2.97,2.72,2.73,398600
Thu Jun 20 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),2.76,2.82,2.72,2.81,358100
Fri Jun 21 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),2.81,2.97,2.8,2.94,781900
Mon Jun 24 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),2.96,3.03,2.92,3,277200
Tue Jun 25 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),2.98,3.01,2.85,2.9,262000
Wed Jun 26 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),2.91,3.22,2.86,3.18,566100
Thu Jun 27 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),3.17,3.17,2.98,3.01,314800
Fri Jun 28 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),3.05,3.2,3,3.1,1201200
Mon Jul 01 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),3.11,3.11,2.95,2.99,385200
Tue Jul 02 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),2.99,3,2.8,2.89,233200
Wed Jul 03 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),2.92,2.98,2.84,2.88,227700
