date,open,high,low,close,volume
Tue Jan 02 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),9.06,9.1,8.76,8.88,323400
Wed Jan 03 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),8.89,9.12,8.741,8.82,165200
Thu Jan 04 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),8.71,9,8.64,8.67,190600
Fri Jan 05 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),8.71,9,8.54,8.93,286000
Mon Jan 08 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),8.84,9.14,8.78,9.05,212100
Tue Jan 09 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),8.99,9.1,8.72,8.73,219900
Wed Jan 10 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),8.75,8.976,8.61,8.95,185800
Thu Jan 11 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),8.97,9.06,8.72,8.77,406500
Fri Jan 12 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),8.79,8.885,8.7,8.75,214300
Tue Jan 16 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),8.81,9.17,8.81,8.93,577500
Wed Jan 17 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),8.92,9.19,8.78,9,356500
Thu Jan 18 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),9.07,9.1,8.76,8.98,224000
Fri Jan 19 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),8.98,9.15,8.75,9.09,280600
Mon Jan 22 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),9.13,9.45,9.08,9.29,422000
Tue Jan 23 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),9.28,9.31,8.85,8.94,322500
Wed Jan 24 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),9.06,9.13,8.84,8.93,245900
Thu Jan 25 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),9.04,9.555,9.04,9.49,410100
Fri Jan 26 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),9.52,9.669,9.27,9.49,267700
Mon Jan 29 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),9.49,9.6,9.15,9.42,236600
Tue Jan 30 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),9.38,9.58,9.26,9.5,282500
Wed Jan 31 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),9.57,9.84,9.46,9.5,159600
Thu Feb 01 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),9.54,9.78,9.47,9.73,167500
Fri Feb 02 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),9.62,9.788,9.54,9.6,356900
Mon Feb 05 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),9.57,9.63,9.07,9.08,268300
Tue Feb 06 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),9.11,9.23,8.94,9.09,337000
Wed Feb 07 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),8.25,8.781,8.24,8.59,552000
Thu Feb 08 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),8.5,8.61,8.19,8.3,386800
Fri Feb 09 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),8.44,8.66,8.39,8.48,264400
Mon Feb 12 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),8.45,8.6,8.33,8.34,104000
Tue Feb 13 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),8.25,8.56,8.25,8.55,124600
Wed Feb 14 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),8.62,8.79,8.48,8.59,198500
Thu Feb 15 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),8.49,8.64,8.37,8.39,222500
Fri Feb 16 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),8.4,8.48,8.31,8.32,187200
Tue Feb 20 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),8.11,8.57,8.11,8.42,258300
Wed Feb 21 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),8.43,8.62,8.27,8.37,305700
Thu Feb 22 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),8.33,8.84,8.33,8.62,276700
Fri Feb 23 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),8.65,8.65,8.391,8.48,163800
Mon Feb 26 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),8.49,8.65,8.24,8.31,166400
Tue Feb 27 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),8.32,8.41,8.05,8.14,249100
Wed Feb 28 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),8.02,8.14,7.93,8.01,264600
Thu Feb 29 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),7.99,8.45,7.87,8.03,575000
Fri Mar 01 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),8.07,8.285,7.985,8.13,175400
Mon Mar 04 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),8.22,8.55,8.03,8.05,447700
Tue Mar 05 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),8.05,8.8,7.95,8,388500
Wed Mar 06 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),8.03,8.2,7.935,8.04,314000
Thu Mar 07 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),8.01,8.01,7.66,7.85,304300
Fri Mar 08 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),7.83,7.93,7.72,7.88,319400
Mon Mar 11 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),8,8,7.29,7.74,409900
Tue Mar 12 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),7.68,7.96,7.58,7.95,421100
Wed Mar 13 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),7.91,8.286,7.87,7.91,652000
Thu Mar 14 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),7.95,7.95,7.62,7.79,370800
Fri Mar 15 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),7.7,7.97,7.7,7.9,248200
Mon Mar 18 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),8,8.9,7.97,8.9,937800
Tue Mar 19 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),8.84,9.19,8.52,8.78,502300
Wed Mar 20 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),8.72,9.29,8.72,9.29,373000
Thu Mar 21 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),9.41,9.71,8.96,9.66,999900
Fri Mar 22 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),9.67,9.76,9.4,9.62,338400
Mon Mar 25 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),9.62,9.84,9.25,9.27,358900
Tue Mar 26 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),9.26,9.33,9.01,9.14,173700
Wed Mar 27 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),9.21,9.388,9.13,9.38,140900
Thu Mar 28 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),9.4,9.52,9.14,9.16,88200
Mon Apr 01 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),9.13,9.53,9.1,9.53,163000
Tue Apr 02 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),9.5,9.61,9.23,9.3,147900
Wed Apr 03 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),9.28,9.85,9.28,9.73,273000
Thu Apr 04 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),9.81,9.99,9.69,9.76,467400
Fri Apr 05 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),9.73,10.67,9.73,10.45,771100
Mon Apr 08 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),10.52,10.81,10.32,10.8,550400
Tue Apr 09 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),10.98,11.597,10.705,10.85,744800
Wed Apr 10 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),10.76,10.89,10.481,10.56,569300
Thu Apr 11 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),10.57,10.7,10.35,10.65,356800
Fri Apr 12 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),10.54,10.7,10.1,10.23,392700
Mon Apr 15 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),10.32,10.4,9.41,9.5,492700
Tue Apr 16 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),9.59,9.59,9.102,9.37,533000
Wed Apr 17 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),9.52,9.534,9.04,9.13,322600
Thu Apr 18 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),9.25,9.36,8.87,8.97,308800
Fri Apr 19 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),9.1,9.28,8.99,9.13,281700
Mon Apr 22 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),9.13,10.265,9.04,10.21,687900
Tue Apr 23 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),10.26,10.4,10.1,10.27,378500
