date,open,high,low,close,volume
Tue Jan 02 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),42.34,42.419998,42.130001,42.209999,1740700
Wed Jan 03 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),42.360001,42.360001,42.09,42.09,2392700
Thu Jan 04 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),42.240002,42.349998,42.169998,42.27,2404300
Fri Jan 05 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),42.189999,42.43,42.119999,42.259998,2874700
Mon Jan 08 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),42.34,42.465,42.16,42.349998,1686900
Tue Jan 09 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),42.240002,42.48,42.119999,42.25,1457000
Wed Jan 10 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),42.259998,42.43,42.200001,42.43,1106700
Thu Jan 11 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),42.400002,42.639999,42.279999,42.639999,1505800
Fri Jan 12 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),42.639999,42.785,42.435001,42.700001,2878500
Tue Jan 16 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),42.549999,42.599998,42.290001,42.57,1610500
Wed Jan 17 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),42.419998,42.490002,42.130001,42.23,1298300
Thu Jan 18 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),42.049999,42.509998,42.049999,42.290001,3164700
Fri Jan 19 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),42.400002,42.400002,42.209999,42.25,1503000
Mon Jan 22 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),42.34,42.349998,42.049999,42.110001,1395600
Tue Jan 23 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),42.139999,42.25,41.950001,42.150002,1208000
Wed Jan 24 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),42.330002,42.330002,42,42.009998,889600
Thu Jan 25 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),42.150002,42.235001,42.055,42.099998,891700
