date,open,high,low,close,volume
Tue Jan 02 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),2.1,2.16,2.01,2.01,33000
Wed Jan 03 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),2.01,2.17,1.97,2,44200
Thu Jan 04 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),2,2,1.9,2,38000
Fri Jan 05 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),1.95,2.2,1.95,2.05,37100
Mon Jan 08 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),2.08,2.11,2,2.09,22600
Tue Jan 09 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),2.103,2.28,2.06,2.12,39300
Wed Jan 10 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),2.18,2.312,2.18,2.265,18700
Thu Jan 11 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),2.251,2.3,2.25,2.28,8000
Fri Jan 12 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),2.24,2.3,2.19,2.19,30100
Tue Jan 16 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),2.14,2.18,2.06,2.13,21000
Wed Jan 17 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),2.1,2.119,2.05,2.095,5900
Thu Jan 18 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),2.06,2.161,2.06,2.06,5300
Fri Jan 19 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),2.075,2.235,2.055,2.235,11200
Mon Jan 22 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),2.23,2.285,2.15,2.19,17400
Tue Jan 23 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),2.28,2.28,2.18,2.19,6700
Wed Jan 24 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),2.191,2.265,2.14,2.17,69000
Thu Jan 25 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),2.14,2.3,2.109,2.14,69100
Fri Jan 26 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),2.15,2.26,2.12,2.18,7700
Mon Jan 29 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),2.13,2.155,2.095,2.12,11300
Tue Jan 30 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),2.166,2.2,2.09,2.11,11500
Wed Jan 31 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),2.135,2.135,2.1,2.1,2100
Thu Feb 01 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),2.15,2.24,2.1,2.2,30400
Fri Feb 02 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),2.2,2.242,2.13,2.13,6200
Mon Feb 05 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),2.1,2.16,2.07,2.116,17600
Tue Feb 06 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),2.12,2.129,2.09,2.1,2900
Wed Feb 07 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),2.07,2.14,2.07,2.12,4400
Thu Feb 08 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),2.15,2.218,2.15,2.18,36000
Fri Feb 09 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),2.24,2.24,2.16,2.2,4600
Mon Feb 12 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),2.16,2.24,2.16,2.17,10300
Tue Feb 13 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),2.15,2.225,2.1,2.135,11700
Wed Feb 14 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),2.12,2.26,2.1,2.16,38700
Thu Feb 15 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),2.13,2.249,2.116,2.195,8600
Fri Feb 16 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),2.112,2.192,2.112,2.14,9600
Tue Feb 20 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),2.13,2.186,2.12,2.12,13200
Wed Feb 21 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),2.13,2.39,2.13,2.39,59900
Thu Feb 22 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),2.35,2.35,2.225,2.23,14200
Fri Feb 23 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),2.355,2.37,2.25,2.26,5000
Mon Feb 26 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),2.31,2.31,2.19,2.24,25000
Tue Feb 27 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),2.2,2.275,2.172,2.24,4700
Wed Feb 28 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),2.234,2.31,2.233,2.24,23800
Thu Feb 29 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),2.2,2.305,2.18,2.23,10500
Fri Mar 01 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),2.297,2.297,2.05,2.06,47100
Mon Mar 04 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),2.05,2.098,2.04,2.04,23000
Tue Mar 05 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),2,2.085,1.9,1.98,32300
Wed Mar 06 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),1.92,1.955,1.9,1.9,47000
Thu Mar 07 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),1.91,1.93,1.78,1.87,34300
Fri Mar 08 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),1.85,1.995,1.85,1.93,67600
Mon Mar 11 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),1.87,1.985,1.87,1.94,11300
Tue Mar 12 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),1.97,2,1.82,2,5900
Wed Mar 13 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),1.98,2.011,1.91,2.011,5300
Thu Mar 14 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),2,2,1.897,1.95,6500
Fri Mar 15 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),1.85,1.95,1.814,1.89,12200
Mon Mar 18 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),1.87,1.96,1.87,1.896,5600
Tue Mar 19 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),1.92,1.94,1.86,1.86,4700
Wed Mar 20 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),1.87,2.061,1.87,2.061,10100
Thu Mar 21 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),2.02,2.05,1.82,2.01,8900
Fri Mar 22 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),2.05,2.05,2.02,2.02,800
Mon Mar 25 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),2,2.004,1.95,1.965,315700
Tue Mar 26 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),2.51,2.86,2.24,2.47,13220100
Wed Mar 27 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),2.24,2.84,2.24,2.75,685400
Thu Mar 28 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),2.57,3.45,2.51,3.11,439100
Mon Apr 01 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),3.1,3.1,2.72,2.775,98800
Tue Apr 02 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),2.68,2.79,2.52,2.64,30400
Wed Apr 03 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),2.67,2.71,2.6,2.68,26300
Thu Apr 04 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),2.59,2.67,2.55,2.67,29000
Fri Apr 05 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),2.55,2.61,2.375,2.46,132700
Mon Apr 08 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),2.42,2.683,2.42,2.59,115600
Tue Apr 09 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),2.61,2.74,2.46,2.54,53700
Wed Apr 10 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),2.41,2.55,2.41,2.47,15200
Thu Apr 11 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),2.41,2.465,2.375,2.4,56200
Fri Apr 12 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),2.35,2.41,2.21,2.26,48200
Mon Apr 15 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),2.18,2.31,2.18,2.18,18300
Tue Apr 16 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),2.21,2.36,2.17,2.22,13400
Wed Apr 17 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),2.23,2.25,2.128,2.18,31600
Thu Apr 18 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),2.13,2.34,2.12,2.26,42700
Fri Apr 19 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),2.26,2.3,2.21,2.26,28200
Mon Apr 22 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),2.31,2.31,2.19,2.26,54500
Tue Apr 23 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),2.21,2.29,2.21,2.29,14900
Wed Apr 24 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),2.265,2.27,2.21,2.22,27000
Thu Apr 25 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),2.255,2.3,2.22,2.27,31800
Fri Apr 26 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),2.22,2.3,2.22,2.285,22700
Mon Apr 29 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),2.2,2.29,2.2,2.22,9100
Tue Apr 30 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),2.2,2.24,2.162,2.225,17100
Wed May 01 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),2.19,2.3,2.155,2.3,5600
Thu May 02 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),2.26,2.271,2.19,2.25,16700
Fri May 03 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),2.25,2.27,2.19,2.2,6600
Mon May 06 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),2.16,2.25,2.16,2.204,6000
Tue May 07 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),2.26,2.26,2.18,2.21,12500
