date,open,high,low,close,volume
Tue Jan 02 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),3.33,3.7,3.135,3.14,16245800
Wed Jan 03 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),3.1,3.22,2.92,3.02,8898500
Thu Jan 04 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),3.05,3.155,2.83,2.92,6928000
Fri Jan 05 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),2.89,3.02,2.74,2.87,4888200
Mon Jan 08 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),2.87,3.1,2.73,3.08,5201400
Tue Jan 09 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),3.06,3.13,2.91,2.98,4694500
Wed Jan 10 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),2.98,2.99,2.71,2.86,12747400
Thu Jan 11 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),2.8,2.81,2.6,2.62,5588100
Fri Jan 12 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),2.59,2.73,2.53,2.57,3548700
Tue Jan 16 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),2.52,2.54,2.33,2.35,4675200
Wed Jan 17 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),2.32,2.51,2.3,2.46,5946500
Thu Jan 18 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),2.52,2.525,2.33,2.4,3093100
Fri Jan 19 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),2.52,2.56,2.36,2.44,6942600
Mon Jan 22 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),2.73,2.97,2.46,2.58,22499400
Tue Jan 23 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),2.6,2.63,2.33,2.4,6807400
Wed Jan 24 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),2.39,2.5,2.295,2.3,6299200
Thu Jan 25 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),2.33,2.41,2.23,2.37,3572400
Fri Jan 26 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),2.36,2.4,2.31,2.34,1622500
Mon Jan 29 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),2.31,2.379,2.235,2.3,4238400
Tue Jan 30 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),2.28,2.33,2.17,2.31,6887300
Wed Jan 31 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),2.28,2.34,2.15,2.15,4241400
Thu Feb 01 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),2.15,2.205,2.08,2.09,3470800
Fri Feb 02 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),2.03,2.099,1.93,2.06,3977800
Mon Feb 05 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),1.99,2.08,1.925,2.02,3513100
Tue Feb 06 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),2.01,2.33,1.97,2.32,4256000
Wed Feb 07 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),2.29,2.34,2.22,2.32,5224300
