date,open,high,low,close,volume
Tue Jan 02 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),23.200001,23.540001,22.139999,22.35,11173000
Wed Jan 03 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),21.84,21.950001,20.84,20.879999,9263600
Thu Jan 04 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),20.77,21.184999,20.639999,20.73,6583400
Fri Jan 05 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),20.379999,21.01,20.17,20.43,5888400
Mon Jan 08 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),20.49,20.844,20.18,20.690001,6493200
Tue Jan 09 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),20.5,21.9,20.450001,21.15,9349100
Wed Jan 10 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),19.799999,20.497999,19.77,19.940001,17438000
Thu Jan 11 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),20.6,20.76,19.59,20.030001,18378200
Fri Jan 12 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),20.290001,20.450001,19.035,19.139999,12504700
Tue Jan 16 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),19,19.139999,18.33,18.77,9778500
Wed Jan 17 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),18.5,19,18.235001,18.99,7803600
Thu Jan 18 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),19.280001,19.379999,18.66,19.280001,7345400
Fri Jan 19 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),19.370001,19.59,19.030001,19.35,6571300
Mon Jan 22 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),19.52,20.415001,19.41,19.639999,6521300
Tue Jan 23 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),20.110001,20.705,19.68,19.85,7129100
Wed Jan 24 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),20.299999,20.4,19.440001,19.450001,6007100
Thu Jan 25 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),19.52,19.91,19.15,19.870001,6868200
Fri Jan 26 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),19.799999,20.209999,19.360001,19.379999,6091100
Mon Jan 29 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),19.379999,19.530001,18.725,19.48,8658200
Tue Jan 30 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),19.16,19.35,18.34,18.360001,9709200
Wed Jan 31 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),18.25,18.615,17.799999,17.82,7492600
Thu Feb 01 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),18,18.245001,17.41,17.9,7787600
Fri Feb 02 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),17.51,18.049999,17.25,17.83,7406500
Mon Feb 05 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),17.5,17.52,16.790001,16.93,9033900
Tue Feb 06 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),16.92,17.282,16.709999,17.129999,6402200
Wed Feb 07 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),17.07,17.110001,16.790001,16.93,5582100
Thu Feb 08 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),16.9,17.309999,16.541,16.58,8346800
Fri Feb 09 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),16.75,17.525,16.690001,17.4,9063500
Mon Feb 12 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),17.549999,17.875,17.370001,17.530001,6566100
Tue Feb 13 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),16.969999,17.205,16.555,16.719999,8382400
Wed Feb 14 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),16.9,17.450001,16.76,17.440001,5249700
Thu Feb 15 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),17.48,17.745001,17.271999,17.459999,6123200
Fri Feb 16 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),17.26,17.35,16.700001,16.799999,8545200
Tue Feb 20 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),16.799999,16.950001,16.5,16.5,7604100
Wed Feb 21 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),16.379999,16.450001,15.84,16.040001,9598700
Thu Feb 22 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),16.33,16.375,15.88,16.08,8077300
Fri Feb 23 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),16.1,16.360001,15.78,16.09,10920400
Mon Feb 26 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),16.139999,16.870001,16.1,16.6,9952200
Tue Feb 27 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),16.780001,17.530001,16.549999,17.24,9662100
Wed Feb 28 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),17.110001,17.41,16.870001,16.93,5442100
Thu Feb 29 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),17.09,17.736,17.059999,17.639999,8457300
Fri Mar 01 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),17.709999,18.17,17.4,18.030001,7882100
Mon Mar 04 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),17.959999,18.120001,17.555,17.709999,8380600
Tue Mar 05 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),17.41,17.73,17.040001,17.370001,6750400
Wed Mar 06 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),17.719999,17.809999,17.02,17.26,5700100
Thu Mar 07 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),17.33,17.719999,17.209999,17.5,5527000
Fri Mar 08 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),17.75,18.24,17.41,17.700001,6803300
Mon Mar 11 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),17.709999,18.450001,17.68,18.25,7681400
Tue Mar 12 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),18.41,18.74,17.969999,17.98,8036500
Wed Mar 13 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),17.799999,18.469999,17.780001,17.99,5316600
Thu Mar 14 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),18.01,18.1,17.030001,17.24,7845400
Fri Mar 15 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),17.1,17.59,17.01,17.389999,6308300
Mon Mar 18 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),17.59,17.59,16.82,16.84,7448900
Tue Mar 19 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),16.440001,16.99,16.25,16.68,8547900
Wed Mar 20 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),17.1,17.754999,16.784,17.74,20545400
Thu Mar 21 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),16.75,17.285,15.91,15.92,31848900
Fri Mar 22 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),15.97,16.667999,15.65,16.620001,13175700
Mon Mar 25 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),16.5,16.559999,15.23,15.42,19170300
Tue Mar 26 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),15.49,15.61,15.08,15.26,13977500
