date,open,high,low,close,volume
Tue Jan 02 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),24.299999,24.299999,21.51,21.6,1793
Wed Jan 03 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),21.6,22.110001,20.43,20.790001,1173
Thu Jan 04 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),20.700001,20.85,20.43,20.85,690
Fri Jan 05 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),20.1,20.1,18,18,3600
Mon Jan 08 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),18,18,16.5,17.4,1683
Tue Jan 09 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),17.4,20.1,16.799999,19.049999,2603
Wed Jan 10 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),20.76,21.030001,19.049999,20.700001,1223
Thu Jan 11 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),21.6,21.9,18.48,20.969999,2493
Fri Jan 12 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),20.190001,21,18.6,18.6,347
Tue Jan 16 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),19.5,21,17.700001,18.780001,2433
Wed Jan 17 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),18.15,18.15,15.6,16.200001,2827
Thu Jan 18 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),15.3,24.9,15.3,22.559999,12100
Fri Jan 19 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),22.5,22.5,20.129999,20.700001,1690
Mon Jan 22 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),20.1,21.33,19.889999,20.370001,443
Tue Jan 23 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),20.4,20.49,15.6,16.59,1863
Wed Jan 24 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),18.27,18.959999,17.4,17.4,423
Thu Jan 25 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),18,18.299999,15.12,15.12,1640
Fri Jan 26 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),15.3,18,15.3,15.78,3553
Mon Jan 29 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),17.4,17.4,14.4,14.85,2313
Tue Jan 30 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),15,15.6,14.7,15.03,300
Wed Jan 31 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),14.7,15.42,14.58,15.27,317
Thu Feb 01 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),15,15.06,13.53,14.34,2173
Fri Feb 02 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),14.4,15.3,14.1,14.76,273
Mon Feb 05 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),15.24,15.24,9.87,11.4,5187
